Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2010-08-12,AP,4/21/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,35 hard to see but prob. empty,100,12,
Corn,0,2,0C2,2010-08-12,AP,4/22/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,60 blurry,100,9,
Corn,0,3,0C3,Not imaged,,,,,,,,
Corn,0,4,0C4,2010-08-12,AP,4/22/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,no,85,7,
Corn,0,5,0C5,2010-08-12,AP,4/23/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,60 has roots but too blurry to trace,100,16 (not including untraced 60),Nodule at loc 80? Tube 5 images originally named as tube 6. Have corrected by renaming all images.
Corn,0,6,0C6,2010-08-12,AP,4/23/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,"10,15, 50, 100 blurry",70,9,Tube 6 images originally named as tube 5. Have corrected by renaming all images.
Corn,0,7,0C7,2010-08-12,AP,4/23/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,"10, 45 blurry, each have at least one root",95,10 (not including untraced 10&45),
Corn,0,8,0C8,2010-08-12,AP,4/23/11,CKB,EF2010_T097_L001_2010.08.12_101843_003_AP.jpg,no,100,10,
Corn,1,9,1C1,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,"15, 70 blurry",70,5,
Corn,1,10,1C2,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,,100,12,
Corn,1,11,1C3,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,"10, 50, 90 blurry",100,12,nodule at loc 65
Corn,1,12,1C4,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,25 blurry,95,11,
Corn,2,13,2C1,Not imaged,,,,,,,,
Corn,2,14,2C2,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,55,3,
Corn,2,15,2C3,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,80 blurry,100,12,
Corn,2,16,2C4,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no ,100,5,
Corn,3,17,3C1,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,35,4,
Corn,3,18,3C2,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,30 blurry,70,2,"05 taken twice as 5, 9.  Delete records for 9. "
Corn,3,19,3C3,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,90,9,
Corn,3,20,3C4,2010-08-18,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,100,15,
Corn,4,21,4C1,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,70,6,
Corn,4,22,4C1,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,10 blurry,90,9,
Corn,4,23,4C3,2010-08-18,AP,4/26/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,"10, 90, 100 blurry",85,4,
Corn,4,24,4C4,2010-08-18,AP,4/27/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,85 blurry,100,12,"CKB says: Don't trace the the sharp dark lines that appear in some frames. Dunno what they are (hair in the tube, maybe?), but they sure aren't roots."
Miscanthus,0,25,0M1,Not imaged,,,,,,,,
Miscanthus,0,26,0M3,2010-08-18,AP,4/25/11,CKB,EF2010_T097_L002_2010.08.18_095833_004_AP,no,100,14,
Miscanthus,0,27,0M5,2010-08-18,AP,4/26/11,CKB,EF2010_T097_L002_2010.08.18_095833_004_AP,10 blurry,80,11,"Traced once 04-26, partially retraced 04-27 with 08-12 calibration, re-retraced 04-27 with 8-18 calibration and adding a few roots missed 04-26."
Miscanthus,0,28,0M6,Not imaged,,,,,,,,
Miscanthus,0,29,0M7,2010-08-12,AP,4/26/11,CKB,EF2010_T097_L002_2010.08.18_095833_004_AP,"10, 55, 70 blurry",85,7,
Miscanthus,0,30,0M9,Not imaged,,,,,,,,
Miscanthus,0,31,0M10,Not imaged,,,,,,,,
Miscanthus,0,32,0M11,2010-08-18,AP,5/7/11,CKB,EF2010_T097_L002_2010.08.18_095833_004_AP,no,80,11,
Miscanthus,1,33,1M1,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,33 blurry,65,9,
Miscanthus,1,34,1M2,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,85,13,
Miscanthus,1,35,1M4,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"10, 85 blurry, 20, 25, 40, 95, 100 water drops ",90,6,Tube 35 images originally named as tube 36. Have corrected by renaming all images.
Miscanthus,1,36,1M4,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,10 blurry,90,12,Tube 36 images originally named as tube 35. Have corrected by renaming all images.
Miscanthus,2,37,2M1,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,10 blurry,100,16,
Miscanthus,2,38,2M2,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,"10, 45 blurry",50,5,
Miscanthus,2,39,2M3,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,10 blurry,100,7,
Miscanthus,2,40,2M4,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,100,15,
Miscanthus,3,41,3M1,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,40 blurry,100,12,
Miscanthus,3,42,3M2,2010-08-17,AP,5/3/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,80,10,
Miscanthus,3,43,3M3,2010-08-17,AP,5/3/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,no,60,5,
Miscanthus,3,44,3M4,2010-08-17,AP,5/3/11,MPD,EF2010_T097_L002_2010.08.18_095833_004_AP,45 blurry,55,7,
Miscanthus,4,45,4M1,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,65,11,
Miscanthus,4,46,4M2,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,30 blurry,75,7,
Miscanthus,4,47,4M3,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,95,14,"05 taken twice as 5, 9.  Traced frame labeled 5; delete records for 9. "
Miscanthus,4,48,4M4,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,20 blurry,60,12,
Switch,0,49,0S2,2010-08-17,AP,5/7/11,CKB,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,49 somewhat blurry but traced anyway,100,16,
Switch,0,50,0S3,Not imaged,,,,,,,,
Switch,0,51,0S5,2010-08-17,AP,5/14/11,CKB,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,55 blurry,70,11,
Switch,0,52,0S6,2010-08-17,AP,5/14/11,CKB,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"5 above ground, 90 blurry",100,12,L005 is above ground
Switch,0,53,0S8,2010-08-17,AP,10/27/11,AP,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,,17,
Switch,0,54,0S9,2010-08-17,AP,10/27/11,AP,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,,14,
Switch,0,55,0S12,2010-08-17,AP,11/2/11,AP,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,,18,
Switch,0,56,0S12,2010-08-17,AP,11/2/11,AP,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,yes,,15,45 is blurry
Switch,1,57,1S1,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,100,12,"05 taken three times as 5, 9, 13.Traced frame labeled 5; delete records for 9 and 13.  "
Switch,1,58,1S2,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"10 blurry, 20 water",100,14,
Switch,1,59,1S3,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,95,8,
Switch,1,60,1S4,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"10, 15 blurry",60,6,
Switch,2,61,2S1,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,10 blurry,55,7,
Switch,2,62,2S2,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,65,6,
Switch,2,63,2S3,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"15, 55, 85 blurry",80,11,
Switch,2,64,2S4,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,15 blurry,95,16,
Switch,3,65,3S1,Not imaged,AP,,MPD,,,,,Can't find file
Switch,3,66,3S2,Not imaged,AP,,MPD,,,,,Can't find file
Switch,3,67,3S3,Not imaged,AP,,MPD,,,,,Can't find file
Switch,3,68,3S4,Not imaged,AP,,MPD,,,,,Can't find file
Switch,4,69,4S1,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,75,14,
Switch,4,70,4S2,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"10, 45 blurry",90,13,
Switch,4,71,4S3,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,65 blurry,100,19,
Switch,4,72,4S4,2010-08-17,AP,4/27/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,90,10,
Prairie,0,73,0P2,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,yes,,11,75 is blurry
Prairie,0,74,0P3,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,yes,,11,"15,25 is blurry"
Prairie,0,75,0P5,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,no,,13,
Prairie,0,76,0P6,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,no,,12,
Prairie,0,77,0P7,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,yes,,18,60 is blurry
Prairie,0,78,0P9,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,yes,,16,"40,50 is blurry"
Prairie,0,79,0P11,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,yes,,10,"30 is missing, 90 is blurry"
Prairie,0,80,0P12,2010-08-12,AP,11/3/11,AP,EF2010_T097_L001_2010.08.12_101843_003_AP,no,,11,
Prairie,1,81,1P1,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"10, 65 blurry",70,4,Tube 81 images originally named as tube 89. Have corrected by renaming all images.
Prairie,1,82,1P2,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,10 blurry,90,15,
Prairie,1,83,1P3,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,"40 water drop, 95, 100 no picture",85,13,
Prairie,1,84,1P4,2010-08-17,AP,4/26/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,75 blurry,90,13,
Prairie,2,85,2P1,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,85,8,
Prairie,2,86,2P2,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,55 blurry,50,7,
Prairie,2,87,2P3,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,no,95,13,
Prairie,2,88,2P4,2010-08-17,AP,5/2/11,MPD,EF2010_T097_L001_2010.08.17_095728_004_AP.jpg,65 blurry,60,9,
