Img	MeasDate	MeasTime	Experiment	Tube	Location	Date	Time	Session	DataGatherer	ImgType	PxSizeH	PxSizeV	Fungae	Undefined	Undefined	Undefined	TotLength.mm	TotProjArea.mm2	TotSurfArea.mm2	TotAvgDiam.10ths.mm	TotVolume.mm3	TotNumberOfTips	AliveLength.mm	AliveProjArea.mm2	AliveSurfArea.mm2	AliveAvgDiam.10ths.mm	AliveVolume.mm3	AliveNumberOfTips	DeadLength.mm	DeadProjArea.mm2	DeadSurfArea.mm2	DeadAvgDiam.10ths.mm	DeadVolume.mm3	DeadNumberOfTips	GoneLength.mm	GoneProjArea.mm2	GoneSurfArea.mm2	GoneAvgDiam.10ths.mm	GoneVolume.mm3	GoneNumberOfTips	NumberOfClasses	L0to0.5	L0.5to1	L1to1.5	L1.5to2	L2to2.5	L2.5to3	L3to3.5	L3.5to4	L4to4.5	Lgreaterthan4.5	SA0to0.5	SA0.5to1	SA1to1.5	SA1.5to2	SA2to2.5	SA2.5to3	SA3to3.5	SA3.5to4	SA4to4.5	SAgreaterthan4.5	PA0to0.5	PA0.5to1	PA1to1.5	PA1.5to2	PA2to2.5	PA2.5to3	PA3to3.5	PA3.5to4	PA4to4.5	PAgreaterthan4.5	V0to0.5	V0.5to1	V1to1.5	V1.5to2	V2to2.5	V2.5to3	V3to3.5	V3.5to4	V4to4.5	Vgreaterthan4.5	T0to0.5	T0.5to1	T1to1.5	T1.5to2	T2to2.5	T2.5to3	T3to3.5	T3.5to4	T4to4.5	Tgreaterthan4.5		ImageNotes	
EF2010_T066_L001_2010.07.22_105049_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	1	2010.07.22	105049	003	AP	Clr	0.024725	0.025696	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
EF2010_T066_L005_2010.07.22_105129_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	5	2010.07.22	105129	003	AP	Clr	0.024725	0.025696	-	-	-	-	9.5717	0.2413	0.7581	0.2521	0.005	4	9.5717	0.2413	0.7581	0.2521	0.005	4	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	9.5717	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2413	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4	0	0	0	0	0	0	0	0	0			
EF2010_T066_L010_2010.07.22_105133_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	10	2010.07.22	105133	003	AP	Clr	0.024725	0.025696	-	-	-	-	9.3426	0.2355	0.7399	0.2521	0.005	4	9.3426	0.2355	0.7399	0.2521	0.005	4	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	9.3426	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7399	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2355	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4	0	0	0	0	0	0	0	0	0			
EF2010_T066_L015_2010.07.22_105136_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	15	2010.07.22	105136	003	AP	Clr	0.024725	0.025696	-	-	-	-	30.8984	2.9200	9.1735	0.9450	0.426	6	30.8984	2.9200	9.1735	0.9450	0.426	6	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	19.6412	0.4217	0.4217	0.4217	9.9920	0.0000	0.0000	0.0000	0.0000	0.0000	1.5637	0.0994	0.1656	0.2319	7.1129	0.0000	0.0000	0.0000	0.0000	0.0000	0.4978	0.0316	0.0527	0.0738	2.2641	0.0000	0.0000	0.0000	0.0000	0.0000	0.0099	0.0019	0.0052	0.0101	0.4030	0.0000	0.0000	0.0000	0.0000	0.0000	4	0	0	0	2	0	0	0	0	0			
EF2010_T066_L020_2010.07.22_105139_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	20	2010.07.22	105139	003	AP	Clr	0.024725	0.025696	-	-	-	-	3.3767	0.6810	2.1395	2.0168	0.108	1	3.3767	0.6810	2.1395	2.0168	0.108	1	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	3.3767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1395	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6810	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1079	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	1	0	0	0	0	0			
EF2010_T066_L025_2010.07.22_105142_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	25	2010.07.22	105142	003	AP	Clr	0.024725	0.025696	-	-	-	-	14.0392	2.8315	8.8954	2.0168	0.449	2	14.0392	2.8315	8.8954	2.0168	0.449	2	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	14.0392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.8954	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.8315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4485	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	2	0	0	0	0	0			
EF2010_T066_L030_2010.07.22_105145_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	30	2010.07.22	105145	003	AP	Clr	0.024725	0.025696	-	-	-	-	8.0217	0.2022	0.6353	0.2521	0.004	1	8.0217	0.2022	0.6353	0.2521	0.004	1	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	8.0217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6353	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	0	0	0	0	0	0	0	0	0			
EF2010_T066_L035_2010.07.22_105149_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	35	2010.07.22	105149	003	AP	Clr	0.024725	0.025696	-	-	-	-	40.0417	1.8150	5.7019	0.4533	0.166	7	40.0417	1.8150	5.7019	0.4533	0.166	7	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	35.4056	0.4222	0.4222	0.4222	3.3693	0.0000	0.0000	0.0000	0.0000	0.0000	2.8123	0.0995	0.1658	0.2321	2.3921	0.0000	0.0000	0.0000	0.0000	0.0000	0.8952	0.0317	0.0528	0.0739	0.7614	0.0000	0.0000	0.0000	0.0000	0.0000	0.0178	0.0019	0.0052	0.0102	0.1352	0.0000	0.0000	0.0000	0.0000	0.0000	6	0	0	0	1	0	0	0	0	0			
EF2010_T066_L040_2010.07.22_105152_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	40	2010.07.22	105152	003	AP	Clr	0.024725	0.025696	-	-	-	-	10.3941	2.5870	8.1272	2.4889	0.545	1	10.3941	2.5870	8.1272	2.4889	0.545	1	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	7.3162	0.6143	0.6143	0.6143	1.2351	0.0000	0.0000	0.0000	0.0000	0.0000	4.6807	0.5307	0.6272	0.7237	1.5650	0.0000	0.0000	0.0000	0.0000	0.0000	1.4899	0.1689	0.1996	0.2303	0.4981	0.0000	0.0000	0.0000	0.0000	0.0000	0.2385	0.0365	0.0510	0.0678	0.1578	0.0000	0	0	0	0	1	0	0	0	0	0			
EF2010_T066_L045_2010.07.22_105155_003_AP.jpg	10/31/2010	16:13:15	EF2010	66	45	2010.07.22	105155	003	AP	Clr	0.024725	0.025696	-	-	-	-	9.2590	1.8674	5.8666	2.0168	0.296	2	9.2590	1.8674	5.8666	2.0168	0.296	2	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	9.2590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8674	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2958	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	2	0	0	0	0	0			
