tube,offset,measured,estimated,source
1,29,NA,29,image
2,27,NA,27,image
3,25,NA,25,image
4,23,NA,23,image
5,25,NA,25,image
6,23,NA,23,image
7,23,NA,23,image
8,27,NA,27,image
9,24,NA,24,image
10,23,NA,23,image
11,25,NA,25,image
12,23,NA,23,image
13,23,NA,23,image
14,22,NA,22,image
15,25,NA,25,image
16,23,NA,23,image
17,25,NA,25,image
18,25,NA,25,image
19,23,NA,23,image
20,28,NA,28,image
21,22,NA,22,image
22,27,NA,27,image
23,30,NA,30,image
24,27,NA,27,image
25,27,NA,27,image
26,24,NA,24,image
27,24,NA,24,image
28,23,NA,23,image
29,22,NA,22,image
30,24,NA,24,image
31,23,NA,23,image
32,23,NA,23,image
33,24,NA,24,image
34,23,NA,23,image
35,23,NA,23,image
36,22,NA,22,image
37,23,NA,23,image
38,23,NA,23,image
39,35,NA,35,image
40,23,NA,23,image
41,28,NA,28,image
42,23,NA,23,image
43,23,NA,23,image
44,23,NA,23,image
45,23,NA,23,image
46,22,NA,22,image
47,23,NA,23,image
48,23,NA,23,image
49,24,NA,24,image
50,23,NA,23,image
51,28,NA,28,image
52,29,NA,29,image
53,23,NA,23,image
54,24,NA,24,image
55,23,NA,23,image
56,23,NA,23,image
57,23,NA,23,image
58,23,NA,23,image
59,29,NA,29,image
60,23,NA,23,image
61,23,NA,23,image
62,NA,NA,NA,image
63,23,NA,23,image
64,24,NA,24,image
65,23,NA,23,image
66,23,NA,23,image
67,28,NA,28,image
68,25,NA,25,image
69,22,NA,22,image
70,23,NA,23,image
71,23,NA,23,image
72,23,NA,23,image
73,24,NA,24,image
74,23,NA,23,image
75,22,NA,22,image
76,23,NA,23,image
77,22,NA,22,image
78,23,NA,23,image
79,25,NA,25,image
80,24,NA,24,image
81,27,NA,27,image
82,23,NA,23,image
83,28,NA,28,image
84,27,NA,27,image
85,22,NA,22,image
86,22,NA,22,image
87,25,NA,25,image
88,22,NA,22,image
89,23,NA,23,image
90,22,NA,22,image
91,23,NA,23,image
92,23,NA,23,image
93,27,NA,27,image
94,23,NA,23,image
95,23,NA,23,image
96,31,NA,31,image
