"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace","Subject","Frame"
"101","CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,1,0.024011,0.025105,126.6951,19.5902,61.5446,1.5463,2.618,36,126.6951,19.5902,61.5446,1.5463,2.618,36,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9366,9.3376,75.1094,22.2247,11.434,4.4861,3.1666,0,0,0,0.092,2.7732,31.7338,11.8292,8.0193,3.8383,3.2586,0,0,0,0.0293,0.8827,10.1012,3.7654,2.5526,1.2218,1.0373,0,0,0,7e-04,0.066,1.0759,0.5019,0.4479,0.2619,0.2672,0,0,0,0,6,20,8,1,1,0,0,0,0,"Misc",0,"y","y","y","MPD",1
"102","CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,2,0.024011,0.025105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",0,"y","n","n","MPD",2
"103","CONSISTEST_T001_L003_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,3,0.024011,0.025105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Switch",0,"n","n","n","MPD",3
"104","CONSISTEST_T001_L004_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,4,0.024011,0.025105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n","MPD",4
"105","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,5,0.024011,0.025105,10.5615,1.5514,4.8738,1.4689,0.181,4,10.5615,1.5514,4.8738,1.4689,0.181,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8.4862,2.0753,0,0,0,0,0,0,0,0,3.7684,1.1054,0,0,0,0,0,0,0,0,1.1995,0.3519,0,0,0,0,0,0,0,0,0.1337,0.0469,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","MPD",5
"106","CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,6,0.024011,0.025105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n","MPD",6
"107","CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,7,0.024011,0.025105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n","MPD",7
"108","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,8,0.024011,0.025105,27.8163,5.4403,17.0911,1.9558,1.339,7,27.8163,5.4403,17.0911,1.9558,1.339,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.6962,10.5158,9.5179,0.2777,0.2777,0.2777,0.2777,0.2777,2.6977,0,0.9015,4.4419,4.9279,0.1963,0.2399,0.2836,0.3272,0.3708,5.402,0,0.287,1.4139,1.5686,0.0625,0.0764,0.0903,0.1041,0.118,1.7195,0,0.0177,0.1508,0.2033,0.011,0.0165,0.023,0.0307,0.0394,0.8759,0,1,4,2,0,0,0,0,0,0,"Switch",8,"y","y","y","MPD",8
"109","CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,9,0.024011,0.025105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",0,"n","n","n","MPD",9
"110","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/20/2011","11:35:39",1,10,0.024011,0.025105,86.872,35.9397,112.908,4.1371,16.38,15,86.872,35.9397,112.908,4.1371,16.38,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10.643,6.9777,24.8805,11.8992,12.3885,1.4487,18.6344,0,0,0,6.0845,5.0051,21.5719,12.3121,14.4323,1.9234,51.5788,0,0,0,1.9367,1.5932,6.8666,3.9191,4.5939,0.6122,16.418,0,0,0,0.2779,0.2865,1.49,1.0151,1.339,0.2033,11.8519,0,0,0,5,2,4,2,1,0,1,"Corn",2,"y","y","y","MPD",10
