num,name,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Run_ID,Session,Date
1,Maize-Soybean,-9.60960658541987,0.00768026458931327,0.386338603802672,-10.4244032337173,-9.85674879854599,-9.58548667416096,-9.3411346844307,-8.91189109995094,2530.36893987464,1.00170258320507,2010,_current,1,2010-05-27
2,Switchgrass,-7.51798521646757,0.00186689418342315,0.167957032106287,-7.83938424043542,-7.63117649129702,-7.52154224969004,-7.40881036590775,-7.17753971423546,8093.88404745458,1.00000145698645,2010,_current,1,2010-05-27
3,Miscanthus,-8.4593380130599,0.00371193298866771,0.218879146910407,-8.92564171244154,-8.59798762228059,-8.44992212628388,-8.30701252650276,-8.06126160275279,3477.03065866336,1.00142503426181,2010,_current,1,2010-05-27
4,Prairie,-7.86988328002255,0.00190734071356286,0.157125892901954,-8.18409303159019,-7.97292316674089,-7.86680557408341,-7.76519574344036,-7.56719377462178,6786.39226415284,1.0002983039082,2010,_current,1,2010-05-27
1,Maize-Soybean,-6.67328248703993,0.00224162274063927,0.180794437480433,-7.03390058898456,-6.79142640179557,-6.67164568778828,-6.55380161335792,-6.32147332419205,6504.96675289327,1.00003950518054,2010,_current,3,2010-07-23
2,Switchgrass,-6.26314235596789,0.00213831564029863,0.167643715313216,-6.5804631847636,-6.3760040711607,-6.26680581382844,-6.15457891722581,-5.92267207760502,6146.54306941686,1.00051311737645,2010,_current,3,2010-07-23
3,Miscanthus,-6.64809976538268,0.00237633341703644,0.164743782824587,-6.98575960860825,-6.75356173083407,-6.64415392089232,-6.53517741007447,-6.33656404705043,4806.21635948465,1.00098724168379,2010,_current,3,2010-07-23
4,Prairie,-6.62988762896441,0.00218982235556959,0.151677801092413,-6.93757490433245,-6.73099803540611,-6.62603480356999,-6.5259986263375,-6.34331193589664,4797.62476620694,1.00099616999512,2010,_current,3,2010-07-23
1,Maize-Soybean,-5.66159790307121,0.00226523336306319,0.204807699236622,-6.05357378261299,-5.79965300057509,-5.66502595968451,-5.53084052032716,-5.23925766883587,8174.60278357308,1.00038785519859,2010,_current,4,2010-08-16
2,Switchgrass,-5.44016506856,0.00225410950430937,0.19218920197436,-5.81155450123528,-5.56848881562353,-5.44260105650995,-5.31455419133381,-5.0559897104016,7269.55700657193,0.999953994321303,2010,_current,4,2010-08-16
3,Miscanthus,-6.03424866422748,0.00214800355162396,0.188181047569383,-6.41494704238556,-6.15811180023742,-6.03256384837296,-5.90796156416944,-5.67179528279613,7675.05989718567,1.00077289646059,2010,_current,4,2010-08-16
4,Prairie,-5.90326500143278,0.00216356819450939,0.181948411880428,-6.26318231663582,-6.0243357576208,-5.90068334156001,-5.77797761424005,-5.55703492176646,7072.21347703518,1.0003323615879,2010,_current,4,2010-08-16
1,Maize-Soybean,-8.3339909582092,0.003647283997396,0.264191624710687,-8.85987496636254,-8.50679033572804,-8.32963631889656,-8.15723201841004,-7.82217772032157,5246.85338903944,1.00071905606091,2010,_current,5,2010-10-10
2,Switchgrass,-6.7839400493664,0.00360350316081219,0.269461739587324,-7.31228247442749,-6.96661384729874,-6.78709248202446,-6.6030054530316,-6.25006602789111,5591.70696054156,1.00006060162601,2010,_current,5,2010-10-10
3,Miscanthus,-7.95959478431459,0.00388739657262128,0.296102377093599,-8.54295564815266,-8.15886950657533,-7.95760242299517,-7.76235461399631,-7.38417584705073,5801.84460950723,1.00029589541152,2010,_current,5,2010-10-10
4,Prairie,-7.63842421287947,0.00349645257300346,0.245235873212599,-8.11851831643423,-7.8011706910285,-7.63901579048272,-7.47590589322472,-7.15871983581179,4919.4065512334,1.00090833645244,2010,_current,5,2010-10-10
1,Maize-Soybean,-5.08828200171494,0.00121254667710066,0.137319909412933,-5.35715693368181,-5.17992431757011,-5.08981677079498,-4.99580364122068,-4.81494028985724,12825.375373359,1.00003715769087,2011,_current,4,2011-08-03
2,Switchgrass,-4.8097840717791,0.00123312605560699,0.135649231644995,-5.07384361609209,-4.90238790564963,-4.8114125554569,-4.7171796886247,-4.54199074604176,12100.9572740357,1.00006038604032,2011,_current,4,2011-08-03
3,Miscanthus,-5.4453662187717,0.00119457116440778,0.132181538478106,-5.70149513570181,-5.5330688480755,-5.44558529155106,-5.35848446558794,-5.18386654049548,12243.8373141975,1.00028366443239,2011,_current,4,2011-08-03
4,Prairie,-4.98564615983935,0.00118993712645187,0.126501780572614,-5.23501214880608,-5.06990587691925,-4.98486971639606,-4.90220182279784,-4.73649257042461,11301.7383127518,1.00035149407597,2011,_current,4,2011-08-03
1,Maize-Soybean,-7.31622475801236,0.00476365259019451,0.275913231372551,-7.87960207329637,-7.49852329604883,-7.30707733693928,-7.12653672268651,-6.80291288638596,3354.78654585809,1.00108830160242,2012,_current,1,2012-05-21
