term,parameter,crop_num,estimate,std.error,conf_2.5,conf_97.5,rhat,ess,conf_25,conf_75,Year,Session,Date,Run_ID,crop_name,prior_mean,prior_sd
b_depth[1],b_depth,1,-1.08939397454292,0.357932846265639,-1.91089227070915,-0.513873778967174,1.00066376188719,5671,-1.29880850390815,-0.833011735344575,2010,1,2010-05-27,_current,Maize-Soybean,-1,5
b_depth[2],b_depth,2,-0.860483749761044,0.200523188158892,-1.2726737605817,-0.486326633291386,1.00029534552376,6742,-0.992036507664991,-0.721482835997303,2010,1,2010-05-27,_current,Switchgrass,-1,5
b_depth[3],b_depth,3,-0.976898552512855,0.260162596688488,-1.53391112141681,-0.523299404705732,1.00031425682365,6831,-1.14256605330102,-0.792282436368569,2010,1,2010-05-27,_current,Miscanthus,-1,5
b_depth[4],b_depth,4,-0.981505528892012,0.206409208100517,-1.4154950367253,-0.603062258753382,1.00123496900641,4290,-1.11296030513374,-0.838679045380979,2010,1,2010-05-27,_current,Prairie,-1,5
intercept[1],intercept,1,-9.63915164823602,0.391282651788878,-10.4577597383125,-8.9189018166909,1.00263443223039,2550,-9.89218073931472,-9.36749428652396,2010,1,2010-05-27,_current,Maize-Soybean,-6,6
intercept[2],intercept,2,-7.52398456839652,0.168865442348598,-7.84565820890178,-7.17905784700259,1.00044498389622,8058,-7.63880251825988,-7.4131691010153,2010,1,2010-05-27,_current,Switchgrass,-6,6
intercept[3],intercept,3,-8.4709673749437,0.222328248922416,-8.92805478458113,-8.05751988430476,1.00126490801248,3421,-8.61471177930148,-8.31689800089302,2010,1,2010-05-27,_current,Miscanthus,-6,6
intercept[4],intercept,4,-7.87405160673756,0.158595474369632,-8.19176559525071,-7.56931840902395,1.00023778404958,7145,-7.97973859236771,-7.76717714808773,2010,1,2010-05-27,_current,Prairie,-6,6
loc_detect,loc_detect,NA,-8.00878984126568,0.116073680596601,-8.2369593368833,-7.78479130385641,1.00075230427348,5757,-8.08644545456936,-7.93069110415161,2010,1,2010-05-27,_current,NA,-8,10
loc_surface[1],loc_surface,1,12.4255048149198,6.41677273780953,-0.897060586500948,23.8006659470262,1.00027519698103,9511,8.2850163486112,16.9383790497452,2010,1,2010-05-27,_current,Maize-Soybean,13,10
loc_surface[2],loc_surface,2,15.2931033359645,2.94290993423523,9.26610922818251,20.8678036573126,1.00032314138975,8275,13.3658358679,17.2839370879532,2010,1,2010-05-27,_current,Switchgrass,13,10
loc_surface[3],loc_surface,3,14.5042057428369,4.40657317255673,5.9991523759246,22.9531995793275,1.00024842279471,11250,11.5348689242508,17.5058552942551,2010,1,2010-05-27,_current,Miscanthus,13,10
loc_surface[4],loc_surface,4,13.342124216881,2.85212994774479,7.9817308620228,19.1203703093181,1.00013602853705,9349,11.3813864988029,15.2258585932876,2010,1,2010-05-27,_current,Prairie,13,10
scale_detect,scale_detect,NA,0.671541851166003,0.11764511622215,0.454435866941037,0.916363106016157,1.00367081903275,1965,0.590498874423767,0.747066835297097,2010,1,2010-05-27,_current,NA,0,6
scale_surface[1],scale_surface,1,6.02877336500891,2.54744710784701,1.7225981562487,12.104617260048,1.00016048035214,20000,4.35382353785457,7.34232861947798,2010,1,2010-05-27,_current,Maize-Soybean,6,5
scale_surface[2],scale_surface,2,4.63619579793055,1.02870583851791,3.05613530874481,7.01888705446505,1.00045132096134,10015,3.92016978963721,5.1837389417111,2010,1,2010-05-27,_current,Switchgrass,6,5
scale_surface[3],scale_surface,3,5.25750043037046,1.71325092514663,2.35837103677053,9.17386803889783,1.00017456632525,11876,4.12426458360645,6.18169145649562,2010,1,2010-05-27,_current,Miscanthus,6,5
scale_surface[4],scale_surface,4,3.60891456627573,0.875860195531068,2.07078544693106,5.50265224975729,1.00014637221098,12333,3.00814134821219,4.14263627213281,2010,1,2010-05-27,_current,Prairie,6,5
sig_tube,sig_tube,NA,0.48930932629157,0.0969855549879746,0.312202224587904,0.693595907089681,1.00284414237968,2101,0.421842539519863,0.55111174483238,2010,1,2010-05-27,_current,NA,0,3
sigma[1],sigma,1,2.47536846625272,0.345623801256886,1.89891878923616,3.24549495107384,0.999854633096269,20000,2.23140972226307,2.68495628296182,2010,1,2010-05-27,_current,Maize-Soybean,0,3
sigma[2],sigma,2,2.45716602060919,0.12354419719515,2.22693976661045,2.71246964881491,1.00014188535508,20000,2.37125320819695,2.53681047092721,2010,1,2010-05-27,_current,Switchgrass,0,3
sigma[3],sigma,3,2.36892708974434,0.171436529791018,2.06301129683703,2.72908567775376,1.00003075115827,20000,2.24833980817637,2.47890578326351,2010,1,2010-05-27,_current,Miscanthus,0,3
sigma[4],sigma,4,2.32328888380824,0.108947718196956,2.12008695720166,2.54591697047249,0.999879207402633,20000,2.24772905982382,2.39455122328643,2010,1,2010-05-27,_current,Prairie,0,3
