tube,depth,Species,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Session,Date
1,1,Switchgrass,-4.06750625805942,0.0109341738482938,0.983108551324862,-5.86461275371567,-4.74760203790125,-4.11646103378264,-3.43336290547858,-2.0402871182983,8084.08736045065,1.0002554538604,2010,1,2010-05-27
2,1,Miscanthus,-4.56128638286409,0.0109116352535627,1.12890803136522,-6.61199059499012,-5.3404444469161,-4.62979896008693,-3.8465090640719,-2.17911406548134,10703.7866718445,0.999822474566506,2010,1,2010-05-27
3,1,Prairie,-3.93092583450827,0.0127001118726661,0.966991353928087,-5.67665211268987,-4.6084217586236,-3.97848703555085,-3.31467401390228,-1.88173572652357,5797.35758525971,1.00063644536984,2010,1,2010-05-27
4,1,Maize-Soybean,-5.24969562628927,0.0146445668642474,1.43000314265548,-7.65989466871122,-6.25832613737247,-5.39255064532683,-4.38423468120515,-2.06071477654632,9535.00491486648,1.00035865964479,2010,1,2010-05-27
1,8,Switchgrass,-5.86957935086593,0.00641027895661548,0.66841131618812,-7.10309693342515,-6.33274982656121,-5.89032582848958,-5.44138161747805,-4.48028232770836,10872.6079785322,1.00008646891373,2010,1,2010-05-27
2,8,Miscanthus,-6.60153053404748,0.00567359579709975,0.707353396544706,-7.94694933699143,-7.07595654549796,-6.62574707120308,-6.14783032143223,-5.15226094299962,15543.760718661,0.999877828684923,2010,1,2010-05-27
3,8,Prairie,-5.98580620301382,0.00676126565059957,0.650201691666496,-7.18804486671008,-6.42525693110321,-6.01825486153545,-5.57013365814019,-4.62592711766511,9247.83751819921,1.00026146968186,2010,1,2010-05-27
4,8,Maize-Soybean,-7.54253395143399,0.00687006266179043,0.817505342206845,-9.06869061881397,-8.09085104599922,-7.5788980313685,-7.02904489248831,-5.83660217347748,14159.8874756673,1.00018783791424,2010,1,2010-05-27
1,15,Switchgrass,-6.41434039768772,0.00536843322109942,0.59887489010819,-7.52819813071969,-6.81885622213472,-6.42928307538623,-6.03445103227306,-5.17575638557038,12444.4898529373,1.00000366815479,2010,1,2010-05-27
2,15,Miscanthus,-7.21828994519865,0.0047496901189385,0.616638755773018,-8.42839337956539,-7.62202674250744,-7.22577243701312,-6.81476526577611,-5.98344009622794,16855.0902027071,0.99997463305464,2010,1,2010-05-27
3,15,Prairie,-6.6069900967799,0.00522742144344251,0.583132681427803,-7.71307736925039,-6.99688552777644,-6.6279077248077,-6.23825191378489,-5.40249940002919,12443.9923027043,1.00010253406894,2010,1,2010-05-27
4,15,Maize-Soybean,-8.23565178954217,0.00583702979068958,0.689591398925951,-9.58787843892796,-8.68974818646735,-8.23550724927789,-7.78753610836891,-6.85753864267347,13957.2498321535,1.00023841979501,2010,1,2010-05-27
