"crop","years","2.5%","97.5%"
Maize-Soybean,"2010, 2011",-0.654,0.607
Maize-Soybean,"2010, 2012",-0.43,1.09
Maize-Soybean,"2010, 2013",-1.12,0.785
Maize-Soybean,"2010, 2014",-1.15,0.271
Maize-Soybean,"2011, 2012",-0.276,1.02
Maize-Soybean,"2011, 2013",-0.967,0.76
Maize-Soybean,"2011, 2014",-1,0.184
Maize-Soybean,"2012, 2013",-1.45,0.479
Maize-Soybean,"2012, 2014",-1.51,-0.0609
Maize-Soybean,"2013, 2014",-1.22,0.631
Miscanthus,"2010, 2011",-0.101,0.865
Miscanthus,"2010, 2012",-0.158,1.18
Miscanthus,"2010, 2013",-0.616,0.489
Miscanthus,"2010, 2014",-0.628,0.372
Miscanthus,"2011, 2012",-0.504,0.749
Miscanthus,"2011, 2013",-0.932,0.0515
Miscanthus,"2011, 2014",-0.931,-0.0836
Miscanthus,"2012, 2013",-1.25,0.117
Miscanthus,"2012, 2014",-1.27,0.00455
Miscanthus,"2013, 2014",-0.573,0.441
Prairie,"2010, 2011",-0.187,0.78
Prairie,"2010, 2012",0.00851,1.14
Prairie,"2010, 2013",-0.642,0.391
Prairie,"2010, 2014",-0.897,0.15
Prairie,"2011, 2012",-0.207,0.76
Prairie,"2011, 2013",-0.849,0.00868
Prairie,"2011, 2014",-1.1,-0.238
Prairie,"2012, 2013",-1.22,-0.176
Prairie,"2012, 2014",-1.46,-0.425
Prairie,"2013, 2014",-0.72,0.226
Switchgrass,"2010, 2011",-0.278,0.691
Switchgrass,"2010, 2012",-0.753,0.756
Switchgrass,"2010, 2013",-0.731,0.461
Switchgrass,"2010, 2014",-1.03,0.0382
Switchgrass,"2011, 2012",-0.931,0.532
Switchgrass,"2011, 2013",-0.918,0.226
Switchgrass,"2011, 2014",-1.21,-0.19
Switchgrass,"2012, 2013",-0.967,0.685
Switchgrass,"2012, 2014",-1.27,0.274
Switchgrass,"2013, 2014",-0.966,0.26
