"Img","MeasDate","MeasTime","Experiment","Tube","Location","Date","Time","Session","DataGatherer","ImgType","PxSizeH","PxSizeV","Fungae","Undefined","Undefined.1","Undefined.2","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","X","ImageNotes","X.1","MeasDateTime","DateTime","Month","Block","Species","Depth","rootvol.mm3.mm2","Date.c","Depth.c"
"EF2010_T001_L005_2010.08.12_133910_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",5,2010-08-12,"133910",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:10,"August","0","Cornsoy",6,0,4.67197298601059,-53.9532079112398
"EF2010_T001_L005_2010.10.08_093256_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",5,2010-10-08,"093256",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",5.9071,0.128,0.4022,0.2168,0.002,3,5.9071,0.128,0.4022,0.2168,0.002,3,0,0,0,0,0,0,0,0,0,0,0,0,10,5.9071,0,0,0,0,0,0,0,0,0,0.4022,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:32:56,"October","0","Cornsoy",6,1.10732668383742e-05,61.6719729860106,-53.9532079112398
"EF2010_T001_L010_2010.08.12_133914_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",10,2010-08-12,"133914",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:14,"August","0","Cornsoy",12,0,4.67197298601059,-47.9532079112398
"EF2010_T001_L010_2010.10.08_093258_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",10,2010-10-08,"093258",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:32:58,"October","0","Cornsoy",12,0,61.6719729860106,-47.9532079112398
"EF2010_T001_L015_2010.08.12_133917_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",15,2010-08-12,"133917",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",6.9434,0.7295,2.2918,1.0507,0.067,2,6.9434,0.7295,2.2918,1.0507,0.067,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.0835,3.6616,0.1982,0,0,0,0,0,0,0,0.6475,1.5503,0.0941,0,0,0,0,0,0,0,0.2061,0.4935,0.0299,0,0,0,0,0,0,0,0.0109,0.0524,0.0036,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:17,"August","0","Cornsoy",18,0.000369024215056512,4.67197298601059,-41.9532079112398
"EF2010_T001_L015_2010.10.08_093301_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",15,2010-10-08,"093301",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",10.7702,0.5405,1.698,0.5018,0.042,3,10.7702,0.5405,1.698,0.5018,0.042,3,0,0,0,0,0,0,0,0,0,0,0,0,10,8.0929,0.6876,0.6876,1.3022,0,0,0,0,0,0,0.5684,0.162,0.27,0.6976,0,0,0,0,0,0,0.1809,0.0516,0.0859,0.222,0,0,0,0,0,0,0.0032,0.003,0.0084,0.0298,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:01,"October","0","Cornsoy",18,0.000232538603605858,61.6719729860106,-41.9532079112398
"EF2010_T001_L020_2010.08.12_133920_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",20,2010-08-12,"133920",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",12.3942,5.3115,16.6864,4.2854,1.789,2,12.3942,5.3115,16.6864,4.2854,1.789,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0796,2.2851,7.1982,2.8313,0,0,0,0,0,0,0.0872,2.7269,9.5513,4.321,0,0,0,0,0,0,0.0278,0.868,3.0403,1.3754,0,0,0,0,0,0,0.0076,0.2591,1.0087,0.5248,0,0,0,0,0,0,1,0,1,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:20,"August","0","Cornsoy",23,0.0098534973244194,4.67197298601059,-36.9532079112398
"EF2010_T001_L020_2010.10.08_093304_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",20,2010-10-08,"093304",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",10.6395,1.8449,5.796,1.734,0.251,1,10.6395,1.8449,5.796,1.734,0.251,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10.6395,0,0,0,0,0,0,0,0,0,5.796,0,0,0,0,0,0,0,0,0,1.8449,0,0,0,0,0,0,0,0,0,0.2513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:04,"October","0","Cornsoy",23,0.00138969498821596,61.6719729860106,-36.9532079112398
"EF2010_T001_L025_2010.08.12_133924_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",25,2010-08-12,"133924",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:24,"August","0","Cornsoy",29,0,4.67197298601059,-30.9532079112398
"EF2010_T001_L025_2010.10.08_093307_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",25,2010-10-08,"093307",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",8.8882,0.1927,0.6052,0.2168,0.003,1,8.8882,0.1927,0.6052,0.2168,0.003,1,0,0,0,0,0,0,0,0,0,0,0,0,10,8.8882,0,0,0,0,0,0,0,0,0,0.6052,0,0,0,0,0,0,0,0,0,0.1927,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:07,"October","0","Cornsoy",29,1.66099002575613e-05,61.6719729860106,-30.9532079112398
