"Tube","Img","MeasDate","MeasTime","Experiment","Location","Date","Time","Session","DataGatherer","ImgType","PxSizeH","PxSizeV","Fungae","Undefined","Undefined.1","Undefined.2","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","X","ImageNotes","X.1","MeasDateTime","DateTime","Month","Block","Species","Offset","Depth","rootvol.mm3.mm2","Date.c","Depth.c"
"1","EF2011_T001_L025_2011.08.05_130603_004_AP.jpg",2015-04-03,"08:52:58","EF2011",25,2011-08-05,"130603",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",31.053,6.9683,21.8914,2.244,1.681,7,31.053,6.9683,21.8914,2.244,1.681,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.3731,11.061,7.8479,5.2482,1.6468,0.066,0.066,0.066,4.6781,0,0.1114,4.3482,4.2936,3.7792,1.3495,0.0674,0.0777,0.0881,7.7764,0,0.0355,1.3841,1.3667,1.2029,0.4295,0.0214,0.0247,0.028,2.4753,0,0.0026,0.137,0.1875,0.2172,0.088,0.0055,0.0073,0.0094,1.0292,0,2,3,1,0,0,0,0,0,1,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:03,"August","0","Cornsoy",21,29,0.00860777161394439,1.21640488656158,-30.1215823152996
"1","EF2011_T001_L030_2011.08.05_130606_004_AP.jpg",2015-04-03,"08:52:58","EF2011",30,2011-08-05,"130606",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",30.7548,4.6459,14.5956,1.5106,0.588,4,30.7548,4.6459,14.5956,1.5106,0.588,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.7691,16.8048,5.5675,5.6135,0,0,0,0,0,0,0.7597,7,2.9036,3.9323,0,0,0,0,0,0,0.2418,2.2282,0.9242,1.2517,0,0,0,0,0,0,0.0166,0.2327,0.121,0.2193,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:06,"August","0","Cornsoy",21,35,0.00301092784592463,1.21640488656158,-24.1215823152996
"1","EF2011_T001_L005_2011.08.05_130553_004_AP.jpg",2015-04-03,"08:52:58","EF2011",5,2011-08-05,"130553",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",10.7817,1.3806,4.3372,1.2805,0.146,7,10.7817,1.3806,4.3372,1.2805,0.146,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.3652,4.818,3.3957,0.2028,0,0,0,0,0,0,0.6629,1.8466,1.6985,0.1292,0,0,0,0,0,0,0.211,0.5878,0.5407,0.0411,0,0,0,0,0,0,0.0148,0.0569,0.0677,0.0065,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:05:53,"August","0","Cornsoy",21,6,0.00074761133589285,1.21640488656158,-53.1215823152996
"1","EF2011_T001_L010_2011.08.05_130556_004_AP.jpg",2015-04-03,"08:52:58","EF2011",10,2011-08-05,"130556",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",2.2041,0.3845,1.208,1.7446,0.053,1,2.2041,0.3845,1.208,1.7446,0.053,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.1468,1.6208,0.4366,0,0,0,0,0,0,0,0.0658,0.8506,0.2917,0,0,0,0,0,0,0,0.0209,0.2707,0.0929,0,0,0,0,0,0,0,0.0023,0.0357,0.0155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:05:56,"August","0","Cornsoy",21,11,0.000271393156180281,1.21640488656158,-48.1215823152996
"1","EF2011_T001_L045_2011.08.05_130613_004_AP.jpg",2015-04-03,"08:52:58","EF2011",45,2011-08-05,"130613",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",32.9166,4.1082,12.9063,1.2481,0.423,8,32.9166,4.1082,12.9063,1.2481,0.423,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7.9875,18.0347,6.8544,0.0399,0,0,0,0,0,0,2.3044,6.861,3.7157,0.0253,0,0,0,0,0,0,0.7335,2.1839,1.1827,0.008,0,0,0,0,0,0,0.0529,0.2095,0.1607,0.0013,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:13,"August","0","Cornsoy",21,52,0.00216602462385394,1.21640488656158,-7.12158231529959
"1","EF2011_T001_L050_2011.08.05_130616_004_AP.jpg",2015-04-03,"08:52:58","EF2011",50,2011-08-05,"130616",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",92.3901,16.1019,50.5856,1.7428,2.851,18,92.3901,16.1019,50.5856,1.7428,2.851,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4.7117,49.5605,21.845,0,0,1.8374,14.4355,0,0,0,1.2206,19.2597,11.009,0,0,1.986,17.1103,0,0,0,0.3885,6.1306,3.5043,0,0,0.6322,5.4464,0,0,0,0.0257,0.5996,0.4419,0,0,0.1708,1.6146,0,0,0,1,14,2,0,0,1,0,0,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:16,"August","0","Cornsoy",21,58,0.0145989035522638,1.21640488656158,-1.12158231529959
"1","EF2011_T001_L035_2011.08.05_130608_004_AP.jpg",2015-04-03,"08:52:58","EF2011",35,2011-08-05,"130608",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",70.994,41.2405,129.561,5.809,38.093,20,70.994,41.2405,129.561,5.809,38.093,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.4166,13.161,6.3129,3.5593,1.3201,2.7288,3.454,9.1066,27.9347,0,0.8317,5.2568,3.3503,2.408,1.1515,2.8254,4.0692,12.2572,97.4108,0,0.2648,1.6733,1.0664,0.7665,0.3665,0.8994,1.2953,3.9016,31.0068,0,0.0165,0.1682,0.1419,0.1301,0.08,0.2328,0.3815,1.314,35.7119,0,3,7,3,2,1,2,0,1,1,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:08,"August","0","Cornsoy",21,41,0.195059990535386,1.21640488656158,-18.1215823152996
"1","EF2011_T001_L040_2011.08.05_130611_004_AP.jpg",2015-04-03,"08:52:58","EF2011",40,2011-08-05,"130611",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",12.0027,1.8991,5.9663,1.5823,0.257,3,12.0027,1.8991,5.9663,1.5823,0.257,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.2577,4.8573,2.5564,3.3314,0,0,0,0,0,0,0.3684,1.8633,1.4064,2.3283,0,0,0,0,0,0,0.1173,0.5931,0.4477,0.7411,0,0,0,0,0,0,0.0086,0.0575,0.0617,0.1296,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:11,"August","0","Cornsoy",21,46,0.00131600077619495,1.21640488656158,-13.1215823152996
"1","EF2011_T001_L070_2011.08.05_130626_004_AP.jpg",2015-04-03,"08:52:58","EF2011",70,2011-08-05,"130626",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",111.0168,32.4194,101.8484,2.9202,9.918,26,111.0168,32.4194,101.8484,2.9202,9.918,26,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4.2442,25.9493,21.5906,9.6815,1.9948,3.5217,10.5373,11.9487,21.5486,0,1.2069,10.1248,11.7826,6.9225,1.6966,3.7217,12.4086,15.9094,38.0753,0,0.3842,3.2228,3.7505,2.2035,0.5401,1.1846,3.9498,5.0641,12.1197,0,0.0273,0.3168,0.5137,0.3953,0.1149,0.3133,1.1634,1.6873,5.4194,0,2,9,7,4,1,2,0,0,1,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:26,"August","0","Cornsoy",21,82,0.0507863645848307,1.21640488656158,22.8784176847004
"1","EF2011_T001_L075_2011.08.05_130628_004_AP.jpg",2015-04-03,"08:52:58","EF2011",75,2011-08-05,"130628",4,"AP","Clr",0.022091,0.022989,"-","-","-","-",128.4597,29.6539,93.1605,2.3084,6.184,19,128.4597,29.6539,93.1605,2.3084,6.184,19,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.3479,27.7877,32.5494,11.9048,9.4347,30.3782,13.7069,0.3501,0,0,0.6792,11.3121,17.2909,8.1135,8.3643,31.0544,15.9031,0.4431,0,0,0.2162,3.6008,5.5039,2.5826,2.6624,9.8849,5.0621,0.141,0,0,0.0156,0.3689,0.7336,0.4414,0.5913,2.5286,1.4695,0.0446,0,0,1,5,6,3,2,0,1,1,0,NA,"",NA,2015-04-03 08:52:58,2011-08-05 13:06:28,"August","0","Cornsoy",21,87,0.0316659486380917,1.21640488656158,27.8784176847004
