"Year","Treatment","Block","Sample","Upper","Lower","Pct_dead","Mass_root","Mass_rhizome","Soil_length","Biomass_notes","Num_cores","Fert_kg_ha","Pct_N_root","Pct_C_root","CN_notes_root","Pct_N_rhizome","Pct_C_rhizome","CN_notes_rhizome","Midpoint","Layer_fraction","Mass_total","Biomass_g_cm3","Biomass_g_m2","Mass_root_C","Mass_root_N","Mass_rhizome_C","Mass_rhizome_N","Mass_total_C","Mass_total_N","C_g_cm3","N_g_cm3","C_g_m2","N_g_m2"
2011,"Maize",0,"1",0,10,"5",0.99,0,30,"",3,180,0.63,43.51,"",NA,NA,NA,5,1,0.99,0.00289450368737198,289.450368737198,0.430749,0.006237,0,0,0.430749,0.006237,0.00125939855437555,1.82353732304435e-05,125.939855437555,1.82353732304435
2011,"Maize",0,"1",10,30,"5",0.17,0,60,"",3,180,0.34,26.6,"",NA,NA,NA,20,1,0.17,0.00024851799336022,49.7035986720441,0.04522,0.000578,0,0,0.04522,0.000578,6.61057862338186e-05,8.44961177424749e-07,13.2211572467637,0.16899223548495
2011,"Maize",0,"1",30,50,"1",0.02,0,60,"",3,180,1.07,43.17,"",NA,NA,NA,40,1,0.02,2.92374109835553e-05,5.84748219671107,0.008634,0.000214,0,0,0.008634,0.000214,1.26217903216008e-05,3.12840297524042e-07,2.52435806432017,0.0625680595048084
2011,"Maize",0,"1",50,100,"5",0.15,0,146,"",3,180,0.71,36.11,"",NA,NA,NA,74.3333333333333,0.973333333333333,0.15,9.01153078260267e-05,45.0576539130134,0.054165,0.001065,0,0,0.054165,0.001065,3.25406376559782e-05,6.3981868556479e-07,16.2703188279891,0.319909342782395
2011,"Maize",0,"1",100,126,"30",0.01,0,66,"",3,180,0.39,49.97,"",NA,NA,NA,111,0.846153846153846,0.01,1.32897322652524e-05,3.45533038896563,0.004997,3.9e-05,0,0,0.004997,3.9e-05,6.64087921294664e-06,5.18299558344845e-08,1.72662859536613,0.013475788516966
2011,"Maize",0,"2",0,10,"15",0.04,0,30,"",3,180,1.68,43.96,"",NA,NA,NA,5,1,0.04,0.000116949643934221,11.6949643934221,0.017584,0.000672,0,0,0.017584,0.000672,5.14110634734837e-05,1.96475401809492e-06,5.14110634734837,0.196475401809492
2011,"Maize",0,"2",10,30,"15",0.04,0,60,"",3,180,1.48,41.78,"",NA,NA,NA,20,1,0.04,5.84748219671107e-05,11.6949643934221,0.016712,0.000592,0,0,0.016712,0.000592,2.44307806178588e-05,8.65427365113238e-07,4.88615612357177,0.173085473022648
2011,"Maize",0,"2",30,50,"2",0.02,0,60,"",3,180,1.07,39.38,"",NA,NA,NA,40,1,0.02,2.92374109835553e-05,5.84748219671107,0.007876,0.000214,0,0,0.007876,0.000214,1.15136924453241e-05,3.12840297524042e-07,2.30273848906482,0.0625680595048084
2011,"Maize",0,"2",50,100,"10",0.13,0,150,"",3,180,0.89,37.94,"",NA,NA,NA,75,1,0.13,7.60172685572439e-05,38.0086342786219,0.049322,0.001157,0,0,0.049322,0.001157,2.88409516906183e-05,6.76553690159471e-07,14.4204758453092,0.338276845079735
2011,"Maize",0,"2",100,126,"10",0,0,108,"",3,180,NA,NA,"NEM",NA,NA,NA,118,1.38461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",0,"3",0,10,"10",0.74,0,30,"",3,180,1.05,38.27,"",NA,NA,NA,5,1,0.74,0.00216356841278309,216.356841278309,0.283198,0.00777,0,0,0.283198,0.00777,0.00082799763157209,2.27174683342225e-05,82.799763157209,2.27174683342225
2011,"Maize",0,"3",10,30,"10",0.08,0,60,"",3,180,1.49,38.53,"",NA,NA,NA,20,1,0.08,0.000116949643934221,23.3899287868443,0.030824,0.001192,0,0,0.030824,0.001192,4.50606978078555e-05,1.7425496946199e-06,9.0121395615711,0.34850993892398
2011,"Maize",0,"3",30,50,"2",0.05,0,60,"",3,180,1.04,39.85,"",NA,NA,NA,40,1,0.05,7.30935274588883e-05,14.6187054917777,0.019925,0.00052,0,0,0.019925,0.00052,2.9127770692367e-05,7.60172685572439e-07,5.8255541384734,0.152034537114488
2011,"Maize",0,"3",50,100,"20",0.08,0,150,"",3,180,1.16,35.35,"",NA,NA,NA,75,1,0.08,4.67798575736885e-05,23.3899287868443,0.02828,0.000928,0,0,0.02828,0.000928,1.65366796522989e-05,5.42646347854787e-07,8.26833982614945,0.271323173927393
2011,"Maize",0,"3",100,126,"1",0,0,120,"",3,180,0.76,54.99,"",NA,NA,NA,120,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",0,"4",0,10,"",1.51,0,30,"",3,180,0.67,45.38,"",NA,NA,NA,5,1,1.51,0.00441484905851686,441.484905851686,0.685238,0.010117,0,0,0.685238,0.010117,0.00200345850275495,2.95794886920629e-05,200.345850275495,2.95794886920629
2011,"Maize",0,"4",10,30,"2",0.04,0,60,"",3,180,0.97,37.9,"",NA,NA,NA,20,1,0.04,5.84748219671107e-05,11.6949643934221,0.01516,0.000388,0,0,0.01516,0.000388,2.21619575255349e-05,5.67205773080974e-07,4.43239150510699,0.113441154616195
