# A manually compiled list of all calibration images from the Energy Farm rhizotron experiment, as remeasured by CKB on 2016-05-01.
# First 9 columns: image name and calibration as determined by CKB by tracing each image in Preview.app.
# Columns 10-14: calibration file name and calibration as recorded by tracing techs and used in the now-current version of the WinRhizo data files.
# The next thing I did after compiling this was to re-export the days that seemed incorrectly calibrated, so future readers should treat the values in columns 10-14 as historical.
year,image,mm_h,px_h,mm_v,px_v,pxsize_h,pxsize_v,hv_ratio,calib_name,calib_pxsize_h,calib_pxsize_v,calib_hv_ratio,notes
2010,ef2010_t097_l001_2010.07.22_103015_003_ap.jpg,17,685,11,427,0.024817518,0.025761124,0.963370936,EF2010_T097_001.CAL,2.47E-02,2.57E-02,9.62E-01,Also 07-22.CAL?
2010,ef2010_t097_l001_2010.08.12_101843_003_ap.jpg,14,655,10,453,0.021374046,0.022075055,0.968244275,2010-08-12.CAL,2.13E-02,2.21E-02,9.65E-01,
2010,ef2010_t097_l001_2010.08.17_095728_004_ap.jpg,14,656,9,402,0.021341463,0.02238806,0.953252033,2010-08-17.CAL,2.14E-02,2.23E-02,9.62E-01,
2010,ef2010_t097_l001_2010.10.07_085009_005_ap.jpg,14,658,9,403,0.021276596,0.022332506,0.952718676,EF2010_T097_L001.CAL,2.13E-02,2.23E-02,9.57E-01,
2010,ef2010_t097_l002_2010.05.27_102602_001_ap.jpg,16,662,11,437,0.024169184,0.025171625,0.960175776,EF2010.05.27.CAL,2.42E-02,2.54E-02,9.50E-01,
2010,ef2010_t097_l002_2010.07.22_160422_003_ap.jpg,16,646,11,426,0.024767802,0.025821596,0.959189417,EF2010_T097_002.CAL,2.48E-02,2.59E-02,9.56E-01,
2010,ef2010_t097_l002_2010.08.18_095833_004_ap.jpg,14,659,9,412,0.02124431,0.02184466,0.972517282,2010-08-18.CAL,2.14E-02,2.18E-02,9.79E-01,
2010,ef2010_t097_l002_2010.10.08_091343_005_ap.jpg,14,657,9,412,0.02130898,0.02184466,0.975477761,EF2010_T097_L002.CAL,2.13E-02,2.20E-02,9.67E-01,
2010,ef2010_t097_l003_2010.05.28_095759_001_ap.jpg,16,667,11,440,0.023988006,0.025,0.95952024,EF2010.05.28.CAL,2.41E-02,2.52E-02,9.57E-01,
2010,ef2010_t097_l003_2010.07.23_105117_003_ap.jpg,17,690,12,465,0.024637681,0.025806452,0.954710145,EF2010_T097_003.CAL,2.46E-02,2.57E-02,9.57E-01,
2010,ef2010_t097_l003_2010.10.14_095015_005_wam.jpg,14,657,9,412,0.02130898,0.02184466,0.975477761,EF2010_T097_L003.CAL,2.12E-02,2.23E-02,9.51E-01,
2010,ef2010_t097_l004_2010.07.26_101238_003_ap.jpg,17,688,12,461,0.024709302,0.026030369,0.949249031,EF2010_T097_004.CAL,2.47E-02,2.58E-02,9.58E-01,
2010,ef2010_t097_l004_2010.10.15_133238_005_wam.jpg,14,659,10,452,0.02124431,0.022123894,0.960242792,EF2010_T097_L004.CAL,2.13E-02,2.26E-02,9.43E-01,
2011,ef2011_t097_l001_2011.05.24_115922_002_lms.jpg,17,718,11,447,0.02367688,0.024608501,0.962142315,,,,,
2011,ef2011_t097_l001_2011.06.15_144624_003_mm.jpg,16,684,10,412,0.023391813,0.024271845,0.96374269,,,,,
2011,ef2011_t097_l001_2011.08.01_095744_004_ap.jpg,14,636,10,435,0.022012579,0.022988506,0.95754717,2011-08-01.CAL,2.20E-02,2.30E-02,9.57E-01,
2011,ef2011_t097_l001_2011.09.14_102031_005_ap.jpg,15,681,10,434,0.022026432,0.023041475,0.955947137,,,,,
2011,ef2011_t097_l002_2011.05.31_103059_002_ap.jpg,16,681,11,449,0.02349486,0.024498886,0.959017488,,,,,
2011,ef2011_t097_l002_2011.06.24_100355_003_ap.jpg,16,678,11,450,0.02359882,0.024444444,0.965406275,,,,,
2011,ef2011_t097_l002_2011.08.04_102722_004_ap.jpg,15,682,10,432,0.021994135,0.023148148,0.950146628,2011-08-04.CAL,2.21E-02,2.30E-02,9.57E-01,
2011,ef2011_t097_l002_2011.09.16_094630_005_ap.jpg,15,676,10,439,0.022189349,0.022779043,0.974112426,,,,,
2011,ef2011_t097_l003_2011.06.01_102510_002_ap.jpg,16,684,10,410,0.023391813,0.024390244,0.959064327,,,,,
2011,ef2011_t097_l003_2011.06.28_095507_003_md.jpg,16,675,11,449,0.023703704,0.024498886,0.967542088,,,,,
2011,ef2011_t097_l003_2011.08.05_095939_004_ap.jpg,15,681,10,436,0.022026432,0.02293578,0.960352423,2011-08-05.CAL,2.21E-02,2.30E-02,9.61E-01,
2011,ef2011_t097_l003_2011.09.19_134926_005_ap.jpg,15,678,10,440,0.022123894,0.022727273,0.973451327,,,,,
2011,ef2011_t097_l004_2011.06.29_101745_003_md.jpg,16,675,12,484,0.023703704,0.024793388,0.956049383,,,,,
2011,ef2011_t097_l005_2011.06.30_102017_003_ap.jpg,16,676,10,405,0.023668639,0.024691358,0.958579882,,,,,
2011,ef2011_t097_l010_2011.03.29_135442_001_md.jpg,15,705,10,452,0.021276596,0.022123894,0.961702128,,,,,
2011,ef2011_t097_l011_2011.04.05_101246_001_md.jpg,14,663,9,410,0.021116139,0.02195122,0.961957433,CAL-EF2011_T097_L011_2011.04.05_101246_001_MD.CAL,2.12E-02,2.20E-02,9.64E-01,
2011,ef2011_t097_l090_2011.04.01_103123_001_mm.jpg,14,659,10,450,0.02124431,0.022222222,0.95599393,,,,,
2012,ef2012_t097_l001_2012.05.18_101438_001_ckb.jpg,15,674,10,430,0.022255193,0.023255814,0.956973294,,,,,
2012,ef2012_t097_l001_2012.06.04_095557_002_taw.jpg,15,669,11,472,0.022421525,0.023305085,0.96208724,,,,,
2012,ef2012_t097_l001_2012.06.21_094533_003_lyf.jpg,17,653,13,479,0.026033691,0.027139875,0.959241371,06_21.CAL,2.62E-02,2.72E-02,9.61E-01,
2012,ef2012_t097_l001_2012.08.02_113953_003_taw.jpg,14,639,10,439,0.021909233,0.022779043,0.961815336,08_02.CAL,2.19E-02,2.29E-02,9.58E-01,
2012,ef2012_t097_l001_2012.08.29_104414_005_mdm.jpg,15,707,10,453,0.021216407,0.022075055,0.961103253,,,,,
