Operator,Img,MeasDate,MeasTime,Experiment,Tube,Location,Date,Time,Session,DataGatherer,ImgType,PxSizeH,PxSizeV,Fungae,Undefined,Undefined,Undefined,TotLength.mm,TotProjArea.mm2,TotSurfArea.mm2,TotAvgDiam.10ths.mm,TotVolume.mm3,TotNumberOfTips,AliveLength.mm,AliveProjArea.mm2,AliveSurfArea.mm2,AliveAvgDiam.10ths.mm,AliveVolume.mm3,AliveNumberOfTips,DeadLength.mm,DeadProjArea.mm2,DeadSurfArea.mm2,DeadAvgDiam.10ths.mm,DeadVolume.mm3,DeadNumberOfTips,GoneLength.mm,GoneProjArea.mm2,GoneSurfArea.mm2,GoneAvgDiam.10ths.mm,GoneVolume.mm3,GoneNumberOfTips,NumberOfClasses,L0to0.5,L0.5to1,L1to1.5,L1.5to2,L2to2.5,L2.5to3,L3to3.5,L3.5to4,L4to4.5,Lgreaterthan4.5,SA0to0.5,SA0.5to1,SA1to1.5,SA1.5to2,SA2to2.5,SA2.5to3,SA3to3.5,SA3.5to4,SA4to4.5,SAgreaterthan4.5,PA0to0.5,PA0.5to1,PA1to1.5,PA1.5to2,PA2to2.5,PA2.5to3,PA3to3.5,PA3.5to4,PA4to4.5,PAgreaterthan4.5,V0to0.5,V0.5to1,V1to1.5,V1.5to2,V2to2.5,V2.5to3,V3to3.5,V3.5to4,V4to4.5,Vgreaterthan4.5,T0to0.5,T0.5to1,T1to1.5,T1.5to2,T2to2.5,T2.5to3,T3to3.5,T3.5to4,T4to4.5,Tgreaterthan4.5,,ImageNotes,
AN,CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,1,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,86.7566,20.0185,62.8899,2.3074,3.852,19,86.7566,20.0185,62.8899,2.3074,3.852,19,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,4.3259,24.6335,32.4500,11.1152,12.3959,1.8361,0.0000,0.0000,0.0000,0.0000,1.8949,13.7778,22.6831,9.5606,12.7890,2.1845,0.0000,0.0000,0.0000,0.0000,0.6032,4.3856,7.2202,3.0432,4.0709,0.6954,0.0000,0.0000,0.0000,0.0000,0.0661,0.6162,1.2655,0.6558,1.0504,0.2070,0.0000,0.0000,0,0,3,6,7,3,0,0,0,0,,,
AN,CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,2,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L003_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,3,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L004_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,4,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,5,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,3.9539,0.6995,2.1976,1.7692,0.100,2,3.9539,0.6995,2.1976,1.7692,0.100,2,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.5941,2.5050,0.8548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2371,1.3717,0.5888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0755,0.4366,0.1874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,0.0601,0.0323,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,1,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,6,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,7,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,8,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,28.4749,5.4749,17.1998,1.9227,0.894,8,28.4749,5.4749,17.1998,1.9227,0.894,8,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,6.9619,8.5827,6.1740,6.7563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5262,4.7128,4.4035,5.5574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8041,1.5001,1.4017,1.7690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0737,0.2071,0.2509,0.3638,0.0000,0.0000,0.0000,0.0000,0,0,2,5,1,0,0,0,0,0,,,
AN,CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,9,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,,,
AN,CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg,5/19/2014,17:13:20,CONSISTEST,1,10,2011.06.06,155541,001,CKB,Clr,0.025602,0.027397,-,-,-,-,85.3889,42.4198,133.2657,4.9678,21.709,12,85.3889,42.4198,133.2657,4.9678,21.709,12,0.0000,0.0000,0.0000,0.0000,0.000,0,0.0000,0.0000,0.0000,0.0000,0.000,0,10,0.0000,0.0000,0.0000,1.8057,6.5996,5.1849,11.2760,25.4136,6.3388,28.7703,0.0000,0.0000,0.0000,1.0498,4.7372,4.3850,11.9730,30.3005,8.3333,72.4869,0.0000,0.0000,0.0000,0.3342,1.5079,1.3958,3.8111,9.6450,2.6526,23.0733,0.0000,0.0000,0.0000,0.0487,0.2715,0.2958,1.0124,2.8780,0.8722,16.3467,0,0,0,1,2,1,1,4,1,2,,,
