src_rownum,src_tube,src_location,src_date,src_time,src_session,src_tech,notes,has_roots,crop,rep,assigned_num,assigned_tube,assigned_loc,assigned_imgname
67,1,67,2009.06.05,145505,1,CKB,,n,Corn,NA,78,1,78,CONSISTEST_T001_L078_2011.06.06_155541_001_CKB.jpg
136,2,25,2009.06.05,150718,1,CKB,,n,Corn,NA,9,1,9,CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg
155,2,44,2009.06.05,150817,1,CKB,,n,Corn,NA,86,1,86,CONSISTEST_T001_L086_2011.06.06_155541_001_CKB.jpg
554,5,109,2009.06.05,164349,1,CKB,,n,Corn,NA,82,1,82,CONSISTEST_T001_L082_2011.06.06_155541_001_CKB.jpg
675,7,8,2009.06.05,160909,1,CKB,,y,Corn,NA,109,2,9,CONSISTEST_T002_L009_2011.06.06_155541_001_CKB.jpg
898,9,35,2009.06.05,190221,1,CKB,,n,Corn,NA,63,1,63,CONSISTEST_T001_L063_2011.06.06_155541_001_CKB.jpg
987,12,26,2009.06.05,191906,1,CKB,,y,Corn,NA,38,1,38,CONSISTEST_T001_L038_2011.06.06_155541_001_CKB.jpg
1276,17,106,2009.06.05,180301,1,CKB,,n,Corn,NA,83,1,83,CONSISTEST_T001_L083_2011.06.06_155541_001_CKB.jpg
1481,25,75,2009.06.25,134454,1,CKB,,y,Misc,NA,26,1,26,CONSISTEST_T001_L026_2011.06.06_155541_001_CKB.jpg
1585,30,10,2009.06.25,141303,1,CKB,,y,Misc,NA,105,2,5,CONSISTEST_T002_L005_2011.06.06_155541_001_CKB.jpg
1600,30,85,2009.06.25,141349,1,CKB,,n,Misc,NA,88,1,88,CONSISTEST_T001_L088_2011.06.06_155541_001_CKB.jpg
1845,41,20,2009.06.25,160233,1,CKB,,n,Misc,NA,51,1,51,CONSISTEST_T001_L051_2011.06.06_155541_001_CKB.jpg
1880,42,80,2009.06.25,160647,1,CKB,,n,Misc,NA,31,1,31,CONSISTEST_T001_L031_2011.06.06_155541_001_CKB.jpg
1932,44,110,2009.06.25,161532,1,CKB,,n,Misc,NA,13,1,13,CONSISTEST_T001_L013_2011.06.06_155541_001_CKB.jpg
1963,46,35,2009.06.25,163014,1,CKB,,n,Misc,NA,20,1,20,CONSISTEST_T001_L020_2011.06.06_155541_001_CKB.jpg
2040,49,75,2009.06.27,143138,1,CKB,,n,Switch,NA,71,1,71,CONSISTEST_T001_L071_2011.06.06_155541_001_CKB.jpg
2043,49,90,2009.06.27,143147,1,CKB,,n,Switch,NA,19,1,19,CONSISTEST_T001_L019_2011.06.06_155541_001_CKB.jpg
2076,51,20,2009.06.27,142148,1,CKB,,n,Switch,NA,15,1,15,CONSISTEST_T001_L015_2011.06.06_155541_001_CKB.jpg
2173,56,45,2009.06.27,144020,1,CKB,,y,Switch,NA,84,1,84,CONSISTEST_T001_L084_2011.06.06_155541_001_CKB.jpg
