"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace","Subject","Frame","RinC","ImgID"
"5","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,5,0.024129,0.025157,7.2006,0.1774,0.5575,0.2464,0.003,3,7.2006,0.1774,0.5575,0.2464,0.003,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7.2006,0,0,0,0,0,0,0,0,0,0.5575,0,0,0,0,0,0,0,0,0,0.1774,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","AP","5","2","5"
"8","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,8,0.024129,0.025157,35.4811,4.2441,13.3334,1.1962,0.589,6,35.4811,4.2441,13.3334,1.1962,0.589,6,0,0,0,0,0,0,0,0,0,0,0,0,10,15.0703,0.7192,0.7192,18.9724,0,0,0,0,0,0,1.1812,0.1694,0.2824,11.7003,0,0,0,0,0,0,0.376,0.0539,0.0899,3.7243,0,0,0,0,0,0,0.0074,0.0032,0.0088,0.5745,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"Switch",8,"y","y","y","AP","8","2","8"
"10","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,10,0.024129,0.025157,89.7012,25.3723,79.7094,2.8285,9.315,13,89.7012,25.3723,79.7094,2.8285,9.315,13,0,0,0,0,0,0,0,0,0,0,0,0,10,14.7296,0.867,0.867,20.063,29.5882,2.2732,2.2732,2.0505,2.2409,14.7486,1.1579,0.2043,0.3405,12.3661,20.6306,1.9639,2.3209,2.4002,2.9555,35.3695,0.3686,0.065,0.1084,3.9363,6.5669,0.6251,0.7388,0.764,0.9407,11.2585,0.0073,0.0038,0.0106,0.6069,1.1448,0.135,0.1886,0.2236,0.3102,6.792,5,0,0,4,2,0,0,0,1,1,"Corn",2,"y","y","y","AP","10","2","10"
"12","CONSISTEST_T001_L012_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,12,0.024129,0.025157,16.1308,1.5685,4.9275,0.9723,0.198,4,16.1308,1.5685,4.9275,0.9723,0.198,4,0,0,0,0,0,0,0,0,0,0,0,0,10,8.5327,0.6651,0.6651,6.268,0,0,0,0,0,0,0.674,0.1567,0.2612,3.8356,0,0,0,0,0,0,0.2145,0.0499,0.0831,1.2209,0,0,0,0,0,0,0.0043,0.0029,0.0082,0.187,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Misc",5,"y","y","y","AP","12","2","12"
"18","CONSISTEST_T001_L018_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,18,0.024129,0.025157,9.8196,0.242,0.7602,0.2464,0.005,4,9.8196,0.242,0.7602,0.2464,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9.8196,0,0,0,0,0,0,0,0,0,0.7602,0,0,0,0,0,0,0,0,0,0.242,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","AP","18","2","5"
"28","CONSISTEST_T001_L028_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,28,0.024129,0.025157,19.9659,2.8519,8.9596,1.4284,0.405,3,19.9659,2.8519,8.9596,1.4284,0.405,3,0,0,0,0,0,0,0,0,0,0,0,0,10,5.3564,0.7628,0.7628,13.0839,0,0,0,0,0,0,0.4301,0.1797,0.2996,8.0502,0,0,0,0,0,0,0.1369,0.0572,0.0954,2.5624,0,0,0,0,0,0,0.0028,0.0034,0.0094,0.3944,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,"Prairie",12,"y","y","y","AP","28","3","28"
"29","CONSISTEST_T001_L029_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,29,0.024129,0.025157,5.655,1.6429,5.1615,2.9053,0.414,2,5.655,1.6429,5.1615,2.9053,0.414,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3.6831,0,0,0,1.9719,0,0,0,0,0,2.5663,0,0,0,2.5952,0,0,0,0,0,0.8169,0,0,0,0.8261,0,0,0,0,0,0.1423,0,0,0,0.2718,0,0,0,0,0,1,0,0,0,1,0,"Switch",9,"y","y","y","AP","29","3","29"
"34","CONSISTEST_T001_L034_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,34,0.024129,0.025157,15.8361,1.828,5.7428,1.1543,0.243,4,15.8361,1.828,5.7428,1.1543,0.243,4,0,0,0,0,0,0,0,0,0,0,0,0,10,6.5829,0.857,0.857,6.6073,0.9318,0,0,0,0,0,0.5269,0.2019,0.3366,4.0324,0.645,0,0,0,0,0,0.1677,0.0643,0.1071,1.2836,0.2053,0,0,0,0,0,0.0034,0.0038,0.0105,0.1961,0.0355,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Misc",5,"y","y","y","AP","34","2","12"
"36","CONSISTEST_T001_L036_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,36,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","n","n","AP","36","3","36"
"40","CONSISTEST_T001_L040_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,40,0.024129,0.025157,18.1195,2.278,7.1566,1.2572,0.328,2,18.1195,2.278,7.1566,1.2572,0.328,2,0,0,0,0,0,0,0,0,0,0,0,0,10,7.5022,0,0,10.6173,0,0,0,0,0,0,0.5808,0,0,6.5758,0,0,0,0,0,0,0.1849,0,0,2.0931,0,0,0,0,0,0,0.0036,0,0,0.3241,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Misc",4,"y","y","y","AP","40","1","40"
