"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace"
"301","CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,1,0.025532,0.02537,125.2756,4.9183,15.4512,0.3926,0.34,39,125.2756,4.9183,15.4512,0.3926,0.34,39,0,0,0,0,0,0,0,0,0,0,0,0,10,113.5609,2.083,2.083,2.083,5.4655,0,0,0,0,0,9.1194,0.4908,0.818,1.1452,3.8778,0,0,0,0,0,2.9028,0.1562,0.2604,0.3645,1.2343,0,0,0,0,0,0.0584,0.0092,0.0256,0.0501,0.2191,0,0,0,0,0,37,0,0,0,2,0,0,0,0,0,"Misc",0,"y","y","y"
"302","CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,2,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",0,"y","n","n"
"303","CONSISTEST_T001_L003_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,3,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Switch",0,"n","n","n"
"304","CONSISTEST_T001_L004_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,4,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","y","n"
"305","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,5,0.025532,0.02537,34.7819,7.9668,25.0285,2.2905,2.839,4,34.7819,7.9668,25.0285,2.2905,2.839,4,0,0,0,0,0,0,0,0,0,0,0,0,10,14.5435,1.6169,1.6169,1.6169,4.4142,0.4331,0.4331,0.4331,2.2345,7.4396,1.1935,0.381,0.635,0.889,3.1396,0.3742,0.4422,0.5102,2.8727,14.5912,0.3799,0.1213,0.2021,0.283,0.9994,0.1191,0.1408,0.1624,0.9144,4.6445,0.0079,0.0071,0.0198,0.0389,0.1778,0.0257,0.0359,0.0478,0.2939,2.283,2,0,0,0,1,0,0,0,0,1,"Prairie",11,"y","n","y"
"306","CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,6,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n"
"307","CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,7,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","y","n"
"308","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,8,0.025532,0.02537,27.5323,1.0422,3.2743,0.3785,0.055,8,27.5323,1.0422,3.2743,0.3785,0.055,8,0,0,0,0,0,0,0,0,0,0,0,0,10,24.5822,0.8238,0.8238,0.8238,0.4788,0,0,0,0,0,1.9811,0.1941,0.3235,0.4529,0.3227,0,0,0,0,0,0.6306,0.0618,0.103,0.1442,0.1027,0,0,0,0,0,0.0128,0.0036,0.0101,0.0198,0.0173,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,"Switch",8,"y","n","y"
"309","CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,9,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",0,"n","y","n"
"310","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,10,0.025532,0.02537,88.5983,23.2464,73.0308,2.6238,6.48,15,88.5983,23.2464,73.0308,2.6238,6.48,15,0,0,0,0,0,0,0,0,0,0,0,0,10,5.0942,0.1411,0.1411,0.1411,66.0391,0.6189,0.6189,0.6189,0.6189,14.5659,0.41,0.0332,0.0554,0.0776,42.2839,0.5347,0.6319,0.7292,0.8264,27.4485,0.1305,0.0106,0.0176,0.0247,13.4594,0.1702,0.2012,0.2321,0.263,8.7371,0.0026,6e-04,0.0017,0.0034,2.1547,0.0368,0.0513,0.0684,0.0878,4.1249,1,0,0,0,13,0,0,0,0,1,"Corn",2,"y","y","y"
