Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,AN,2014-05-19,yes,
1,2,AN,2014-05-19,no,
1,3,AN,2014-05-19,no,
1,4,AN,2014-05-19,no,
1,5,AN,2014-05-19,yes,
1,6,AN,2014-05-19,no,
1,7,AN,2014-05-19,no,
1,8,AN,2014-05-19,yes,
1,9,AN,2014-05-19,no,
1,10,AN,2014-05-19,yes,
1,11,AN,2014-05-19,yes,
1,12,AN,2014-05-19,yes,
1,13,AN,2014-05-19,no,
1,14,AN,2014-05-19,no,
1,15,AN,2014-05-19,no,
1,16,AN,2014-05-19,no,
1,17,AN,2014-05-19,no,
1,18,AN,2014-05-19,yes,
1,19,AN,2014-05-19,no,
1,20,AN,2014-05-19,no,
1,21,AN,2014-05-19,yes,
1,22,AN,2014-05-19,no,"possible root, but looks like texture in soil"
1,23,AN,2014-05-19,yes,
1,24,AN,2014-05-19,no,
1,25,AN,2014-05-19,no,
1,26,AN,2014-05-19,no,
1,27,AN,2014-05-19,no,
1,28,AN,2014-05-19,blurry,
1,29,AN,2014-05-19,yes,
1,30,AN,2014-05-19,no,
1,31,AN,2014-05-19,no,
1,32,AN,2014-05-19,too dark,
1,33,AN,2014-05-19,yes,
1,34,AN,2014-05-19,yes,
1,35,AN,2014-05-19,yes,
1,36,AN,2014-05-19,no,
1,37,AN,2014-05-19,yes,
1,38,AN,2014-05-19,yes,
1,39,AN,2014-05-19,no,
1,40,AN,2014-05-19,yes,
1,41,AN,2014-05-19,blurry,
1,42,AN,2014-05-19,yes,
1,43,AN,2014-05-19,no,
1,44,AN,2014-05-19,blurry,
1,45,AN,2014-05-19,yes,
1,46,AN,2014-05-19,,
1,47,AN,2014-05-19,yes,
1,48,AN,2014-05-19,yes,
1,49,AN,2014-05-19,no,
1,50,AN,2014-05-19,yes,
1,51,AN,2014-05-19,no,
1,52,AN,2014-05-19,no,
1,53,AN,2014-05-19,no,
1,54,AN,2014-05-19,no,
1,55,AN,2014-05-19,no,
1,56,AN,2014-05-19,no,
1,57,AN,2014-05-19,yes,
1,58,AN,2014-05-19,blurry,
1,59,AN,2014-05-19,yes,
1,60,AN,2014-05-19,yes,
1,61,AN,2014-05-19,yes,
1,62,AN,2014-05-19,no,
1,63,AN,2014-05-19,no,
1,64,AN,2014-05-19,no,
1,65,AN,2014-05-19,no,
1,66,AN,2014-05-19,yes,
1,67,AN,2014-05-19,yes,
1,68,AN,2014-05-19,yes,
1,69,AN,2014-05-19,no,
1,70,AN,2014-05-19,yes,
1,71,AN,2014-05-19,no,
1,72,AN,2014-05-19,yes,
1,73,AN,2014-05-19,no,
1,74,AN,2014-05-19,yes,
1,75,AN,2014-05-19,no,
1,76,AN,2014-05-19,no,
1,77,AN,2014-05-19,no,
1,78,AN,2014-05-19,no,
1,79,AN,2014-05-19,yes,
1,80,AN,2014-05-19,no,
1,81,AN,2014-05-19,yes,
1,82,AN,2014-05-19,no,
1,83,AN,2014-05-19,no,
1,84,AN,2014-05-19,yes,
1,85,AN,2014-05-19,no,
1,86,AN,2014-05-19,no,
1,87,AN,2014-05-19,no,
1,88,AN,2014-05-19,no,
1,89,AN,2014-05-19,no,
1,90,AN,2014-05-19,no,
1,91,AN,2014-05-19,no,
1,92,AN,2014-05-19,no,
1,93,AN,2014-05-19,yes,
1,94,AN,2014-05-19,no,
1,95,AN,2014-05-19,no,
1,96,AN,2014-05-19,blurry,
1,97,AN,2014-05-19,no,
1,98,AN,2014-05-19,no,
1,99,AN,2014-05-19,yes,
1,100,AN,2014-05-19,no,
2,1,AN,,,
2,2,AN,,,
2,3,AN,,,
2,4,AN,,,
2,5,AN,,,
2,6,AN,,,
2,7,AN,,,
2,8,AN,,,
2,9,AN,,,
2,10,AN,,,
2,11,AN,,,
2,12,AN,,,
2,13,AN,,,
2,14,AN,,,
2,15,AN,,,
2,16,AN,,,
2,17,AN,,,
2,18,AN,,,
2,19,AN,,,
2,20,AN,,,
2,21,AN,,,
2,22,AN,,,
2,23,AN,,,
2,24,AN,,,
