Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,AP,2011-06-06,yes,
1,2,AP,2011-06-06,no,
1,3,AP,2011-06-06,no,
1,4,AP,2011-06-06,no,
1,5,AP,2011-06-06,yes,
1,6,AP,2011-06-06,no,
1,7,AP,2011-06-06,no,
1,8,AP,2011-06-06,yes,
1,9,AP,2011-06-06,no,
1,10,AP,2011-06-06,yes,
1,11,AP,2011-06-06,yes,
1,12,AP,2011-06-06,yes,
1,13,AP,2011-06-06,no,
1,14,AP,2011-06-06,no,
1,15,AP,2011-06-06,no,
1,16,AP,2011-06-06,yes,hard to recognize roots because image is dark.
1,17,AP,2011-06-06,no,
1,18,AP,2011-06-06,yes,
1,19,AP,2011-06-06,no,
1,20,AP,2011-06-06,no,
1,21,AP,2011-06-06,yes,
1,22,AP,2011-06-06,yes,
1,23,AP,2011-06-06,yes,
1,24,AP,2011-06-06,no,
1,25,AP,2011-06-06,no,
1,26,AP,2011-06-06,no,possible root towards the bottom of image
1,27,AP,2011-06-06,yes,
1,28,AP,2011-06-06,yes,image is blurry
1,29,AP,2011-06-06,yes,
1,30,AP,2011-06-06,no,
1,31,AP,2011-06-06,no,
1,32,AP,2011-06-06,yes,
1,33,AP,2011-06-06,yes,
1,34,AP,2011-06-06,yes,
1,35,AP,2011-06-06,yes,
1,36,AP,2011-06-06,no,
1,37,AP,2011-06-06,yes,
1,38,AP,2011-06-06,yes,
1,39,AP,2011-06-06,no,
1,40,AP,2011-06-06,yes,
1,41,AP,2011-06-06,yes,
1,42,AP,2011-06-06,yes,
1,43,AP,2011-06-06,yes,
1,44,AP,2011-06-06,yes,
1,45,AP,2011-06-06,yes,
1,46,AP,2011-06-06,yes,
1,47,AP,2011-06-06,yes,
1,48,AP,2011-06-06,yes,
1,49,AP,2011-06-06,no,
1,50,AP,2011-06-06,yes,
1,51,AP,2011-06-06,yes,
1,52,AP,2011-06-06,no,
1,53,AP,2011-06-06,yes,
1,54,AP,2011-06-06,yes,
1,55,AP,2011-06-06,no,
1,56,AP,2011-06-06,yes,
1,57,AP,2011-06-06,yes,
1,58,AP,2011-06-06,no,"image is blurry, roots might be present"
1,59,AP,2011-06-06,yes,
1,60,AP,2011-06-06,yes,
1,61,AP,2011-06-06,yes,
1,62,AP,2011-06-06,no,
1,63,AP,2011-06-06,no,
1,64,AP,2011-06-06,no,
1,65,AP,2011-06-06,no,
1,66,AP,2011-06-06,yes,
1,67,AP,2011-06-06,yes,
1,68,AP,2011-06-06,yes,
1,69,AP,2011-06-06,no,
1,70,AP,2011-06-06,yes,
1,71,AP,2011-06-06,no,
1,72,AP,2011-06-06,yes,
1,73,AP,2011-06-06,yes,
1,74,AP,2011-06-06,yes,
1,75,AP,2011-06-06,no,
1,76,AP,2011-06-06,yes,
1,77,AP,2011-06-06,no,
1,78,AP,2011-06-06,no,
1,79,AP,2011-06-06,yes,
1,80,AP,2011-06-06,yes,
1,81,AP,2011-06-06,yes,
1,82,AP,2011-06-06,no,
1,83,AP,2011-06-06,no,
1,84,AP,2011-06-06,yes,
1,85,AP,2011-06-06,no,
1,86,AP,2011-06-06,no,
1,87,AP,2011-06-06,no,
1,88,AP,2011-06-06,no,
1,89,AP,2011-06-06,no,
1,90,AP,2011-06-06,yes,
1,91,AP,2011-06-06,no,
1,92,AP,2011-06-06,yes,
1,93,AP,2011-06-06,yes,
1,94,AP,2011-06-06,yes,
1,95,AP,2011-06-06,no,
1,96,AP,2011-06-06,yes,image is blurry
1,97,AP,2011-06-06,no,
1,98,AP,2011-06-06,no,
1,99,AP,2011-06-06,yes,
1,100,AP,2011-06-06,no,
2,1,AP,2011-06-06,yes,
2,2,AP,2011-06-06,yes,
2,3,AP,2011-06-06,yes,
2,4,AP,2011-06-06,yes,
2,5,AP,2011-06-06,yes,
2,6,AP,2011-06-06,yes,
2,7,AP,2011-06-06,yes,
2,8,AP,2011-06-06,no,
2,9,AP,2011-06-06,yes,
2,10,AP,2011-06-06,no,
2,11,AP,2011-06-06,no,
2,12,AP,2011-06-06,yes,
2,13,AP,2011-06-06,no,
2,14,AP,2011-06-06,no,
2,15,AP,2011-06-06,yes,
2,16,AP,2011-06-06,no,
2,17,AP,2011-06-06,no,
2,18,AP,2011-06-06,no,
2,19,AP,2011-06-06,yes,
2,20,AP,2011-06-06,no,
2,21,AP,2011-06-06,no,
2,22,AP,2011-06-06,no,
2,23,AP,2011-06-06,no,
2,24,AP,2011-06-06,yes,
