Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks,
1,1,CKB,2011-06-06,y,,
1,2,CKB,2011-06-06,n,foggy,
1,3,CKB,2011-06-06,n,,
1,4,CKB,2011-06-06,n,,
1,5,CKB,2011-06-06,y,,
1,6,CKB,2011-06-06,n,,
1,7,CKB,2011-06-06,n,tape!,
1,8,CKB,2011-06-06,y,,
1,9,CKB,2011-06-06,n,,
1,10,CKB,2011-06-06,y,,
1,11,CKB,2011-06-06,y,,
1,12,CKB,2011-06-06,y,,
1,13,CKB,2011-06-06,n,,
1,14,CKB,2011-06-06,n,,
1,15,CKB,2011-06-06,n,,
1,16,CKB,2011-06-06,y,,
1,17,CKB,2011-06-06,n,,
1,18,CKB,2011-06-06,y,,
1,19,CKB,2011-06-06,n,,
1,20,CKB,2011-06-06,n,,
1,21,CKB,2011-06-06,y,,
1,22,CKB,2011-06-06,y,,
1,23,CKB,2011-06-06,y,,
1,24,CKB,2011-06-06,n,,
1,25,CKB,2011-06-06,n,,
1,26,CKB,2011-06-06,n,,
1,27,CKB,2011-06-06,n,,
1,28,CKB,2011-06-06,y,roots present but too blurry to trace accurately.,
1,29,CKB,2011-06-06,y,,
1,30,CKB,2011-06-06,n,,
1,31,CKB,2011-06-06,n,,
1,32,CKB,2011-06-06,y,lighting very poor,
1,33,CKB,2011-06-06,y,,
1,34,CKB,2011-06-06,y,foggy,
1,35,CKB,2011-06-06,y,foggy,
1,36,CKB,2011-06-06,y,,
1,37,CKB,2011-06-06,y,,
1,38,CKB,2011-06-06,y,,
1,39,CKB,2011-06-06,n,,
1,40,CKB,2011-06-06,y,,
1,41,CKB,2011-06-06,y,,
1,42,CKB,2011-06-06,y,,
1,43,CKB,2011-06-06,n,,
1,44,CKB,2011-06-06,y,roots present but too blurry to trace accurately,
1,45,CKB,2011-06-06,y,,
1,46,CKB,2011-06-06,y,,
1,47,CKB,2011-06-06,y,,
1,48,CKB,2011-06-06,y,,
1,49,CKB,2011-06-06,n,,
1,50,CKB,2011-06-06,y,,
1,51,CKB,2011-06-06,n,,
1,52,CKB,2011-06-06,n,,
1,53,CKB,2011-06-06,n,,
1,54,CKB,2011-06-06,n,,
1,55,CKB,2011-06-06,n,,
1,56,CKB,2011-06-06,n,,
1,57,CKB,2011-06-06,y,,
1,58,CKB,2011-06-06,n,roots,"may be present, but too blurry to tell"
1,59,CKB,2011-06-06,y,,
1,60,CKB,2011-06-06,y,,
1,61,CKB,2011-06-06,y,,
1,62,CKB,2011-06-06,n,,
1,63,CKB,2011-06-06,n,,
1,64,CKB,2011-06-06,n,,
1,65,CKB,2011-06-06,n,,
1,66,CKB,2011-06-06,y,,
1,67,CKB,2011-06-07,y,,
1,68,CKB,2011-06-07,y,,
1,69,CKB,2011-06-07,n,,
1,70,CKB,2011-06-07,y,foggy,
1,71,CKB,2011-06-07,n,,
1,72,CKB,2011-06-07,y,,
1,73,CKB,2011-06-07,y,,
1,74,CKB,2011-06-07,y,,
1,75,CKB,2011-06-07,n,,
1,76,CKB,2011-06-07,y,,
1,77,CKB,2011-06-07,n,,
1,78,CKB,2011-06-07,n,water bubbles obscuring left half,
1,79,CKB,2011-06-07,y,,
1,80,CKB,2011-06-07,n,,
1,81,CKB,2011-06-07,y,,
1,82,CKB,2011-06-07,n,,
1,83,CKB,2011-06-07,n,,
1,84,CKB,2011-06-07,y,,
1,85,CKB,2011-06-07,n,,
1,86,CKB,2011-06-07,n,,
1,87,CKB,2011-06-07,y,,
1,88,CKB,2011-06-07,n,,
1,89,CKB,2011-06-07,n,,
1,90,CKB,2011-06-07,n,,
1,91,CKB,2011-06-07,n,,
1,92,CKB,2011-06-07,y,,
1,93,CKB,2011-06-07,y,,
1,94,CKB,2011-06-07,y,,
1,95,CKB,2011-06-07,n,,
1,96,CKB,2011-06-07,y,"roots present, but too blurry to trace",
1,97,CKB,2011-06-07,n,,
1,98,CKB,2011-06-07,y,,
1,99,CKB,2011-06-07,y,,
1,100,CKB,2011-06-07,n,,
2,1,CKB,2011-06-07,y,,
2,2,CKB,2011-06-07,y,,
2,3,CKB,2011-06-07,y,,
2,4,CKB,2011-06-07,y,,
2,5,CKB,2011-06-07,y,,
2,6,CKB,2011-06-07,y,,
2,7,CKB,2011-06-07,y,,
2,8,CKB,2011-06-07,n,,
2,9,CKB,2011-06-07,y,,
2,10,CKB,2011-06-07,n,,
2,11,CKB,2011-06-07,n,,
2,12,CKB,2011-06-07,y,,
2,13,CKB,2011-06-07,n,,
2,14,CKB,2011-06-07,n,,
2,15,CKB,2011-06-07,y,,
2,16,CKB,2011-06-07,n,,
2,17,CKB,2011-06-07,n,,
2,18,CKB,2011-06-07,n,,
2,19,CKB,2011-06-07,y,,
2,20,CKB,2011-06-07,y,,
2,21,CKB,2011-06-07,n,,
2,22,CKB,2011-06-07,n,,
2,23,CKB,2011-06-07,n,,
2,24,CKB,2011-06-07,n,foggy,
