Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks,,,CKB_remarks
1,1,CRS,2013_05_29,Yes,,,,
1,2,CRS,2013_05_29,No,Out of focus,,,
1,3,CRS,2013_05_29,No,,,,
1,4,CRS,2013_05_29,No,,,,
1,5,CRS,2013_05_29,Yes,Small and obscured,,,
1,6,CRS,2013_05_29,No,,,,
1,7,CRS,2013_05_29,No,Top of tube,,,
1,8,CRS,2013_05_29,Yes,,,,
1,9,CRS,2013_05_29,No,,,,
1,10,CRS,2013_05_29,Yes,,,,
1,11,CRS,2013_05_29,Yes,,,,
1,12,CRS,2013_05_29,Yes,,,,
1,13,CRS,2013_05_29,No,,,,
1,14,CRS,2013_05_29,No,Out of focus,,,
1,15,CRS,2013_05_29,No,,,,
1,16,CRS,2013_05_29,Yes,Obscured,,,
1,17,CRS,2013_05_29,No,,,,
1,18,CRS,2013_05_29,Yes,,,,
1,19,CRS,2013_05_30,No,Obscured,,,
1,20,CRS,2013_05_30,No,,,,
1,21,CRS,2013_05_30,Yes,,,,
1,22,CRS,2013_05_30,Yes,,,,
1,23,CRS,2013_05_30,Yes,,,,
1,24,CRS,2013_05_30,No,,,,
1,25,CRS,2013_05_30,No,,,,
1,26,CRS,2013_05_30,No,,,,"Lean towards saying most of these aren't roots. Fungal hyphae, maybe?"
1,27,CRS,2013_05_30,No,,,,
1,28,CRS,2013_05_30,No,Blur,,,Should treat this as too burry to trace
1,29,CRS,2013_05_30,Yes,,,,
1,30,CRS,2013_05_30,No,Blurred,,,
1,31,CRS,2013_05_30,No,,,,
1,32,CRS,2013_05_30,Yes,,,,
1,33,CRS,2013_05_30,Yes,,,,
1,34,CRS,2013_05_30,Yes,Example of water or root,,,
1,35,CRS,2013_05_30,Yes,,,,
1,36,CRS,2013_05_30,Yes,,,,
1,37,CRS,2013_05_30,Yes,,,,
1,38,CRS,2013_05_30,No,,,,
1,39,CRS,2013_05_30,No,,,,
1,40,CRS,2013_05_30,Yes,,,,
