Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,LF,6\15\11,yes,
1,2,LF,6\15\11,no,
1,3,LF,6\15\11,no,
1,4,LF,6\15\11,yes,
1,5,LF,6\15\11,no,
1,6,LF,6\15\11,no,
1,7,LF,6\15\11,yes,
1,8,LF,6\15\11,no,
1,9,LF,6\15\11,yes,
1,10,LF,6\15\11,yes,
1,11,LF,6\15\11,yes,
1,12,LF,6\15\11,no,
1,13,LF,6\15\11,no,
1,14,LF,6\15\11,no,
1,15,LF,6\15\11,yes,
1,16,LF,6\15\11,no,
1,17,LF,6\15\11,yes,
1,18,LF,6\15\11,no,
1,19,LF,6\15\11,no,
1,20,LF,6\15\11,yes,
1,21,LF,6\15\11,yes,
1,22,LF,6\15\11,yes,
1,23,LF,6\15\11,no,
1,24,LF,6\15\11,no,
1,25,LF,6\15\11,no,
1,26,LF,6\15\11,no,
1,27,LF,6\15\11,no,blurry
1,28,LF,6\15\11,yes,
1,29,LF,6\15\11,no,
1,30,LF,6\15\11,no,
1,31,LF,6\15\11,yes,
1,32,LF,6\15\11,yes,
1,33,LF,6\15\11,yes,
1,34,LF,6\15\11,yes,
1,35,LF,6\15\11,no,
1,36,LF,6\15\11,yes,
1,37,LF,6\15\11,no,
1,38,LF,6\15\11,no,
1,39,LF,6\15\11,yes,
1,40,LF,6\15\11,yes,
1,41,LF,6\15\11,yes,
1,42,LF,6\15\11,no,
1,43,LF,6\15\11,no,blurry
1,44,LF,6\15\11,no,
1,45,LF,6\15\11,yes,
1,46,LF,6\15\11,yes,
1,47,LF,6\15\11,yes,
1,48,LF,6\15\11,no,
1,49,LF,6\15\11,yes,
1,50,LF,6\15\11,no,
1,51,LF,6\15\11,no,
1,52,LF,6\15\11,no,
1,53,LF,6\15\11,no,
1,54,LF,6\15\11,no,
1,55,LF,6\15\11,no,
1,56,LF,6\15\11,yes,
1,57,LF,6\15\11,no,blurry
1,58,LF,6\15\11,yes,
1,59,LF,6\15\11,yes,
1,60,LF,6\15\11,yes,
1,61,LF,6\15\11,no,
1,62,LF,6\15\11,no,
1,63,LF,6\15\11,no,
1,64,LF,6\15\11,no,
1,65,LF,6\15\11,yes,
1,66,LF,6\15\11,yes,
1,67,LF,6\15\11,yes,
1,68,LF,6\15\11,no,
1,69,LF,6\15\11,yes,
1,70,LF,6\15\11,no,
1,71,LF,6\15\11, yes,
1,72,LF,6\15\11,no,
1,73,LF,6\15\11,yes,
1,74,LF,6\15\11,no,
1,75,LF,6\15\11,yes,
1,76,LF,6\15\11,no,
1,77,LF,6\15\11,no,
1,78,LF,6\15\11,yes,
1,79,LF,6\15\11,no,
1,80,LF,6\15\11,yes,
1,81,LF,6\15\11,no,
1,82,LF,6\15\11,no,
1,83,LF,6\15\11,yes,
1,84,LF,6\15\11,no,
1,85,LF,6\15\11,no,
1,86,LF,6\15\11,no,
1,87,LF,6\15\11,no,
1,88,LF,6\15\11,no,
1,89,LF,6\15\11,no,
1,90,LF,6\15\11,no,
1,91,LF,6\15\11,no,
1,92,LF,6\15\11,yes,
1,93,LF,6\15\11,no,
1,94,LF,6\15\11,no,
1,95,LF,6\15\11,no,blurry
1,96,LF,6\15\11,no,
1,97,LF,6\15\11,no,
1,98,LF,6\15\11,no,
1,99,LF,6\15\11,yes,
1,100,LF,6\15\11,no,
2,1,LF,6\15\11,yes,
2,2,LF,6\15\11,yes,
2,3,LF,6\15\11,yes,
2,4,LF,6\15\11,yes,
2,5,LF,6\15\11,no,
2,6,LF,6\15\11,yes,
2,7,LF,6\15\11,no,
2,8,LF,6\15\11,no,
2,9,LF,6\15\11,no,
2,10,LF,6\15\11,no,
2,11,LF,6\15\11,yes,
2,12,LF,6\15\11,no,
2,13,LF,6\15\11,no,
2,14,LF,6\15\11,no,
2,15,LF,6\15\11,no,
2,16,LF,6\15\11,no,
2,17,LF,6\15\11,no,
2,18,LF,6\15\11,no,
2,19,LF,6\15\11,yes,
2,20,LF,6\15\11,no,
2,21,LF,6\15\11,no,
2,22,LF,6\15\11,no,
2,23,LF,6\15\11,no,
2,24,LF,6\15\11,yes,
