Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,MPD,2011-06-20,Yes,
1,2,MPD,2011-06-20,No,
1,3,MPD,2011-06-20,No,
1,4,MPD,2011-06-20,No,
1,5,MPD,2011-06-20,Yes,
1,6,MPD,2011-06-20,No,
1,7,MPD,2011-06-20,No,
1,8,MPD,2011-06-20,Yes,
1,9,MPD,2011-06-20,No,
1,10,MPD,2011-06-20,Yes,
1,11,MPD,2011-06-20,Yes,
1,12,MPD,2011-06-20,Yes,
1,13,MPD,2011-06-20,No,
1,14,MPD,2011-06-20,No,
1,15,MPD,2011-06-20,No,
1,16,MPD,2011-06-20,yes,dark image
1,17,MPD,2011-06-20,No,
1,18,MPD,2011-06-20,yes,
1,19,MPD,2011-06-20,No,water droplets
1,20,MPD,2011-06-20,No,
1,21,MPD,2011-06-20,Yes,
1,22,MPD,2011-06-20,Yes,
1,23,MPD,2011-06-20,Yes,
1,24,MPD,2011-06-20,No,
1,25,MPD,2011-06-20,No,
1,26,MPD,2011-06-20,No,
1,27,MPD,2011-06-20,yes,
1,28,MPD,2011-06-20,Yes,Blurry
1,29,MPD,2011-06-20,Yes,
1,30,MPD,2011-06-20,No,
1,31,MPD,2011-06-20,No,
1,32,MPD,2011-06-20,No,
1,33,MPD,2011-06-20,No,
1,34,MPD,2011-06-20,Yes,
1,35,MPD,2011-06-20,Yes,
1,36,MPD,2011-06-20,No,
1,37,MPD,2011-06-20,Yes,
1,38,MPD,2011-06-20,Yes,
1,39,MPD,2011-06-20,yes,
1,40,MPD,2011-06-20,no,
1,41,MPD,2011-06-20,yes,
1,42,MPD,2011-06-20,yes,
1,43,MPD,2011-06-20,no,
1,44,MPD,2011-06-20,yes,Blurry
1,45,MPD,2011-06-20,yes,
1,46,MPD,2011-06-20,yes ,
1,47,MPD,2011-06-20,yes,
1,48,MPD,2011-06-20,yes,
1,49,MPD,2011-06-20,no,
1,50,MPD,2011-06-20,yes,
1,51,MPD,2011-06-20,yes,
1,52,MPD,2011-06-20,no,
1,53,MPD,2011-06-20,no,
1,54,MPD,2011-06-20,yes,
1,55,MPD,2011-06-20,yes,
1,56,MPD,2011-06-20,yes,grainy image
1,57,MPD,2011-06-20,yes,
1,58,MPD,2011-06-20,?,blurry
1,59,MPD,2011-06-20,yes,
1,60,MPD,2011-06-20,Yes,
1,61,MPD,2011-06-20,Yes,
1,62,MPD,2011-06-20,No,
1,63,MPD,2011-06-20,No,
1,64,MPD,2011-06-20,No,
1,65,MPD,2011-06-20,No,
1,66,MPD,2011-06-20,Yes,
1,67,MPD,2011-06-20,yes,
1,68,MPD,2011-06-20,Yes,
1,69,MPD,2011-06-20,No,
1,70,MPD,2011-06-20,yes,
1,71,MPD,2011-06-20,no,
1,72,MPD,2011-06-20,yes,
1,73,MPD,2011-06-20,yes,
1,74,MPD,2011-06-20,yes,dark
1,75,MPD,2011-06-20,no,
1,76,MPD,2011-06-20,yes,
1,77,MPD,2011-06-20,no,
1,78,MPD,2011-06-20,no,water droplets
1,79,MPD,2011-06-20,yes,
1,80,MPD,2011-06-20,yes,
1,81,MPD,2011-06-20,yes,dark
1,82,MPD,2011-06-20,no,
1,83,MPD,2011-06-20,no,
1,84,MPD,2011-06-20,yes,
1,85,MPD,2011-06-20,no,
1,86,MPD,2011-06-20,no,
1,87,MPD,2011-06-20,yes,
1,88,MPD,2011-06-20,no,
1,89,MPD,2011-06-20,no,
1,90,MPD,2011-06-20,no,
1,91,MPD,2011-06-20,no,
1,92,MPD,2011-06-20,yes,
1,93,MPD,2011-06-20,yes,
1,94,MPD,2011-06-20,yes,
1,95,MPD,2011-06-20,no,
1,96,MPD,2011-06-20,yes,blurry
1,97,MPD,2011-06-20,no,
1,98,MPD,2011-06-20,yes,
1,99,MPD,2011-06-20,yes,
1,100,MPD,2011-06-20,no,
2,1,MPD,2011-06-20,yes,
2,2,MPD,2011-06-20,yes,
2,3,MPD,2011-06-20,yes,
2,4,MPD,2011-06-20,yes,
2,5,MPD,2011-06-20,yes,
2,6,MPD,2011-06-20,yes,
2,7,MPD,2011-06-20,yes,
2,8,MPD,2011-06-20,no,
2,9,MPD,2011-06-20,yes,
2,10,MPD,2011-06-20,no,
2,11,MPD,2011-06-20,no,
2,12,MPD,2011-06-20,yes,
2,13,MPD,2011-06-20,no,
2,14,MPD,2011-06-20,no,
2,15,MPD,2011-06-20,yes,
2,16,MPD,2011-06-20,no,
2,17,MPD,2011-06-20,no,
2,18,MPD,2011-06-20,yes,
2,19,MPD,2011-06-20,yes,
2,20,MPD,2011-06-20,no,
2,21,MPD,2011-06-20,no,
2,22,MPD,2011-06-20,no,
2,23,MPD,2011-06-20,yes,
2,24,MPD,2011-06-20,no,
