Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,TAW,2015-02-09,Yes,
1,2,TAW,2015-02-09,No,
1,3,TAW,2015-02-09,No,
1,4,TAW,2015-02-09,No,
1,5,TAW,2015-02-09,Yes,
1,6,TAW,2015-02-09,No,
1,7,TAW,2015-02-09,No,
1,8,TAW,2015-02-09,Yes,
1,9,TAW,2015-02-09,No,
1,10,TAW,2015-02-09,Yes,
1,11,TAW,2015-02-09,Yes,
1,12,TAW,2015-02-09,Yes,
1,13,TAW,2015-02-09,No,
1,14,TAW,2015-02-09,No,
1,15,TAW,2015-02-09,No,
1,16,TAW,2015-02-09,No,
1,17,TAW,2015-02-09,No,
1,18,TAW,2015-02-09,Yes,
1,19,TAW,2015-02-09,No,
1,20,TAW,2015-02-09,No,
1,21,TAW,2015-02-09,Yes,
1,22,TAW,2015-02-09,Yes,
1,23,TAW,2015-02-09,Yes,
1,24,TAW,2015-02-09,No,
1,25,TAW,2015-02-09,No,
1,26,TAW,2015-02-09,No,Honestly could not tell if they were roots or if the tube was scratched.
1,27,TAW,2015-02-09,Yes,Unsure
1,28,TAW,2015-02-09,Yes,"Very Blury, did not trace"
1,29,TAW,2015-02-09,Yes,
1,30,TAW,2015-02-09,No,
1,31,TAW,2015-02-09,No,
1,32,TAW,2015-02-09,Yes,
1,33,TAW,2015-02-09,Yes,
1,34,TAW,2015-02-09,Yes,
1,35,TAW,2015-02-09,Yes,
1,36,TAW,2015-02-09,No,
1,37,TAW,2015-02-09,Yes,
1,38,TAW,2015-02-09,No,
1,39,TAW,2015-02-09,No,
1,40,TAW,2015-02-09,Yes,
1,41,TAW,2015-02-09,No,Water?
1,42,TAW,2015-02-09,Yes,
1,43,TAW,2015-02-09,No,
1,44,TAW,2015-02-09,Yes,"Very Blury, did not trace"
1,45,TAW,2015-02-09,Yes,
1,46,TAW,2015-02-09,Yes,"Looks like scratches, but traced as best I could"
1,47,TAW,2015-02-09,Yes,
1,48,TAW,2015-02-09,Yes,
1,49,TAW,2015-02-09,No,
1,50,TAW,2015-02-09,Yes,
1,51,TAW,2015-02-09,Yes,
1,52,TAW,2015-02-09,No,
1,53,TAW,2015-02-09,No,
1,54,TAW,2015-02-09,No,
1,55,TAW,2015-02-09,No,
1,56,TAW,2015-02-09,No,
1,57,TAW,2015-02-09,Yes,
1,58,TAW,2015-02-09,No,Too blury to see anything
1,59,TAW,2015-02-09,Yes,
1,60,TAW,2015-02-09,Yes,
1,61,TAW,2015-02-09,Yes,
1,62,TAW,2015-02-09,No,
1,63,TAW,2015-02-09,No,
1,64,TAW,2015-02-09,No,
1,65,TAW,2015-02-09,No,
1,66,TAW,2015-02-09,Yes,
1,67,TAW,2015-02-09,Yes,
1,68,TAW,2015-02-09,Yes,Too blury to really make out the roots
1,69,TAW,2015-02-09,No,
1,70,TAW,2015-02-09,Yes,
1,71,TAW,2015-02-09,No,Water droplets
1,72,TAW,2015-02-09,Yes,
1,73,TAW,2015-02-09,Yes,
1,74,TAW,2015-02-09,Yes,
1,75,TAW,2015-02-09,No,
1,76,TAW,2015-02-09,Yes,
1,77,TAW,2015-02-09,No,
1,78,TAW,2015-02-09,No,
1,79,TAW,2015-02-09,Yes,
1,80,TAW,2015-02-09,No,
1,81,TAW,2015-02-09,Yes,
1,82,TAW,2015-02-09,No,
1,83,TAW,2015-02-09,No,
1,84,TAW,2015-02-09,Yes,
1,85,TAW,2015-02-09,No,
1,86,TAW,2015-02-09,No,
1,87,TAW,2015-02-09,Yes,
1,88,TAW,2015-02-09,No,
1,89,TAW,2015-02-09,No,
1,90,TAW,2015-02-09,No,
1,91,TAW,2015-02-09,No,
1,92,TAW,2015-02-09,No,
1,93,TAW,2015-02-09,Yes,
1,94,TAW,2015-02-09,No,
1,95,TAW,2015-02-09,No,
1,96,TAW,2015-02-09,Yes,"Very Blury, did not trace"
1,97,TAW,2015-02-09,No,
1,98,TAW,2015-02-09,Yes,
1,99,TAW,2015-02-09,Yes,
1,100,TAW,2015-02-09,No,
2,1,TAW,2015-02-09,Yes,
2,2,TAW,2015-02-09,Yes,
2,3,TAW,2015-02-09,Yes,
2,4,TAW,2015-02-09,Yes,
2,5,TAW,2015-02-09,Yes,
2,6,TAW,2015-02-09,No,
2,7,TAW,2015-02-09,Yes,
2,8,TAW,2015-02-09,No,
2,9,TAW,2015-02-09,No,
2,10,TAW,2015-02-09,No,
2,11,TAW,2015-02-09,No,
2,12,TAW,2015-02-09,Yes,
2,13,TAW,2015-02-09,No,
2,14,TAW,2015-02-09,No,
2,15,TAW,2015-02-09,No,
2,16,TAW,2015-02-09,No,
2,17,TAW,2015-02-09,No,
2,18,TAW,2015-02-09,Yes,
2,19,TAW,2015-02-09,Yes,
2,20,TAW,2015-02-09,No,
2,21,TAW,2015-02-09,No,
2,22,TAW,2015-02-09,No,
2,23,TAW,2015-02-09,No,
2,24,TAW,2015-02-09,No,
