Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks,,,,CKB_remarks
1,1,VW,2012-05-31,Yes,,,,,
1,2,VW,2012-05-31,No,,,,,
1,3,VW,2012-05-31,No,,,,,
1,4,VW,2012-05-31,No,,,,,
1,5,VW,2012-05-31,Yes,,,,,
1,6,VW,2012-05-31,No,,,,,
1,7,VW,2012-05-31,No,,,,,(This is duct tape)
1,8,VW,2012-05-31,Yes,,,,,
1,9,VW,2012-05-31,No,some water,,,,
1,10,VW,2012-05-31,Yes,,,,,All diameters could be larger
1,11,VW,2012-05-31,Yes,,,,,Add short vertical on left
1,12,VW,2012-05-31,Yes,,,,,
1,13,VW,2012-05-31,No,,,,,
1,14,VW,2012-05-31,No,,,,,
1,15,VW,2012-05-31,No,,,,,
1,16,VW,2012-05-31,Yes,,,,,
1,17,VW,2012-05-31,Yes,,,,,"Add thin horiz center, hairline top rt"
1,18,VW,2012-05-31,Yes,,,,,Extend R2
1,19,VW,2012-05-31,No,Significant amount of water,,,,
1,20,VW,2012-05-31,No,,,,,
1,21,VW,2012-05-31,Yes,,,,,"Add large top, short lower mid"
1,22,VW,2012-05-31,Yes,,,,,
1,23,VW,2012-05-31,Yes,,,,,Trace wider
1,24,VW,2012-05-31,No,,,,,
1,25,VW,2012-05-31,No,,,,,
1,26,VW,2012-05-31,No,,,,,
1,27,VW,2012-05-31,No,,,,,
1,28,VW,2012-05-31,No,,,,,
1,29,VW,2012-05-31,Yes,Blurry,,,,"""blurry"" meant for 28?"
1,30,VW,2012-05-31,No,,,,,
1,31,VW,2012-05-31,No,,,,,
1,32,VW,2012-05-31,Yes,,,,,"Add rt of R3, upper rt"
1,33,VW,2012-05-31,No,Some Water,,,,Add middle
1,34,VW,2012-05-31,Yes,,,,,"Add upper rt, short left. Bottom right correctly skipped, too fuzzy"
1,35,VW,2012-05-31,Yes,,,,,"Trace R1, R5 wider"
1,36,VW,2012-05-31,No,,,,,Add short blobs at rt
1,37,VW,2012-05-31,Yes,,,,,
1,38,VW,2012-05-31,No,,,,,Add 3 short bits
1,39,VW,2012-05-31,No,,,,,
1,40,VW,2012-05-31,Yes,,,,,Add lower left
1,41,VW,2012-05-31,No,,,,,"Add white smear, treat all as diam of L end"
1,42,VW,2012-05-31,Yes,,,,,
1,43,VW,2012-05-31,No,,,,,
1,44,VW,2012-05-31,No,Blurry,,,,
1,45,VW,2012-05-31,Yes,,,,,
1,46,VW,2012-05-31,Yes,,,,,Add thick upper L
1,47,VW,2012-05-31,Yes,,,,,Add verticals
1,48,VW,2012-05-31,Yes,,,,,Trace many more
1,49,VW,2012-05-31,No,,,,,
1,50,VW,2012-05-31,Yes,,,,,
1,51,VW,2012-05-31,No,,,,,
1,52,VW,2012-05-31,No,,,,,
1,53,VW,2012-05-31,No,,,,,
1,54,VW,2012-05-31,No,,,,,
1,55,VW,2012-05-31,No,,,,,
1,56,VW,2012-05-31,No,,,,,
1,57,VW,2012-05-31,Yes,,,,,Add bottom rt
1,58,VW,2012-05-31,No,Blurry ,,,,
1,59,VW,2012-05-31,Yes,,,,,Add bottom rt
1,60,VW,2012-05-31,Yes,,,,,
1,61,VW,2012-06-01,Yes,,,,,"Add top rt, trace all wider"
1,62,VW,2012-06-01,No,,,,,
1,63,VW,2012-06-01,No,,,,,
1,64,VW,2012-06-01,No,,,,,
1,65,VW,2012-06-01,No,,,,,Add rt and bottom rt
1,66,VW,2012-06-01,Yes,,,,,
1,67,VW,2012-06-01,Yes,,,,,
1,68,VW,2012-06-01,Yes,,,,,"Extend R1, R4, add middle"
1,69,VW,2012-06-01,No,,,,,
1,70,VW,2012-06-01,Yes,,,,,"Add short L, some but not all lower R"
1,71,VW,2012-06-04,No,Significant amount of water,,,,
1,72,VW,2012-06-04,Yes,,,,,"Add above R6, keep R4 at starting diam"
1,73,VW,2012-06-04,No,,,,,Add left
1,74,VW,2012-06-04,Yes,,,,,"Add below R8, extend bottom 3 to left"
1,75,VW,2012-06-04,Yes,,,,,
1,76,VW,2012-06-04,Yes,,,,,Add upper L and lower R
1,77,VW,2012-06-04,No,,,,,
1,78,VW,2012-06-04,No,Significant condensation,,,,
1,79,VW,2012-06-04,Yes,,,,,
1,80,VW,2012-06-04,No,,,,,
1,81,VW,2012-06-04,Yes,,,,,"Add below R8, extend bottom 3 to left"
1,82,VW,2012-06-04,No,,,,,
1,83,VW,2012-06-04,No,,,,,
1,84,VW,2012-06-04,Yes,,,,,"Add upper R, lower R"
