Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,WAM,2011-06-13,Y,
1,2,WAM,2011-06-13,N,Condensation/Blurry
1,3,WAM,2011-06-13,N,
1,4,WAM,2011-06-13,N,
1,5,WAM,2011-06-13,Y,
1,6,WAM,2011-06-13,N,
1,7,WAM,2011-06-13,N,
1,8,WAM,2011-06-13,Y,
1,9,WAM,2011-06-13,N,Condensation
1,10,WAM,2011-06-13,Y,
1,11,WAM,2011-06-13,Y,
1,12,WAM,2011-06-13,Y,
1,13,WAM,2011-06-13,N,
1,14,WAM,2011-06-13,N,Condensation
1,15,WAM,2011-06-13,N,
1,16,WAM,2011-06-13,Y,Dark Image/Low Clarity
1,17,WAM,2011-06-13,N,
1,18,WAM,2011-06-13,Y,
1,19,WAM,2011-06-13,N,Large Water Droplettes partially obscuring image
1,20,WAM,2011-06-13,N,
1,21,WAM,2011-06-13,Y,
1,22,WAM,2011-06-13,Y,
1,23,WAM,2011-06-13,N,
1,24,WAM,2011-06-13,N,
1,25,WAM,2011-06-13,N,
1,26,WAM,2011-06-13,N,
1,27,WAM,2011-06-13,Y,
1,28,WAM,2011-06-13,Y,Image Blurred
1,29,WAM,2011-06-13,Y,
1,30,WAM,2011-06-13,N,
1,31,WAM,2011-06-13,N,
1,32,WAM,2011-06-13,Y,
1,33,WAM,2011-06-13,Y,
1,34,WAM,2011-06-13,Y,
1,35,WAM,2011-06-13,Y,
1,36,WAM,2011-06-13,N,
1,37,WAM,2011-06-13,Y,
1,38,WAM,2011-06-13,N,
1,39,WAM,2011-06-13,Y,
1,40,WAM,2011-06-13,Y,
1,41,WAM,2011-06-13,Y,
1,42,WAM,2011-06-13,Y,
1,43,WAM,2011-06-13,N,
1,44,WAM,2011-06-13,Y,Blurry
1,45,WAM,2011-06-13,Y,
1,46,WAM,2011-06-13,Y,"Strange, Irregular Root Pattern: Possible explainations: Scratched tube; Image recorded upside down?; Other? "
1,47,WAM,2011-06-13,Y,
1,48,WAM,2011-06-13,Y,
1,49,WAM,2011-06-13,N,
1,50,WAM,2011-06-13,Y,
1,51,WAM,2011-06-13,N,
1,52,WAM,2011-06-13,N,
1,53,WAM,2011-06-13,N,
1,54,WAM,2011-06-13,N,
1,55,WAM,2011-06-13,N,
1,56,WAM,2011-06-13,N,
1,57,WAM,2011-06-13,Y,
1,58,WAM,2011-06-13,Y/N,Blurry
1,59,WAM,2011-06-13,Y,
1,60,WAM,2011-06-13,Y,
1,61,WAM,2011-06-13,Y,
1,62,WAM,2011-06-13,N,
1,63,WAM,2011-06-13,Y,
1,64,WAM,2011-06-13,Y,
1,65,WAM,2011-06-13,N,
1,66,WAM,2011-06-13,Y,
1,67,WAM,2011-06-13,Y,
1,68,WAM,2011-06-13,Y,
1,69,WAM,2011-06-13,Y,
1,70,WAM,2011-06-13,Y,
1,71,WAM,2011-06-13,N,Large Water Droplettes partially obscuring image
1,72,WAM,2011-06-13,Y,
1,73,WAM,2011-06-13,Y,
1,74,WAM,2011-06-13,Y,
1,75,WAM,2011-06-13,N,
1,76,WAM,2011-06-13,Y,
1,77,WAM,2011-06-13,N,
1,78,WAM,2011-06-13,N,Large Water Droplettes partially obscuring image
1,79,WAM,2011-06-13,Y,
1,80,WAM,2011-06-13,N,
1,81,WAM,2011-06-13,Y,
1,82,WAM,2011-06-13,N,
1,83,WAM,2011-06-13,N,
1,84,WAM,2011-06-13,Y,
1,85,WAM,2011-06-13,N,
1,86,WAM,2011-06-13,N,
1,87,WAM,2011-06-13,N,
1,88,WAM,2011-06-13,N,
1,89,WAM,2011-06-13,N,
1,90,WAM,2011-06-13,N,
1,91,WAM,2011-06-13,N,
1,92,WAM,2011-06-13,Y,
1,93,WAM,2011-06-13,Y,
1,94,WAM,2011-06-13,N,
1,95,WAM,2011-06-13,N,
1,96,WAM,2011-06-13,Y,Blurry
1,97,WAM,2011-06-13,N,
1,98,WAM,2011-06-13,N,
1,99,WAM,2011-06-13,Y,
1,100,WAM,2011-06-13,N,
2,1,WAM,2011-06-13,Y,
2,2,WAM,2011-06-13,Y,
2,3,WAM,2011-06-13,Y,
2,4,WAM,2011-06-13,Y,
2,5,WAM,2011-06-13,Y,
2,6,WAM,2011-06-13,Y,
2,7,WAM,2011-06-13,Y,
2,8,WAM,2011-06-13,N,Large Water Droplettes partially obscuring image
2,9,WAM,2011-06-13,Y,
2,10,WAM,2011-06-13,N,
2,11,WAM,2011-06-13,N,
2,12,WAM,2011-06-13,Y,
2,13,WAM,2011-06-13,N,
2,14,WAM,2011-06-13,N,
2,15,WAM,2011-06-13,Y,
2,16,WAM,2011-06-13,N,
2,17,WAM,2011-06-13,N,
2,18,WAM,2011-06-13,N,
2,19,WAM,2011-06-13,Y,
2,20,WAM,2011-06-13,N,
2,21,WAM,2011-06-13,N,
2,22,WAM,2011-06-13,N,
2,23,WAM,2011-06-13,Y,
2,24,WAM,2011-06-13,N,
