Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks
1,1,EA,2014-06-06,y,
1,2,EA,2014-06-06,n,
1,3,EA,2014-06-06,n,
1,4,EA,2014-06-06,n,
1,5,EA,2014-06-06,n,
1,6,EA,2014-06-06,n,
1,7,EA,2014-06-06,n,
1,8,EA,2014-06-06,y,
1,9,EA,2014-06-06,,water obscures the picture
1,10,EA,2014-06-06,y,
1,11,EA,2014-06-06,y,
1,12,EA,2014-06-06,y,
1,13,EA,2014-06-06,n,
1,14,EA,2014-06-06,n,
1,15,EA,2014-06-06,n,
1,16,EA,2014-06-06,n,
1,17,EA,2014-06-06,n,
1,18,EA,2014-06-06,n,
1,19,EA,2014-06-06,,water obscures the picture
1,20,EA,2014-06-06,n,
1,21,EA,2014-06-06,y,
1,22,EA,2014-06-06,y,
1,23,EA,2014-06-06,y,
1,24,EA,2014-06-06,n,
1,25,EA,2014-06-06,n,
1,26,EA,2014-06-06,y,
1,27,EA,2014-06-06,n,
1,28,EA,2014-06-06,,"Blurry image, camera was moving"
1,29,EA,2014-06-06,y,
1,30,EA,2014-06-06,n,
1,31,EA,2014-06-06,n,
1,32,EA,2014-06-06,y,
1,33,EA,2014-06-06,y,
1,34,EA,2014-06-06,y,
1,35,EA,2014-06-06,y,
1,36,EA,2014-06-06,n,
1,37,EA,2014-06-06,y,
1,38,EA,2014-06-06,y,
1,39,EA,2014-06-06,n,
1,40,EA,2014-06-06,y,
1,41,EA,2014-06-06,y,
1,42,EA,2014-06-06,y,
1,43,EA,2014-06-06,n,
1,44,EA,2014-06-06,,"Blurry image, camera was moving"
1,45,EA,2014-06-06,y,
1,46,EA,2014-06-06,,weird scratch like image can't determine whether roots or not
1,47,EA,2014-06-06,y,
1,48,EA,2014-06-06,y,
1,49,EA,2014-06-06,n,
1,50,EA,2014-06-06,y,
1,51,EA,2014-06-06,y,
1,52,EA,2014-06-06,n,
1,53,EA,2014-06-06,n,
1,54,EA,2014-06-06,n,
1,55,EA,2014-06-06,n,
1,56,EA,2014-06-06,n,
1,57,EA,2014-06-06,y,
1,58,EA,2014-06-06,,"Blurry image, camera was moving"
1,59,EA,2014-06-06,y,
1,60,EA,2014-06-06,y,
1,61,EA,2014-06-06,y,
1,62,EA,2014-06-06,n,
1,63,EA,2014-06-06,n,
1,64,EA,2014-06-06,n,
1,65,EA,2014-06-06,n,
1,66,EA,2014-06-06,y,
1,67,EA,2014-06-06,y,
1,68,EA,2014-06-06,y,
1,69,EA,2014-06-06,n,
1,70,EA,2014-06-06,y,
1,71,EA,2014-06-06,,water obscures the picture
1,72,EA,2014-06-06,y,
1,73,EA,2014-06-06,y,
1,74,EA,2014-06-06,y,
1,75,EA,2014-06-06,n,
1,76,EA,2014-06-06,n,
1,77,EA,2014-06-06,n,
1,78,EA,2014-06-06,,water obscures the picture
1,79,EA,2014-06-06,y,
1,80,EA,2014-06-06,y,
1,81,EA,2014-06-06,y,
1,82,EA,2014-06-06,n,
1,83,EA,2014-06-06,n,
1,84,EA,2014-06-06,y,
1,85,EA,2014-06-06,n,
1,86,EA,2014-06-06,n,
1,87,EA,2014-06-06,y,
1,88,EA,2014-06-06,n,
1,89,EA,2014-06-06,n,
1,90,EA,2014-06-06,n,
1,91,EA,2014-06-06,n,
1,92,EA,2014-06-06,y,
1,93,EA,2014-06-06,y,
1,94,EA,2014-06-06,n,
1,95,EA,2014-06-06,n,
1,96,EA,2014-06-06,,"Blurry image, camera was moving"
1,97,EA,2014-06-06,n,
1,98,EA,2014-06-06,n,
1,99,EA,2014-06-06,y,
1,100,EA,2014-06-06,n,
2,1,EA,2014-06-06,y,
2,2,EA,2014-06-06,y,
2,3,EA,2014-06-06,y,
2,4,EA,2014-06-06,y,
2,5,EA,2014-06-06,y,
2,6,EA,2014-06-06,n,
2,7,EA,2014-06-06,y,
2,8,EA,2014-06-06,,water obscures the picture
2,9,EA,2014-06-06,n,
2,10,EA,2014-06-06,n,
2,11,EA,2014-06-06,n,
2,12,EA,2014-06-06,y,
2,13,EA,2014-06-06,n,
2,14,EA,2014-06-06,n,
2,15,EA,2014-06-06,n,
2,16,EA,2014-06-06,n,
2,17,EA,2014-06-06,n,
2,18,EA,2014-06-06,n,
2,19,EA,2014-06-06,y,
2,20,EA,2014-06-06,n,
2,21,EA,2014-06-06,n,
2,22,EA,2014-06-06,n,
2,23,EA,2014-06-06,n,
2,24,EA,2014-06-06,n,
