Block,Treatment,Sample,Upper,Lower,%  Dead,Root Weight,Rhizome Weight,Total Length (3 Cores),Notes
0,Corn,1,0,10,5,0.99,0,30,
0,Corn,1,10,30,5,0.17,0,60,
0,Corn,1,30,50,1,0.02,0,60,
0,Corn,1,50,100,5,0.15,0,146,
0,Corn,1,100,x,30,0.01,0,66,
0,Corn,2,0,10,15,0.04,0,30,
0,Corn,2,10,30,15,0.04,0,60,
0,Corn,2,30,50,2,0.02,0,60,
0,Corn,2,50,100,10,0.13,0,150,
0,Corn,2,100,x,10,0,0,108,
0,Corn,3,0,10,10,0.74,0,30,
0,Corn,3,10,30,10,0.08,0,60,
0,Corn,3,30,50,2,0.05,0,60,
0,Corn,3,50,100,20,0.08,0,150,
0,Corn,3,100,x,1,0,0,120,
0,Corn,4,0,10,,1.51,0,30,
0,Corn,4,10,30,2,0.04,0,60,
0,Corn,4,30,50,5,0.03,0,60,
0,Corn,4,50,100,10,0.11,0,150,
0,Corn,4,100,x,5,0.05,0,133,
0,Corn,5,0,10,,0.56,0,30,
0,Corn,5,10,30,40,0.05,0,60,
0,Corn,5,30,50,,0.03,0,60,
0,Corn,5,50,100,1,0.1,0,150,
0,Corn,5,100,x,,0.04,0,119,
0,Corn,6,0,10,5,1.03,0,30,
0,Corn,6,10,30,10,0.2,0,60,
0,Corn,6,30,50,0,0.07,0,60,
0,Corn,6,50,100,2,0.09,0,142,
0,Corn,6,100,x,0,0,0,48,
0,Corn,7,0,10,5,0.18,0,30,
0,Corn,7,10,30,5,0.09,0,60,
0,Corn,7,30,50,,,0,60,
0,Corn,7,50,100,5,0.15,0,150,
0,Corn,7,100,x,0,0.02,0,124,
0,Corn,8,0,10,20,0.04,0,30,
0,Corn,8,10,30,,0.03,0,60,
0,Corn,8,30,50,,0.08,0,60,
0,Corn,8,50,100,5,0.19,0,150,
0,Corn,8,100,x,,0.05,0,92,
1,Corn,1,0,10,5,0,0,30,
1,Corn,1,10,30,20,0.08,0,60,
1,Corn,1,30,50,5,0.06,0,60,
1,Corn,1,50,100,10,0.12,0,150,
1,Corn,1,100,x,10,0.04,0,87,
1,Corn,2,0,10,20,0.13,0,30,
1,Corn,2,10,30,25,0.07,0,60,
1,Corn,2,30,50,5,0.05,0,60,
1,Corn,2,50,100,0,0.08,0,150,
1,Corn,2,100,x,40,0.06,0,102,
1,Corn,3,0,10,50,0,0,30,
1,Corn,3,10,30,10,0.08,0,60,
1,Corn,3,30,50,2,0.07,0,60,
1,Corn,3,50,100,2,0.15,0,150,
1,Corn,3,100,x,3,0.03,0,106,
1,Corn,4,0,10,1,0.86,0,30,
1,Corn,4,10,30,,,0,60,
1,Corn,4,30,50,2,0.06,0,60,
1,Corn,4,50,100,0,0.11,0,150,
1,Corn,4,100,x,,,0,92,
2,Corn,1,0,10,2,0.18,0,30,
2,Corn,1,10,30,25,0.1,0,60,
2,Corn,1,30,50,10,0.04,0,60,
2,Corn,1,50,100,10,0.11,0,150,
2,Corn,1,100,x,2,0.01,0,111,
2,Corn,2,0,10,20,0,0,30,
2,Corn,2,10,30,10,0.01,0,60,
2,Corn,2,30,50,2,0.02,0,60,
2,Corn,2,50,100,5,0.15,0,150,
2,Corn,2,100,x,3,0.01,0,53,
2,Corn,3,0,10,0,0.12,0,30,
2,Corn,3,10,30,3,0.06,0,60,
2,Corn,3,30,50,5,0.08,0,60,
2,Corn,3,50,100,5,0.11,0,150,
2,Corn,3,100,x,3,0,0,88,
2,Corn,4,0,10,,0.07,0,30,
2,Corn,4,10,30,5,0.06,0,60,
2,Corn,4,30,50,5,0.08,0,60,
2,Corn,4,50,100,5,0.05,0,150,
2,Corn,4,100,x,3,0.08,0,92,
3,Corn,1,0,10,30,0.07,0,30,
3,Corn,1,10,30,25,0.06,0,60,
3,Corn,1,30,50,15,0.04,0,60,
3,Corn,1,50,100,20,0.03,0,150,
3,Corn,1,100,x,25,0,0,56,
3,Corn,2,0,10,20,0.03,0,30,
3,Corn,2,10,30,20,0.02,0,60,
3,Corn,2,30,50,10,0.03,0,60,
3,Corn,2,50,100,10,0.02,0,141,
3,Corn,2,100,x,,Sample DNE,0,0,
3,Corn,3,0,10,30,0.01,0,30,
3,Corn,3,10,30,10,0.03,0,60,
3,Corn,3,30,50,2,0.02,0,60,
3,Corn,3,50,100,2,0.07,0,150,
3,Corn,3,100,x,50,0.01,0,93,
3,Corn,4,0,10,,0.04,0,30,
3,Corn,4,10,30,30,0.03,0,60,
3,Corn,4,30,50,2,0.04,0,60,
3,Corn,4,50,100,10,0.02,0,150,
3,Corn,4,100,x,30,0.01,0,98,
4,Corn,1,0,10,5,0.01,0,30,
4,Corn,1,10,30,30,0.01,0,60,
4,Corn,1,30,50,0,0,0,60,
4,Corn,1,50,100,5,0.03,0,150,
4,Corn,1,100,x,0,0,0,81,
4,Corn,2,0,10,10,0.05,0,30,
4,Corn,2,10,30,5,0.08,0,60,
4,Corn,2,30,50,25,0.1,0,60,
4,Corn,2,50,100,30,0.31,0,150,
4,Corn,2,100,x,3,0.05,0,71,
4,Corn,3,0,10,5,0.05,0,30,
4,Corn,3,10,30,10,0.05,0,60,
4,Corn,3,30,50,5,0.03,0,60,
4,Corn,3,50,100,5,0.02,0,150,
4,Corn,3,100,x,1,0,0,92,
4,Corn,4,0,10,3,0.09,0,30,
4,Corn,4,10,30,15,0.07,0,60,
4,Corn,4,30,50,5,0.06,0,60,
4,Corn,4,50,100,10,0.15,0,150,
4,Corn,4,100,x,1,0.05,0,102,
0,Miscanthus,1,0,10,5,0.42,0,30,
0,Miscanthus,1,10,30,15,0.22,0,60,
0,Miscanthus,1,30,50,,,0,60,
0,Miscanthus,1,50,100,0,0.72,0,150,
0,Miscanthus,1,100,x,0,0.5,0,102,
0,Miscanthus,2,0,10,5,0.35,0,30,
0,Miscanthus,2,10,30,,0.31,0,60,
0,Miscanthus,2,30,50,10,0.18,0,60,
0,Miscanthus,2,50,100,15,0.43,0,150,
0,Miscanthus,2,100,x,20,0.38,0,102,
0,Miscanthus,3,0,10,40,0.24,0,30,
0,Miscanthus,3,10,30,15,0.29,0,60,
0,Miscanthus,3,30,50,,,0,60,
0,Miscanthus,3,50,100,<10,0.2,0,150,
0,Miscanthus,3,100,x,40,0.09,0,76,
0,Miscanthus,4,0,10,25,0.1,0,30,
0,Miscanthus,4,10,30,2,0.2,0,60,
0,Miscanthus,4,30,50,5,0.12,0,60,
0,Miscanthus,4,50,100,10,0.07,0,150,
0,Miscanthus,4,100,x,30,0.02,0,66,
0,Miscanthus,5,0,10,10,0.55,3.78,30,
0,Miscanthus,5,10,30,25,0.38,0,60,
0,Miscanthus,5,30,50,<5,0.13,0,60,
0,Miscanthus,5,50,100,0,0.32,0,150,
0,Miscanthus,5,100,x,5,0.07,0,96,
0,Miscanthus,6,0,10,30-40,0.47,0,30,
0,Miscanthus,6,10,30,30,0.23,0,60,
