Block,Treatment,Sample,Upper,Lower,% N,% C,Notes
0,C,1,0,10,0.63,43.51,
0,C,1,10,30,0.34,26.6,
0,C,1,30,50,1.07,43.17,
0,C,1,50,100,0.71,36.11,
0,C,1,100,+,0.39,49.97,
0,C,2,0,10,1.68,43.96,
0,C,2,10,30,1.48,41.78,
0,C,2,30,50,1.07,39.38,
0,C,2,50,100,0.89,37.94,
0,C,2,100,+,,,NEM
0,C,3,0,10,1.05,38.27,
0,C,3,10,30,1.49,38.53,
0,C,3,30,50,1.04,39.85,
0,C,3,50,100,1.16,35.35,
0,C,3,100,+,0.76,54.99,
0,C,4,0,10,0.67,45.38,
0,C,4,10,30,0.97,37.9,
0,C,4,30,50,0.83,37.63,
0,C,4,50,100,1.23,41.11,
0,C,4,100,+,0.88,35.53,
0,C,5,0,10,0.83,41.02,
0,C,5,10,30,1.48,41.56,
0,C,5,30,50,1.08,38.51,
0,C,5,50,100,0.87,36.42,
0,C,5,100,+,0.7,28.45,
0,C,6,0,10,0.65,46.16,
0,C,6,10,30,1.27,37.86,
0,C,6,30,50,0.97,39.25,
0,C,6,50,100,0.95,38.92,
0,C,6,100,+,0.74,36.16,
0,C,7,0,10,0.66,45.38,
0,C,7,10,30,1.52,40.01,
0,C,7,30,50,,,Sample Lost
0,C,7,50,100,0.96,37.46,
0,C,7,100,+,0.33,22.75,
0,C,8,0,10,1.63,45.34,
0,C,8,10,30,1.07,38.3,
0,C,8,30,50,1.02,38.96,
0,C,8,50,100,1.01,33.69,
0,C,8,100,+,1.04,35.58,
1,C,1,0,10,1.42,42.1,
1,C,1,10,30,1.31,36.28,
1,C,1,30,50,0.58,30.27,
1,C,1,50,100,0.76,36.67,
1,C,1,100,+,0.77,33.11,
1,C,2,0,10,1.34,44.72,
1,C,2,10,30,1.62,41.54,
1,C,2,30,50,1.04,36.97,
1,C,2,50,100,0.91,40.15,
1,C,2,100,+,1.39,40.99,
1,C,3,0,10,1.33,42.98,
1,C,3,10,30,1.42,39.15,
1,C,3,30,50,0.99,37.56,
1,C,3,50,100,1.04,38.15,
1,C,3,100,+,0.69,34.5,
1,C,4,0,10,0.53,43.91,
1,C,4,10,30,,,Sample Lost
1,C,4,30,50,0.69,37.97,
1,C,4,50,100,0.58,31.59,
1,C,4,50,100,0.67,32.67,
2,C,1,0,10,0.9,44.75,
2,C,1,10,30,1.12,41.45,
2,C,1,30,50,1.12,40.9,
2,C,1,50,100,0.81,35.54,
2,C,1,100,+,0.82,33.5,
2,C,2,0,10,1.92,44.19,
2,C,2,10,30,1.25,37.31,
2,C,2,30,50,0.96,41.19,
2,C,2,50,100,0.84,35.11,
2,C,2,100,+,0.63,38.66,
2,C,3,0,10,1.27,43.61,
2,C,3,10,30,1.12,38.34,
2,C,3,30,50,0.79,36.25,
2,C,3,50,100,1.05,41.17,
2,C,3,100,+,,,NEM
2,C,4,0,10,1.54,45.46,
2,C,4,10,30,1.5,41.83,
2,C,4,30,50,1.05,38.41,
2,C,4,50,100,0.84,31.18,
2,C,4,100,+,1.05,35.55,
3,C,1,0,10,1.43,44.56,
3,C,1,10,30,1.25,38.23,
3,C,1,30,50,1.01,37.88,
3,C,1,50,100,1.06,37.86,
3,C,1,100,+,,,NEM
3,C,2,0,10,1.56,40.02,
3,C,2,10,30,0.97,41.44,
3,C,2,30,50,1.08,38.32,
3,C,2,50,100,0.83,39.83,
3,C,2,100,+,,,Sample DNE
3,C,3,0,10,1.59,58.33,
3,C,3,10,30,1.09,39.58,
3,C,3,30,50,1.2,42,
3,C,3,50,100,0.83,38.09,
3,C,3,100,+,0.8,51.9,
3,C,4,0,10,1.67,43.84,
3,C,4,10,30,1.28,42.62,
3,C,4,30,50,1.23,40.59,
3,C,4,50,100,0.91,39.95,
3,C,4,100,+,1.05,52.86,
4,C,1,0,10,1.53,42.99,
4,C,1,10,30,1.35,45.51,
4,C,1,30,50,0.89,48.25,
4,C,1,50,100,1.02,38.27,
4,C,1,100,+,,,NEM
4,C,2,0,10,1.28,42.08,
4,C,2,10,30,1.03,35.47,
4,C,2,30,50,1.04,39.83,
4,C,2,50,100,1.07,41.44,
4,C,2,100,+,1.1,39.77,
4,C,3,0,10,0.91,45.45,
4,C,3,10,30,1.24,41.84,
4,C,3,30,50,1.33,43.4,
4,C,3,50,100,0.88,42.48,
4,C,3,100,+,0.67,36.37,
4,C,4,0,10,1.95,44.1,
4,C,4,10,30,1.86,42.65,
4,C,4,30,50,1.33,39.74,
4,C,4,50,100,1.55,43.88,
4,C,4,100,+,1.21,40.33,
0,M,1,0,10,0.93,42.1,
0,M,1,10,30,0.58,35.34,
0,M,1,30,50,,,Sample Lost
0,M,1,50,100,0.52,41.07,
0,M,1,100,+,0.44,36.03,
0,M,2,0,10,0.92,40.17,
0,M,2,10,30,0.7,36.09,
0,M,2,30,50,0.82,38.26,
0,M,2,50,100,0.5,38.23,
0,M,2,100,+,0.31,32.36,
0,M,3,0,10,0.85,42.37,
0,M,3,10,30,0.5,35.27,
0,M,3,30,50,,,Sample Lost
0,M,3,50,100,0.58,34.53,
0,M,3,100,+,0.38,35.15,
0,M,4,0,10,0.71,39.78,
0,M,4,10,30,0.71,38.59,
0,M,4,30,50,0.63,39.05,
0,M,4,50,100,0.64,40.64,
0,M,4,100,+,0.28,26.61,
0,M,5,0,10,0.68,45.14,
0,M,5,0,10,1.34,38.57,
0,M,5,10,30,0.68,38.56,
0,M,5,30,50,1.19,50.95,
0,M,5,50,100,0.96,33.97,
0,M,5,100,+,0.58,30.6,
0,M,6,0,10,1,42.37,
0,M,6,10,30,,,NEM
0,M,6,30,50,0.55,31.68,
0,M,6,50,100,0.95,37.47,
0,M,6,100,+,,,NEM
0,M,7,0,10,,,Sample Lost
0,M,7,10,30,,,Sample Lost
0,M,7,30,50,0.9,47.35,
0,M,7,50,100,0.79,57.52,
0,M,7,100,+,,,Sample Lost
0,M,8,0,10,1.14,41.07,
0,M,8,10,30,0.5,31.79,
0,M,8,30,50,0.65,35.08,
0,M,8,50,100,0.59,35.86,
0,M,8,100,+,0.29,29.37,
1,M,1,0,10,0.73,40.51,
1,M,1,10,30,0.38,29.63,
1,M,1,30,50,0.35,35.05,
1,M,1,50,100,,,
1,M,1,100,+,0.34,35.98,
1,M,2,0,10,0.73,41.8,
1,M,2,10,30,0.54,36.35,
1,M,2,30,50,0.42,36.57,
1,M,2,50,100,0.23,36.43,
1,M,2,100,+,0.47,34.59,
1,M,3,0,10,0.78,40.88,
1,M,3,10,30,0.55,36.34,
1,M,3,30,50,,,NEM
1,M,3,50,100,,,Sample Lost
1,M,3,100,+,,,NEM
1,M,4,0,10,,,Sample Lost
1,M,4,10,30,0.67,36.89,
1,M,4,30,50,,,Sample Lost
1,M,4,50,100,0.35,36.15,
1,M,4,100,+,,,Sample Lost
2,M,1,0,10,0.59,44.36,
2,M,1,0,10,0.57,45.42,
2,M,1,10,30,0.56,33.36,
2,M,1,30,50,0.41,34.48,
2,M,1,50,100,0.51,35.01,
2,M,1,100,+,0.35,25.61,
2,M,2,0,10,0.52,46.28,
2,M,2,0,10,0.74,43.27,
2,M,2,10,30,0.4,38.12,
2,M,2,30,50,0.61,34.58,
2,M,2,50,100,0.41,34.9,
2,M,2,100,+,0.51,35.57,
2,M,3,0,10,0.75,41.87,
2,M,3,10,30,0.56,39.18,
2,M,3,30,50,0.48,39.04,
2,M,3,50,100,,,Sample Lost
2,M,3,100,+,0.45,34.15,
2,M,4,0,10,0.86,41.58,
2,M,4,10,30,0.71,36.63,
2,M,4,30,50,0.47,35.17,
2,M,4,50,100,0.42,35.25,
2,M,4,100,+,0.32,38.37,
3,M,1,0,10,1.62,36.18,
3,M,1,10,30,0.63,36.77,
3,M,1,30,50,0.51,36.37,
3,M,1,50,100,0.3,24.23,
3,M,1,100,+,0.46,31.02,
3,M,2,0,10,0.45,45.27,
3,M,2,0,10,0.99,25.94,
3,M,2,10,30,0.53,35.24,
3,M,2,30,50,0.52,35.32,
3,M,2,50,100,0.31,34.34,
3,M,2,100,+,0.3,34.14,
3,M,3,0,10,0.52,43.37,
3,M,3,0,10,0.63,36.62,
3,M,3,0,10,0.25,45.9,
3,M,3,10,30,0.63,37.64,
3,M,3,30,50,0.46,34.28,
3,M,3,50,100,0.61,37.4,
3,M,3,100,+,0.47,37.87,
3,M,4,0,10,0.6,38.04,
3,M,4,10,30,0.62,32.69,
3,M,4,30,50,0.61,37.2,
3,M,4,50,100,0.53,34.59,
3,M,4,100,+,0.44,24.93,
4,M,1,0,10,0.69,41.03,
4,M,1,0,10,0.32,44.63,
4,M,1,10,30,0.79,36.18,
4,M,1,30,50,0.51,35.59,
4,M,1,50,100,0.55,28.75,
4,M,1,100,+,0.51,35.36,
4,M,2,0,10,0.86,40.25,
4,M,2,10,30,0.54,37.15,
4,M,2,30,50,0.39,37.13,
4,M,2,50,100,0.48,36.75,
4,M,2,100,+,0.31,32.08,
4,M,3,0,10,0.65,44.06,
4,M,3,10,30,0.56,35.11,
4,M,3,30,50,0.32,36.51,
4,M,3,50,100,0.59,36.67,
4,M,3,100,+,0.36,37.97,
4,M,4,0,10,0.5,42.47,
4,M,4,10,30,0.56,38.71,
4,M,4,30,50,0.57,38.96,
4,M,4,50,100,0.57,37.55,
4,M,4,100,+,0.34,34.05,
0,P,1,0,10,1.02,37.37,
0,P,1,10,30,0.7,40.56,
0,P,1,30,50,0.47,38.55,
0,P,1,50,100,0.72,39.38,
0,P,1,100,+,,,Sample Lost
0,P,2,0,10,0.93,35.75,
0,P,2,10,30,0.85,39.71,
0,P,2,30,50,0.67,40,
0,P,2,50,100,0.96,41.31,
0,P,2,100,+,,,NEM
0,P,3,0,10,0.38,38.42,
0,P,3,10,30,0.82,42.08,
0,P,3,30,50,0.44,38.09,
0,P,3,50,100,0.68,40.56,
0,P,3,100,+,0.4,40.03,
0,P,4,0,10,0.86,42.62,
0,P,4,10,30,0.65,38.96,
0,P,4,30,50,0.52,39.25,
0,P,4,50,100,0.7,40.45,
0,P,4,100,+,0.72,38.48,
0,P,5,0,10,0.7,40.15,
0,P,5,10,30,0.54,41.25,
0,P,5,30,50,0.41,39.93,
0,P,5,50,100,,,Sample Lost
0,P,5,100,+,,,NEM
0,P,6,0,10,0.89,39.64,
0,P,6,10,30,0.78,37.55,
0,P,6,30,50,0.45,37.35,
0,P,6,50,100,0.64,38.14,
0,P,6,100,+,,,NEM
0,P,7,0,10,0.78,41.62,
0,P,7,10,30,0.58,39.9,
0,P,7,30,50,0.52,39.71,
0,P,7,50,100,0.55,36.35,
0,P,7,100,+,,,Sample Lost
0,P,8,0,10,0.93,42.07,
0,P,8,10,30,0.72,38.65,
0,P,8,30,50,0.5,39.32,
0,P,8,50,100,0.59,41.64,
0,P,8,100,+,,,NEM
1,P,1,0,10,0.64,42.77,
1,P,1,10,30,0.4,39.13,
1,P,1,30,50,0.28,36.66,
1,P,1,50,100,0.45,40.87,
1,P,1,100,+,0.53,42.32,
1,P,2,0,10,0.76,42.22,
1,P,2,10,30,0.43,37.92,
1,P,2,30,50,0.36,37.75,
1,P,2,50,100,0.44,42.09,
1,P,2,100,+,,,NEM
1,P,3,0,10,0.78,41.27,
1,P,3,10,30,0.66,38.27,
1,P,3,30,50,0.43,38.88,
1,P,3,50,100,0.35,33.7,
1,P,3,100,+,0.4,40.52,
1,P,4,0,10,0.83,42.52,
1,P,4,10,30,0.72,39.53,
1,P,4,30,50,0.46,37.45,
1,P,4,50,100,0.43,36.85,
1,P,4,100,+,,,NEM
2,P,1,0,10,0.95,42.31,
2,P,1,10,30,0.67,41.9,
2,P,1,30,50,0.5,40.18,
2,P,1,50,100,,,Sample Lost
2,P,1,100,+,0.83,41.36,
2,P,2,0,10,0.64,43.76,
2,P,2,10,30,0.45,40.44,
2,P,2,30,50,0.42,39.33,
2,P,2,50,100,0.56,40.34,
2,P,2,100,+,,,NEM
2,P,3,0,10,0.77,41.53,
2,P,3,10,30,0.48,41.8,
2,P,3,30,50,0.4,38.39,
2,P,3,50,100,0.59,38.83,
2,P,3,100,+,0.43,34.9,
2,P,4,0,10,0.65,43.53,
2,P,4,10,30,0.51,39.69,
2,P,4,30,50,0.41,39.22,
2,P,4,50,100,0.52,39.48,
2,P,4,100,+,,,NEM
3,P,1,0,10,0.66,41.48,
3,P,1,10,30,0.44,30.96,
3,P,1,30,50,0.48,40.54,
3,P,1,50,100,0.41,41.29,
3,P,1,100,+,0.56,41.54,
3,P,2,0,10,0.56,38.46,
3,P,2,10,30,0.59,39.86,
3,P,2,30,50,0.8,37.21,
3,P,2,50,100,0.52,40.35,
3,P,2,100,+,0.74,38.3,
3,P,3,0,10,0.94,41.82,
3,P,3,10,30,0.85,37.83,
3,P,3,30,50,0.78,39.49,
3,P,3,50,100,0.77,39.73,
3,P,3,100,+,,,NEM
3,P,4,0,10,0.84,39.89,
3,P,4,10,30,0.5,37.69,
3,P,4,30,50,0.55,38.35,
3,P,4,50,100,0.57,35.33,
3,P,4,100,+,0.48,43.22,
4,P,1,0,10,0.98,41.92,
4,P,1,10,30,0.89,40.81,
4,P,1,30,50,0.4,40.08,
4,P,1,50,100,0.71,38.28,
4,P,1,100,+,0.51,39.28,
4,P,2,0,10,0.57,43.08,
4,P,2,10,30,0.45,42.51,
4,P,2,30,50,0.36,36.63,
4,P,2,50,100,0.56,41.5,
4,P,2,100,+,0.44,39.36,
4,P,3,0,10,0.58,43.39,
4,P,3,10,30,0.63,36.89,
4,P,3,30,50,0.51,39.48,
4,P,3,50,100,0.78,41.15,
4,P,3,100,+,0.96,38.85,
4,P,4,0,10,0.8,37.79,
4,P,4,10,30,0.69,37.59,
4,P,4,30,50,0.57,39.91,
4,P,4,50,100,0.63,39.71,
4,P,4,100,+,0.53,40.61,
0,S,1,0,10,0.95,44.07,
0,S,1,10,30,0.69,40.81,
0,S,1,30,50,0.42,44.47,
0,S,1,50,100,0.59,42.57,
0,S,1,100,+,0.53,40.32,
0,S,2,0,10,0.94,43.84,
0,S,2,10,30,0.55,40.1,
0,S,2,30,50,0.55,42.32,
0,S,2,50,100,0.82,41.85,
0,S,2,100,+,0.58,38.16,
0,S,3,0,10,0.95,44.61,
0,S,3,10,30,0.86,41.53,
0,S,3,30,50,0.59,38.23,
0,S,3,50,100,0.78,38.92,
0,S,3,100,+,,,NEM
0,S,4,0,10,1.08,42.69,
0,S,4,10,30,0.71,39.78,
0,S,4,30,50,0.59,38.51,
0,S,4,50,100,0.61,38.42,
0,S,4,100,+,0.86,35.64,
0,S,5,0,10,0.84,44.59,
0,S,5,10,30,0.55,44.3,
0,S,5,30,50,0.73,40.75,
0,S,5,50,100,0.75,40.17,
0,S,5,100,+,0.85,36.79,
0,S,6,0,10,0.95,44.44,
0,S,6,10,30,0.57,41.38,
0,S,6,30,50,0.72,41.86,
0,S,6,50,100,0.73,42.07,
0,S,6,100,+,0.52,44.41,
0,S,7,0,10,1.21,43.03,
0,S,7,10,30,0.81,41.9,
0,S,7,30,50,0.59,42.42,
0,S,7,50,100,0.58,42.89,
0,S,7,100,+,0.67,39.82,
0,S,8,0,10,1.17,44.63,
0,S,8,10,30,1.02,41.83,
0,S,8,30,50,0.54,39.81,
0,S,8,50,100,0.67,40.92,
0,S,8,100,+,0.73,35.79,
1,S,1,0,10,0.58,45,
1,S,1,10,30,0.5,42.64,
1,S,1,30,50,0.31,43.02,
1,S,1,50,100,0.4,38.49,
1,S,1,100,+,,,NEM
1,S,2,0,10,0.53,45.12,
1,S,2,10,30,0.46,43.28,
1,S,2,30,50,0.5,42.21,
1,S,2,50,100,0.57,42.05,
1,S,2,100,+,,,NEM
1,S,3,0,10,0.65,43.99,
1,S,3,10,30,0.35,41.07,
1,S,3,30,50,0.48,41.07,
1,S,3,50,100,0.57,42.56,
1,S,3,100,+,0.63,40.8,
1,S,4,0,10,0.52,35.05,
1,S,4,10,30,0.32,43.87,
1,S,4,30,50,0.64,39.88,
1,S,4,50,100,0.74,39.57,
1,S,4,100,+,0.36,36.83,
2,S,1,0,10,0.8,41.65,
2,S,1,10,30,0.72,39.75,
2,S,1,30,50,0.56,41.61,
2,S,1,50,100,0.59,41.85,
2,S,1,100,+,0.59,38.39,
2,S,2,0,10,0.71,45.76,
2,S,2,10,30,0.52,41.34,
2,S,2,30,50,0.35,42.43,
2,S,2,50,100,0.58,40.38,
2,S,2,100,+,0.47,38.05,
2,S,3,0,10,0.61,46.62,
2,S,3,10,30,0.44,40.8,
2,S,3,30,50,,,NEM
2,S,3,50,100,0.5,41.58,
2,S,3,100,+,0.36,36.39,
2,S,4,0,10,0.61,44.54,
2,S,4,10,30,0.51,40.68,
2,S,4,30,50,0.3,41.25,
2,S,4,50,100,0.52,40.8,
2,S,4,100,+,0.31,37.94,
3,S,1,0,10,0.62,43.33,
3,S,1,10,30,,,NEM
3,S,1,30,50,0.42,42.1,
3,S,1,50,100,0.47,37.81,
3,S,1,100,+,0.57,39.33,
3,S,2,0,10,0.94,39.49,
3,S,2,0,10,0.5,45.75,
3,S,2,10,30,0.54,40.54,
3,S,2,30,50,0.54,42.41,
3,S,2,50,100,0.67,41.05,
3,S,2,100,+,0.5,51.76,
3,S,3,0,10,0.61,44.83,
3,S,3,10,30,0.51,41.92,
3,S,3,30,50,0.54,41.74,
3,S,3,50,100,0.62,39.27,
3,S,3,100,+,,,NEM
3,S,4,0,10,0.99,44.72,
3,S,4,10,30,0.45,42.76,
3,S,4,30,50,0.37,42.29,
3,S,4,50,100,0.61,40.21,
3,S,4,100,+,0.64,40.22,
4,S,1,0,10,0.73,45.8,
4,S,1,10,30,0.55,42.96,
4,S,1,30,50,0.24,45.44,
4,S,1,50,100,0.57,40.8,
4,S,1,100,+,0.5,40.59,
4,S,2,0,10,0.68,45.53,
4,S,2,10,30,0.32,44.15,
4,S,2,30,50,0.38,42.12,
4,S,2,50,10,0.51,38.78,
4,S,2,100,+,,,NEM
4,S,3,0,10,0.97,45.56,
4,S,3,10,30,0.9,42.4,
4,S,3,30,50,0.6,41.52,
4,S,3,50,100,0.65,42.58,
4,S,3,100,+,0.54,39.38,
4,S,4,0,10,0.42,44.81,
4,S,4,10,30,0.38,42.81,
4,S,4,30,50,0.55,39.93,
4,S,4,50,100,0.58,38.41,
4,S,4,100,+,0.35,38.64,
