Block,Treatment,Direction,Sample #,Upper,Lower,Root % N,Root % C,Rhizome % N,Rhizome % C,Fertilizer
0,Corn,East,1,0,10,1.51,27.14,,,180 kg/ha
0,Corn,East,1,10,30,1.93,36.86,,,180 kg/ha
0,Corn,East,1,30,50,1.67,38.76,,,180 kg/ha
0,Corn,East,1,50,100,0.79,20.02,,,180 kg/ha
0,Corn,East,1,100,+,0.80,19.27,,,180 kg/ha
0,Corn,East,2,0,10,2.14,44.92,,,180 kg/ha
0,Corn,East,2,10,30,1.64,37.53,,,180 kg/ha
0,Corn,East,2,30,50,1.40,40.77,,,180 kg/ha
0,Corn,East,2,50,100,0.62,26.21,,,180 kg/ha
0,Corn,East,2,100,+,0.53,37.11,,,180 kg/ha
0,Corn,North,1,0,10,1.50,29.23,,,180 kg/ha
0,Corn,North,1,10,30,1.59,36.88,,,180 kg/ha
0,Corn,North,1,30,50,1.68,37.18,,,180 kg/ha
0,Corn,North,1,50,100,0.92,32.62,,,180 kg/ha
0,Corn,North,2,0,10,1.87,39.66,,,180 kg/ha
0,Corn,North,2,10,30,1.17,35.90,,,180 kg/ha
0,Corn,North,2,30,50,1.05,33.71,,,180 kg/ha
0,Corn,North,2,50,100,1.21,35.54,,,180 kg/ha
0,Corn,North,2,100,+,0.85,41.92,,,180 kg/ha
0,Corn,South,1,0,10,2.42,43.71,,,180 kg/ha
0,Corn,South,1,10,30,1.62,35.89,,,180 kg/ha
0,Corn,South,1,30,50,1.41,38.07,,,180 kg/ha
0,Corn,South,1,50,100,1.08,35.80,,,180 kg/ha
0,Corn,South,1,100,+,1.45,37.50,,,180 kg/ha
0,Corn,South,2,0,10,1.50,43.93,,,180 kg/ha
0,Corn,South,2,10,30,1.15,38.75,,,180 kg/ha
0,Corn,South,2,30,50,0.90,33.31,,,180 kg/ha
0,Corn,South,2,50,100,0.89,30.56,,,180 kg/ha
0,Corn,South,2,100,+,0.88,31.02,,,180 kg/ha
0,Corn,West,1,0,10,1.21,38.03,,,180 kg/ha
0,Corn,West,1,10,30,1.69,31.17,,,180 kg/ha
0,Corn,West,1,30,50,1.79,38.79,,,180 kg/ha
0,Corn,West,1,50,100,1.30,36.97,,,180 kg/ha
0,Corn,West,1,100,+,0.46,41.76,,,180 kg/ha
0,Corn,West,2,0,10,1.44,34.04,,,180 kg/ha
0,Corn,West,2,10,30,2.38,36.65,,,180 kg/ha
0,Corn,West,2,30,50,1.03,33.06,,,180 kg/ha
0,Corn,West,2,50,100,1.11,36.30,,,180 kg/ha
0,Corn,West,2,100,+,0.69,28.54,,,180 kg/ha
1,Corn,East,,0,10,2.06,43.14,,,180 kg/ha
1,Corn,East,,10,30,1.42,32.24,,,180 kg/ha
1,Corn,East,,30,50,1.71,37.91,,,180 kg/ha
1,Corn,East,,50,100,1.13,21.34,,,180 kg/ha
1,Corn,East,,100,+,2.40,41.16,,,180 kg/ha
1,Corn,North,,0,10,1.05,42.39,,,180 kg/ha
1,Corn,North,,10,30,1.59,38.86,,,180 kg/ha
1,Corn,North,,30,50,1.36,34.65,,,180 kg/ha
1,Corn,North,,50,100,1.38,31.83,,,180 kg/ha
1,Corn,North,,100,+,0.75,17.76,,,180 kg/ha
1,Corn,South,,0,10,2.31,39.86,,,180 kg/ha
1,Corn,South,,10,30,1.28,34.34,,,180 kg/ha
1,Corn,South,,30,50,1.40,34.14,,,180 kg/ha
1,Corn,South,,50,100,1.35,28.53,,,180 kg/ha
1,Corn,South,,100,+,Not enough ground material for CN analysis,,,,180 kg/ha
1,Corn,West,,0,10,1.45,41.44,,,180 kg/ha
1,Corn,West,,10,30,1.70,35.96,,,180 kg/ha
1,Corn,West,,30,50,0.84,32.57,,,180 kg/ha
1,Corn,West,,50,100,1.69,39.74,,,180 kg/ha
1,Corn,West,,100,+,1.23,30.04,,,180 kg/ha
2,Corn,East,,0,10,1.39,35.13,,,180 kg/ha
2,Corn,East,,10,30,1.20,36.29,,,180 kg/ha
2,Corn,East,,30,50,0.70,28.61,,,180 kg/ha
2,Corn,East,,50,100,1.46,33.46,,,180 kg/ha
