Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Match Ref Img?,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,,,,,,,,,,
Corn,0,2,0C2,,,,,,,,,,
Corn,0,3,0C3,,,,,,,,,,
Corn,0,4,0C4,,,,,,,,,,
Corn,0,5,0C5,,,,,,,,,,
Corn,0,6,0C6,,,,,,,,,,
Corn,0,7,0C7,,,,,,,,,,
Corn,0,8,0C8,,,,,,,,,,
Corn,1,9,1C1,,,,,,,,,,
Corn,1,10,1C2,,,,,,,,,,
Corn,1,11,1C3,,,,,,,,,,
Corn,1,12,1C4,,,,,,,,,,
Corn,2,13,2C1,,,,,,,,,,
Corn,2,14,2C2,,,,,,,,,,
Corn,2,15,2C3,,,,,,,,,,
Corn,2,16,2C4,,,,,,,,,,
Corn,3,17,3C1,,,,,,,,,,
Corn,3,18,3C2,,,,,,,,,,
Corn,3,19,3C3,,,,,,,,,,
Corn,3,20,3C4,,,,,,,,,,
Corn,4,21,4C1,,,,,,,,,,
Corn,4,22,4C1,,,,,,,,,,
Corn,4,23,4C3,,,,,,,,,,
Corn,4,24,4C4,,,,,,,,,,
Miscanthus,0,25,0M1,2009-08-26,ckb,2010-03-25,ap,no,EF_T097_L025_2009.08.26_154828_002_CKB.jpg,no,,13,
Miscanthus,0,26,0M3,2009-08-26,ckb,2010-03-26,ap,yes,EF_T097_L025_2009.08.26_154828_002_CKB.jpg,no,,11,not sure if there are more roots at 5 and 10.
Miscanthus,0,27,0M5,2009-08-26,ckb,2010-03-26,ap,yes,EF_T097_L025_2009.08.26_154828_002_CKB.jpg,yes,,7,30 and 35 are blurry.
Miscanthus,0,28,0M6,2009-08-26,ckb,2010-03-26,ap,yes,EF_T097_L025_2009.08.26_154828_002_CKB.jpg,no,,10,not sure if there are more roots at 70
Miscanthus,0,29,0M7,2009-08-26,ckb,2010-03-26,ap,yes,EF_T097_L025_2009.08.26_154828_002_CKB.jpg,no,,11,
