Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,0,2,0C2,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,15,
Corn,0,3,0C3,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,0,4,0C4,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,0,5,0C5,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,18,
Corn,0,6,0C6,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,12,
Corn,0,7,0C7,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,16,
Corn,0,8,0C8,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,1,9,1C1,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,5,
Corn,1,10,1C2,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,15,10 is blurry
Corn,1,11,1C3,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,13,
Corn,1,12,1C4,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,15,
Corn,2,13,2C1,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,5,
Corn,2,14,2C2,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,3,5-20 are dark
Corn,2,15,2C3,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,12,
Corn,2,16,2C4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,8,
Corn,3,17,3C1,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,yes,,10,75 is blurry
Corn,3,18,3C2,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,6,
Corn,3,19,3C3,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,yes,,14,70 is blurry
Corn,3,20,3C4,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,16,
Corn,4,21,4C1,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,5,
Corn,4,22,4C1,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,15,
Corn,4,23,4C3,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,6,
Corn,4,24,4C4,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Miscanthus,0,25,0M1,,,,,,,,,not imaged
Miscanthus,0,26,0M3,,,,,,,,,not imaged
Miscanthus,0,27,0M5,,,,,,,,,not imaged
Miscanthus,0,28,0M6,,,,,,,,,not imaged
Miscanthus,0,29,0M7,,,,,,,,,not imaged
Miscanthus,0,30,0M9,,,,,,,,,not imaged
Miscanthus,0,31,0M10,,,,,,,,,not imaged
Miscanthus,0,32,0M11,,,,,,,,,not imaged
Miscanthus,1,33,1M1,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,14,
Miscanthus,1,34,1M2,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,14,
Miscanthus,1,35,1M4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,17,
Miscanthus,1,36,1M4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,9,
Miscanthus,2,37,2M1,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,11,
Miscanthus,2,38,2M2,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,7,35 is blurry
Miscanthus,2,39,2M3,2010-10-07,AP,2011-06-01,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,12,
Miscanthus,2,40,2M4,2010-10-07,AP,2011-06-01,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,17,
Miscanthus,3,41,3M1,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,yes,,13,"10,15 is foggy"
