Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes,
Corn,0,1,0C1,2011-08-05,AP,2015-04-03,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L015, 020, 060, 100",L095,16,"L015, 020, 060, 100=blury",
Corn,0,2,0C2,2011-08-05,AP,2015-04-03,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L045, 050, 060",L100,18,"L050= blury; L045, 060=partially  blury (traced as best I could)",
Corn,0,3,0C3,2011-08-05,AP,2015-04-03,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,L100,L095,18,L100=blury,
Corn,0,4,0C4,2011-08-05,AP,2015-04-03,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 035",L100,17,"L010, 035=blury",
Corn,0,5,0C5,2011-08-05,AP,2015-04-03,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 040, 060",L100,16,"L010, 040, 060=blury",
Corn,0,6,0C6,2011-08-05,AP,2015-04-03,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,L010,L100,16,L010=blury,
Corn,0,7,0C7,2011-08-05,AP,2015-04-06,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,L045 ,L100,17,L045= blury,
Corn,0,8,0C8,2011-08-05,AP,2015-04-06,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 085",L100,18,"L010, 085=blury",
Corn,1,9,1C1,2011-08-05,AP,2015-04-06,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,,L100,19,,
Corn,1,10,1C2,2011-08-05,AP,2015-04-06,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 015 ",L100,16,"L010, 015=blury",
Corn,1,11,1C3,2011-08-05,AP,2015-04-06,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L015, 020",L100,16,"L015, 020=blury",
Corn,1,12,1C4,2011-08-05,AP,2015-04-06,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 085, 090",L100,17,"L010, 085, 090=blury ",
Corn,2,13,2C1,2011-08-05,AP,2015-04-07,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 050, 095",L090,13,"L010, 050, 095=blury",
Corn,2,14,2C2,2011-08-05,AP,2015-04-07,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 015, 020, 075",L100,15,"L010, 015, 020, 075=blury",
