Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2012-06-08,CRS,2013-09-30,CRS,06_05(A),"L015 blur; L100, 105 water",80,9,
Corn,0,2,0C2,2012-06-08,CRS,2013-09-30,CRS,06_05(A),"L010,15,85 blur; L050, 60, 65 water",110,8,"L075 blur but traced; L085 roots vaguely outlined, but can't tell dimensions"
Corn,0,3,0C3,2012-06-08,CRS,2013-09-30,CRS,06_05(A),L005-15 fog; L045-55 water,100,6,
Corn,0,4,0C4,2012-06-08,CRS,2013-09-30,CRS,06_05(A),L040-50 water,60,7,
Corn,0,5,0C5,2012-06-08,CRS,2013-09-30,CRS,06_05(A),L080 blur; L105 water,95,7,Tube is low bat
Corn,0,6,0C6,2012-06-08,CRS,2013-09-30,CRS,06_05(A),L055 water/fog/blur,50,8,
Corn,0,7,0C7,2012-06-08,CRS,2013-09-30,CRS,06_05(A),L030-45 water/just bad,60,4,
Corn,0,8,0C8,2012-06-08,CRS,2013-09-30,CRS,06_05(A),L005 above ground; L010 blurry; L100 fog,110,10,
Corn,1,9,1C1,2012-06-05,TAW,2013-07-29,JNR,06_05(A),,75,4,06_05(A) is the caliberation used for this session
Corn,1,10,1C2,2012-06-05,TAW,2013-07-29,JNR,06_05(A),,75,12,Roots traced in tubes 9-13 may have been saved in EF2012_S3
Corn,1,11,1C3,2012-06-05,TAW,2013-07-29,JNR,06_05(A),L020 and L025 too wet..L035 and L055 too blurry,50,8,
Corn,1,12,1C4,2012-06-05,TAW,2013-07-29,JNR,06_05(A),L025 is too blurry,95,6,
Corn,2,13,2C1,2012-06-05,TAW,2013-07-30,JNR,06_05(A),L010 and L005 are too scratched,110,7,
Corn,2,14,2C2,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,45,6,L001 is underground
Corn,2,15,2C3,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,80,2,
Corn,2,16,2C4,2012-06-05,TAW,2013-07-30,JNR,06_05(A),L020 is partially blurry from water dropplets,50,10,
Corn,3,17,3C1,2012-06-08,TAW,2013-10-07,CRS,06_05(A),L025 reflection,90,10,"L025 looks for reflective than roots, either way no clear, traceable roots"
Corn,3,18,3C2,2012-06-08,TAW,2013-10-07,CRS,06_05(A),L040 out of focus,95,14,L095 proves there's a root in the 4 frames above it and I'm not just crazy
Corn,3,19,3C3,2012-06-08,TAW,2013-10-07,CRS,06_05(A),"L050,100 blur",95,11,Marks on inside of L005 are probably just scratches
Corn,3,20,3C4,2012-06-08,TAW,2013-10-07,CRS,06_05(A),"L045 blur, L105 water",70,8,
Corn,4,21,4C1,2012-06-07,TAW,2013-07-30,JNR,06_05(A),,,,Review tube: has multiple duplicates of images
Corn,4,22,4C1,2012-06-07,TAW,2013-07-30,JNR,06_05(A),,15,2,L015 and L010 are too undefined to measure but only root slide in tube
Corn,4,23,4C3,2012-06-07,TAW,2013-07-30,JNR,06_05(A),,70,3,
Corn,4,24,4C4,2012-06-07,TAW,2013-07-30,JNR,06_05(A),L005 also above ground,65,3,"L075-090 may have micro roots, need to review those slides"
Miscanthus,0,25,0M1,2012-06-08,TAW,2013-10-07,CRS,06_05(A),"L040-50,100 tons o' water",95,10,
Miscanthus,0,26,0M3,2012-06-08,TAW,2013-10-07,CRS,06_05(A),,100,16,
Miscanthus,0,27,0M5,,,,,,,,,labeled 30; No data for S2
Miscanthus,0,28,0M6,2012-06-08,TAW,2013-10-14,CRS,06_05(A),"L005 tape; L080,85,95,100 blur",110,12,"L070,75,90 blurry but traced; L080,85,100 tube cracked"
Miscanthus,0,29,0M7,2012-06-08,TAW,2013-10-14,CRS,06_05(A),L060 water,100,5,"L080 lots of water, but large roots visible-- traced"
Miscanthus,0,30,0M9,2012-06-08,TAW,2013-10-14,CRS,06_05(A),"L005 tape; L015,45 blur",105,10,
Miscanthus,0,31,0M10,2012-06-08,TAW,2013-10-14,CRS,06_05(A),,105,13,
Miscanthus,0,32,0M11,2012-06-08,TAW,2013-11-04,CRS,06_05(A),L035 blur,110,13,
Miscanthus,1,33,1M1,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,100,14,
Miscanthus,1,34,1M2,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,100,14,
Miscanthus,1,35,1M4,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,95,11,labeled 1m4
Miscanthus,1,36,1M4,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,85,8,
Miscanthus,2,37,2M1,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,95,14,
Miscanthus,2,38,2M2,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,80,10,
Miscanthus,2,39,2M3,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,85,12,
Miscanthus,2,40,2M4,2012-06-05,TAW,2013-07-30,JNR,06_05(A),,95,15,
Miscanthus,3,41,3M1,2012-06-07,TAW,2013-11-04,CRS,06_05(A),L080 blur,110,16,L020 blur but traced
Miscanthus,3,42,3M2,2012-06-07,TAW,2013-11-04,CRS,06_05(A),L105 blur,110,15,
