Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
0,1,0C1,2013-08-15,JNR,2015-03-02,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,"75, 100",L105,16,"75= blury (traced as best I could); 100=a bit blury, still traceable; L105 is the last frame"
0,2,0C2,2013-08-15,JNR,2015-03-02,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,,L100,18,L100=last frame
0,3,0C3,2013-08-15,JNR,2015-03-02,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,30,L095,12,L100=last frame; 30=blury
0,4,0C4,,,,,,,,,
0,5,0C5,2013-08-15,JNR,2015-03-02,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,,L100,17,L100=Last frame
0,6,0C6,2013-08-15,JNR,2015-03-02,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,"50, 55, 85",L095,11,L100=Last frame
0,7,0C7,2013-08-15,JNR,2015-03-02,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,,L100,14,L100= Last frame; 50=Half image; 55=completely missing;  85=blank image 
0,8,0C8,,,,,,,,,
1,9,1C1,2013-08-12,JNR,2015-02-24,TAW,EF2013_T097_L002_2013.08.12_131444_005_JNR, ,L100,11,
1,10,1C2,,,,,,,,,
1,11,1C3,,,,,,,,,
1,12,1C4,2013-08-12,JNR,2015-02-24,TAW,EF2013_T097_L002_2013.08.12_131444_005_JNR,,L090,15,
2,13,2C1,2013-08-14,JNR,2015-02-25,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,,L080,8,
2,14,2C2,,,,,,,,,
2,15,2C3,,,,,,,,,
2,16,2C4,2013-08-14,JNR,2015-02-24,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,10,L110,14,10=outside 
3,17,3C1,2013-08-15,JNR,2015-03-03,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,25,L095,12,25=blury
3,18,3C2,2013-08-15,JNR,2015-03-03,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,"5, 10, 15",L110,15,L005-L015= duct tape
3,19,3C3,,,,,,,,,
3,20,3C4,2013-08-15,JNR,2015-03-03,TAW,EF2013_T097_L005_2013.08.15_094914_005_JNR,10,L105,17,10= blury
4,21,4C1,2013-08-14,JNR,2015-02-25,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,,L105,8,
4,22,4C1,,,,,,,,,
4,23,4C3,2013-08-14,JNR,2015-02-25,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,,L100,11,
4,24,4C4,,,,,,,,,
0,25,0M1,2013-08-15,JNR,2015-03-10,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,"30, 90",L100,18,"30, 90=blury (still tried to trace); L100=last frame; Have Chris look over entire tube, Hair like substance, hard to differentiate if it's roots or not!"
0,26,0M3,,,,,,,,,
0,27,0M5,,,,,,,,,
0,28,0M6,,,,,,,,,
0,29,0M7,,,,,,,,,
0,30,0M9,,,,,,,,,
0,31,0M10,,,,,,,,,
0,32,0M11,,,,,,,,,
1,33,1M1,,,,,,,,,
1,34,1M2,2013-08-14,JNR,2015-02-25,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,,L110,19,
1,35,1M4,2013-08-14,JNR,2015-02-25,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,"5, 15, 35, 50, 65",L105,12,"5=outside; 15, 50, 65=blury; 35=water"
1,36,1M4,2013-08-14,JNR,2015-02-25,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,"45, 50,55,65",L100,18,"45, 50, 55=partially blury (traced as best I could); 65=blury"
2,37,2M1,2013-08-14,JNR,2015-02-26,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,5,L110,20,5=outside 
2,38,2M2,2013-08-14,JNR,2015-02-26,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,35,L105,18,35=partially obscured by water (traced as best I could)- ASK about L005
2,39,2M3,2013-08-14,JNR,2015-02-26,TAW,EF2013_T097_L004_2013.08.14_103634_005_JNR,,L110,15,
