Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2014.08.13,TLP,2014.10.27,EA,2014.08.13,no,L110,18,"frame 1, 5, 10 and 15 have tape "
Corn,0,2,0C2,2014.08.13,TLP,2014.10.29,EA,2014.08.13,No,L110,16,
Corn,0,3,0C3,2014.08.13,TLP,2014.10.29,EA,2014.08.13,1,L90,16,location 1 has bright lighting that may obscure other roots. 
Corn,0,4,0C4,2014.08.13,TLP,2014.10.29,EA,2014.08.13,"1,5",L90,16,"location 1,and 5 have bright lighting that may obscure other roots. "
Corn,0,5,0C5,2014.08.13,TLP,2014.10.31,EA,2014.08.13,no,L110,19,
Corn,0,6,0C6,2014.08.13,TLP,2014.10.31,EA,2014.08.13,1,L110,13,location 1 has very bad lighting
Corn,0,7,0C7,2014.08.13,TLP,2014.10.31,EA,2014.08.13,no,L90,15,
Corn,0,8,0C8,2014.08.13,TLP,2014.10.31,EA,2014.08.13,1,L110,17,location 1 has bad lighting 
Corn,1,9,1C1,,,,,,,,,
Corn,1,10,1C2,,,,,,,,,
Corn,1,11,1C3,,,,,,,,,
Corn,1,12,1C4,,,,,,,,,
Corn,2,13,2C1,,,,,,,,,
Corn,2,14,2C2,,,,,,,,,
Corn,2,15,2C3,,,,,,,,,
Corn,2,16,2C4,,,,,,,,,
Corn,3,17,3C1,,,,,,,,,
Corn,3,18,3C2,,,,,,,,,
Corn,3,19,3C3,,,,,,,,,
Corn,3,20,3C4,,,,,,,,,
Corn,4,21,4C1,,,,,,,,,
Corn,4,22,4C1,,,,,,,,,
Corn,4,23,4C3,,,,,,,,,
Corn,4,24,4C4,,,,,,,,,
Miscanthus,0,25,0M1,2014.08.13,TLP,2014.10.31,EA,2014.08.13,1 and 100,L95,14,"1 is a bit blurry, 100 is wet. "
Miscanthus,0,26,0M3,2014.08.13,TLP,2014.11.03,EA,2014.08.13,no,L120,15,location 1 is numbered 29
Miscanthus,0,27,0M5,2014.08.13,TLP,2014.11.03,EA,2014.08.13,no,L105,17,location 1 is numbered 30
Miscanthus,0,28,0M6,2014.08.13,TLP,2014.11.03,EA,2014.08.13,no,L105,17,
Miscanthus,0,29,0M7,2014.08.13,TLP,2014.11.03,EA,2014.08.13,no,L100,16,
Miscanthus,0,30,0M9,2014.08.13,TLP,2014.11.03,EA,2014.08.13,115,L110,15,location 115 is blurry due to excess light
Miscanthus,0,31,0M10,2014.08.13,TLP,2014.11.03,EA,2014.08.13,no,L105,15,
Miscanthus,0,32,0M11,2014.08.13,TLP,2014.11.03,EA,2014.08.13,no,L95,10,
Miscanthus,1,33,1M1,2014.08.15,TLP,2014.11.07,EA,2014.08.15,65,L110,19,"Loction 65 is blurry due to camera moving, Location 1 is the label"
Miscanthus,1,34,1M2,2014.08.15,TLP,2014.11.07,EA,2014.08.15,no,L105,14,location 1 is the label
Miscanthus,1,35,1M4,2014.08.15,TLP,2014.11.07,EA,2014.08.15,no,L110,13,location 1 is the label
Miscanthus,1,36,1M4,2014.08.15,TLP,2014.11.07,EA,2014.08.15,no,L75,13,"location 1 is the label, location 115 has different label "
Miscanthus,2,37,2M1,2014.08.15,TLP,2014.11.07,EA,2014.08.15,no,L105,13,location 1 is the label
Miscanthus,2,38,2M2,2014.08.15,TLP,2014.11.12,EA,2014.08.15,no,L70,12,location 1 is the label
Miscanthus,2,39,2M3,2014.08.15,TLP,2014.11.12 ,EA,2014.08.15,no,L110,18,location 1 is the label
Miscanthus,2,40,2M4,2014.08.15,TLP,2014.11.12,EA,2014.08.15,no,L95,13,location 1 is the label
Miscanthus,3,41,3M1,,,,,,,,,
Miscanthus,3,42,3M2,2014.08.15,TLP,2014.11.12,EA,2014.08.15,no,L110,19,location 1 is the label
Miscanthus,3,43,3M3,2014.08.15,TLP,2014.11.12,EA,2014.08.15,no,L105,17,locaions 1 and 2 are labels
Miscanthus,3,44,3M4,2014.08.15,TLP,2014.11.12,EA,2014.08.15,no,L105,15,Location 1 is blurry due to excess light 
Miscanthus,4,45,4M1,2014.08.15,TLP,2014.11.13,EA,2014.08.15,no,L105,17,locaion 1 is the label
Miscanthus,4,46,4M2,,,,,,,,,
