date,tube,loc,reason,notes
2014-08-13,4,5,daylight,
2014-09-17,1,1,tape,
2014-09-17,1,2,tape,
2014-09-17,1,3,tape,
2014-09-17,1,4,tape,
2014-09-17,1,5,tape,
2014-09-17,1,6,tape,
2014-09-17,1,7,tape,
2014-09-17,1,8,tape,
2014-09-17,1,9,tape,
2014-09-17,1,10,tape,
2014-09-17,1,11,tape,
2014-09-17,1,12,tape,
2014-09-16,36,85,dirty,
2014-09-16,60,2,light,
2014-09-16,60,3,light,
2014-09-16,60,4,light,
2014-09-19,72,1,tape,
2014-09-19,72,2,tape,
2014-09-19,72,11,blur,
2014-09-17,84,1,light,
2014-09-17,84,2,light,
2014-09-17,84,3,light,
2014-09-17,84,4,light,
2014-09-17,84,5,light,
2014-09-17,84,6,light,
2014-09-17,84,7,light,
2014-09-17,84,8,light,
2014-09-17,84,9,light,
2014-09-17,84,10,light,
2014-09-17,84,11,light,
2014-09-17,84,60,blur,
