Tube,Code,Date harvested,Position,AG biomass dry w bag g,bag wt g,Tube offset,Remarks
84,1p4,2014-09-17,near,139.2,49,,
84,1p4,2014-09-17,far,113.2,43.8,,
1,0c1,2014-09-17,near,824,50,,
72,4s4,2014-09-19,far,282.6,45.4,,
72,4s4,2014-09-19,near,138.4,44.6,,
5,0c5,2014-09-19,near,837.4,63.4,,
5,0c5,2014-09-19,far,842.6,61.2,,
1,0c1,2014-09-17,far,810.2,47.2,,
36,1m4,2014-09-16,near,59.6,51.6,,
36,1m4,2014-09-16,far,0,0,,really zero -- quadrat was bare soil!
60,1s4,2014-09-16,near,359,45,28,
60,1s4,2014-09-16,far,241.4,43.8,,
