Tube,Code,Date harvested,Position,Depth top cm,Depth bottom cm,whole fresh wt with bag g,date washed,root dry wt with envelope g,envelope weight assuming 1.43 g each,root mass,remarks
1,0c1,2014-09-17,far,0,4.5,221.00,2014-11-12,2.41,1.43,0.98,
1,0c1,2014-09-17,far,4.5,9,227.89,2014-11-12,1.72,1.43,0.29,
1,0c1,2014-09-17,far,9,13.5,208.94,2014-11-14,1.51,1.43,0.08,
1,0c1,2014-09-17,far,13.5,18,241.74,2014-11-13,1.44,1.43,0.01,
1,0c1,2014-09-17,far,18,22.5,239.06,2014-11-13,1.52,1.43,0.09,
1,0c1,2014-09-17,far,22.5,27,221.94,2014-11-13,1.40,1.43,-0.03,
1,0c1,2014-09-17,near,0,5,236.50,2014-11-14,2.54,1.43,1.11,
1,0c1,2014-09-17,near,5,10,259.30,2014-11-12,2.29,1.43,0.86,
1,0c1,2014-09-17,near,10,15,242.18,2014-11-13,1.59,1.43,0.16,
1,0c1,2014-09-17,near,15,20,348.85,2014-11-12,1.63,1.43,0.20,
1,0c1,2014-09-17,near,20,25,267.39,2014-11-12,1.84,1.43,0.41,
1,0c1,2014-09-17,near,25,30,264.52,2014-11-13,1.46,1.43,0.03,
5,0c5,2014-09-19,far,0,4.5,175.86,2014-11-14,3.00,1.43,1.57,
5,0c5,2014-09-19,far,4.5,9,202.20,2014-11-10,2.19,1.43,0.76,
5,0c5,2014-09-19,far,9,13.5,239.96,2014-11-14,1.83,1.43,0.40,
5,0c5,2014-09-19,far,13.5,18,NA,2014-11-12,1.60,1.43,0.17,Fresh sample not weighed
5,0c5,2014-09-19,far,18,22.5,234.58,2014-10-22,1.59,1.43,0.16,
5,0c5,2014-09-19,far,22.5,27,255.42,2014-11-13,1.45,1.43,0.02,
5,0c5,2014-09-19,near,0,5,221.05,2014-11-06,6.83,2.86,3.97,envelope 1: 3.48. envelope 2: 3.35
5,0c5,2014-09-19,near,5,10,260.36,2014-11-10,2.62,1.43,1.19,
5,0c5,2014-09-19,near,10,15,311.84,2014-11-05,1.84,1.43,0.41,
5,0c5,2014-09-19,near,15,20,325.94,2014-11-12,1.60,1.43,0.17,
5,0c5,2014-09-19,near,20,25,293.74,2014-11-12,1.53,1.43,0.10,
5,0c5,2014-09-19,near,25,30,325.14,2014-11-13,1.52,1.43,0.09,
36,1m4,2014-09-16,far,0,4.5,218.68,2014-11-12,2.34,1.43,0.91,
