Code,tube #,offset,notes
0c1,1,26,
0c2,2,25,
0c3,3,26,
0c4,4,27,
0c5,5,22,
0c6,6,24,
0c7,7,25,
0c8,8,23,
1c1,9,22,
1c2,10,26,
1c3,11,23,
1c4,12,26,
2c1,13,24,
2c2,14,25,
2c3,15,28,
2c4,16,28,
3c1,17,22,
3c2,18,34,
3c3,19,22,
3c4,20,25,
4c1,21,27,
4c2,22,24,
4c3,23,23,
4c4,24,24,
0m1,25,27,
0m3,26,23,
0m5,27,24,
0m6,28,24,
0m7,29,24,
0m9,30,19,
0m10,31,23,
0m11,32,25,
1m1,33,24,
1m2,34,23,
1m3,35,24,
1m4,36,23,
2m1,37,25,
2m2,38,23,
2m3,39,37,
2m4,40,22,
3m1,41,27,
3m2,42,22,
3m3,43,21,
3m4,44,24,
4m1,45,24,
4m2,46,22,
4m3,47,22,
4m4,48,21,
0s2,49,26,
0s3,50,23,
0s5,51,NA,tube was cut by harvester
0s6,52,33,
0s8,53,25,
0s9,54,26,
0s11,55,25,tube is labeled 0s12
0s12,56,24,
1s1,57,23,
1s2,58,24,
1s3,59,24,
1s4,60,27,
2s1,61,23,
2s2,62,22,
2s3,63,25,
2s4,64,25,
3s1,65,23,
3s2,66,20,
3s3,67,23,
3s4,68,31,
4s1,69,21,
4s2,70,26,
4s3,71,26,
4s4,72,25,
0p2,73,25,
0p3,74,24,
0p5,75,19,
0p6,76,23,
0p7,77,NA,Tube cut off
0p9,78,24,
0p11,79,20,
0p12,80,26,
1p1,81,27,
1p2,82,22,
1p3,83,28,
1p4,84,26,
2p1,85,24,
2p2,86,23,
2p3,87,22,
2p4,88,24,
3p1,89,24,
3p2,90,22,
3p3,91,23,
3p4,92,25,
4p1,93,27,
4p2,94,24,
4p3,95,24,
4p4,96,32,
