Code,tube,date,offset,rowposition,notes
0c1,1,2011-05-18,21,in,In 2011-05-18
0c2,2,2011-05-18,23,btwn,In 2011-05-18
0c3,3,2011-05-18,23,in,In 2011-05-18
0c4,4,2011-05-18,24,btwn,In 2011-05-18
0c5,5,2011-05-18,22,in,In 2011-05-18
0c6,6,2011-05-18,23,btwn,In 2011-05-18
0c7,7,2011-05-18,23,in,In 2011-05-18
0c8,8,2011-05-18,23,btwn,In 2011-05-18
1c1,9,2011-05-19,22,in,In 2011-05-19
1c2,10,2011-05-19,24,btwn,In 2011-05-19
1c3,11,2011-05-19,23,in,In 2011-05-19
1c4,12,2011-05-19,24,btwn,In 2011-05-19
2c1,13,2011-05-19,24,in,In 2011-05-19
2c2,14,2011-05-19,23,btwn,In 2011-05-19
2c3,15,2011-05-19,22,in,In 2011-05-19
2c4,16,2011-05-19,23,btwn,In 2011-05-19
3c1,17,2011-05-19,23,in,In 2011-05-19
3c2,18,2011-05-19,24,btwn,In 2011-05-19
3c3,19,2011-05-19,22,in,In 2011-05-19
3c4,20,2011-05-19,22,btwn,In 2011-05-19
4c1,21,2011-05-19,23,in,In 2011-05-19
4c2,22,2011-05-19,22,btwn,In 2011-05-19
4c3,23,2011-05-19,22,in,In 2011-05-19
4c4,24,2011-05-19,23,btwn,In 2011-05-19
0m1,25,2011-03-14,26,,2011-05: flooded
0m3,26,2011-03-14,23,,
0m5,27,2011-03-14,24,,
0m6,28,2011-03-14,22,,replaced 2011-03
0m7,29,2011-03-14,21,,replaced 2011-03
0m9,30,2011-03-14,26,,replaced 2011-03?
0m10,31,2011-03-14,16,,replaced 2011-03?
0m11,32,2011-03-14,23,,replaced 2011-03?
1m1,33,2011-03-14,24,,
1m2,34,2011-03-14,23,,
1m3,35,2011-03-14,24,,
1m4,36,2011-03-14,23,,replaced 2011-03
2m1,37,2011-03-14,25,,
2m2,38,2011-03-14,23,,
2m3,39,2011-03-14,37,,
2m4,40,2011-03-14,22,,
3m1,41,2011-03-14,27,,
3m2,42,2011-03-14,22,,
3m3,43,2011-03-14,21,,
3m4,44,2011-03-14,24,,
4m1,45,2011-03-14,24,,
4m2,46,2011-03-14,22,,
4m3,47,2011-03-14,22,,
4m4,48,2011-03-14,21,,
0s2,49,2011-03-14,26,,
0s3,50,2011-03-14,23,,
0s5,51,2011-03-14,NA,,"replaced 2011-03; not measured yet"
0s6,52,2011-03-14,33,,
0s8,53,2011-03-14,25,,
0s9,54,2011-03-14,26,,
0s11,55,2011-03-14,25,,tube is labeled 0s12
0s12,56,2011-03-14,24,,
1s1,57,2011-03-14,22,,replaced 2011-03
1s2,58,2011-03-14,24,,
1s3,59,2011-03-14,24,,
1s4,60,2011-03-14,27,,
2s1,61,2011-03-14,23,,
2s2,62,2011-03-14,22,,
2s3,63,2011-03-14,25,,
2s4,64,2011-03-14,25,,
3s1,65,2011-03-14,23,,
3s2,66,2011-03-14,23,,replaced 2011-03
3s3,67,2011-03-14,23,,replaced 2011-03
3s4,68,2011-03-14,32,,replaced 2011-03
4s1,69,2011-03-14,21,,
4s2,70,2011-03-14,26,,
4s3,71,2011-03-14,26,,
4s4,72,2011-03-14,22,,replaced 2011-03
0p2,73,2011-03-14,23,,replaced 2011-03
0p3,74,2011-03-14,24,,
0p5,75,2011-03-14,19,,
0p6,76,2011-03-14,23,,
0p7,77,2011-03-14,21,,replaced 2011-03
0p9,78,2011-03-14,24,,
0p11,79,2011-03-14,23,,replaced 2011-03
0p12,80,2011-03-14,26,,
1p1,81,2011-03-14,22,,replaced 2011-03
1p2,82,2011-03-14,22,,
1p3,83,2011-03-14,28,,
1p4,84,2011-03-14,26,,
2p1,85,2011-03-14,24,,
2p2,86,2011-03-14,23,,
2p3,87,2011-03-14,22,,
2p4,88,2011-03-14,24,,
3p1,89,2011-03-14,24,,
3p2,90,2011-03-14,22,,
3p3,91,2011-03-14,24,,replaced 2011-03
3p4,92,2011-03-14,25,,
4p1,93,2011-03-14,27,,
4p2,94,2011-03-14,24,,replaced 2011-03
4p3,95,2011-03-14,24,,
4p4,96,2011-03-14,32,,
