"","Depth","Species","Block","mean","se"
"1",1,"Prairie","0",0,0
"2",6,"Prairie","0",3.8683232736026,2.57254418282138
"3",12,"Prairie","0",11.4233377782365,3.66851509200861
"4",18,"Prairie","0",10.7527339774712,2.80163397023578
"5",23,"Prairie","0",9.2437977583407,3.6609844895988
"6",29,"Prairie","0",7.07960635252794,2.53009872361669
"7",35,"Prairie","0",9.54312449866673,5.60019082118826
"8",41,"Prairie","0",5.70922035215223,2.45234250859167
"9",47,"Prairie","0",7.61245310096172,1.46526841001073
"10",53,"Prairie","0",5.35256087329953,2.31745948546804
"11",58,"Prairie","0",4.57913462875728,1.44515648707677
"12",64,"Prairie","0",2.04105960592297,1.71633649384513
"13",70,"Prairie","0",1.67352132028704,1.21123503965608
"14",76,"Prairie","0",5.47266805500103,2.75916797006365
"15",82,"Prairie","0",6.29778742535875,4.21049041962781
"16",88,"Prairie","0",4.75015097487723,2.63519896773476
"17",94,"Prairie","0",2.71164192829386,1.13641559305185
"18",99,"Prairie","0",3.26262718083118,1.36626330596852
"19",105,"Prairie","0",2.09963655715606,1.41448201529314
"20",1,"Switchgrass","0",0,0
"21",6,"Switchgrass","0",2.92286582880316,0.991391454937638
"22",12,"Switchgrass","0",6.68601554152332,2.88523789379748
"23",18,"Switchgrass","0",7.6268489948343,3.13448073187273
"24",23,"Switchgrass","0",7.31163207805117,2.83724000913944
"25",29,"Switchgrass","0",6.43792167570335,2.6653489651446
"26",35,"Switchgrass","0",7.69521165599078,2.56990078046245
"27",41,"Switchgrass","0",5.15051898641279,1.12135651297932
"28",47,"Switchgrass","0",3.63151783823123,1.82538698133197
"29",53,"Switchgrass","0",5.82598380809093,2.63981854896352
"30",58,"Switchgrass","0",4.75173884189467,1.4106327305591
"31",64,"Switchgrass","0",2.06266226821526,1.24490066267692
"32",70,"Switchgrass","0",4.90972163801788,1.66035462691773
"33",76,"Switchgrass","0",4.63111004204251,1.48653953279604
"34",82,"Switchgrass","0",9.5667530338059,3.26798913761228
"35",88,"Switchgrass","0",2.35252240619241,1.16983209154895
"36",94,"Switchgrass","0",3.17200293092444,1.67070052853456
"37",99,"Switchgrass","0",1.50739054181639,0.98407469155322
"38",105,"Switchgrass","0",4.08787848989759,1.29357091495252
"39",1,"Cornsoy","1",0,0
"40",6,"Cornsoy","1",1.2710054693076,1.2710054693076
"41",12,"Cornsoy","1",0,0
"42",18,"Cornsoy","1",0.272442694258353,0.272442694258353
"43",23,"Cornsoy","1",0,0
"44",29,"Cornsoy","1",0.794979813361538,0.506324676351624
"45",35,"Cornsoy","1",0.681992719416481,0.681992719416481
"46",41,"Cornsoy","1",0,0
"47",47,"Cornsoy","1",0.425433297845586,0.425433297845586
"48",53,"Cornsoy","1",0,0
"49",58,"Cornsoy","1",0,0
"50",64,"Cornsoy","1",0,0
"51",70,"Cornsoy","1",0,0
"52",76,"Cornsoy","1",0,0
"53",82,"Cornsoy","1",0,0
"54",88,"Cornsoy","1",0.299935039139956,0.299935039139956
"55",94,"Cornsoy","1",0,0
"56",99,"Cornsoy","1",0,0
"57",105,"Cornsoy","1",0,0
"58",111,"Cornsoy","1",0,0
"59",117,"Cornsoy","1",0,0
"60",1,"Miscanthus","1",0,0
