"","Depth","Species","mean","se"
"1",1,"Cornsoy",0,0
"2",6,"Cornsoy",1.82607519652069,1.17008513677384
"3",12,"Cornsoy",0.302687853360523,0.253093663155696
"4",18,"Cornsoy",0.547255171369782,0.242337938931046
"5",23,"Cornsoy",0.137579855577428,0.137579855577428
"6",29,"Cornsoy",0.687688073675157,0.284277672163783
"7",35,"Cornsoy",0.554439694309545,0.297051483127019
"8",41,"Cornsoy",0.433294390210169,0.398131988176758
"9",47,"Cornsoy",0.36041103841467,0.190501490589042
"10",53,"Cornsoy",0.219559307417739,0.148059613944741
"11",58,"Cornsoy",0,0
"12",64,"Cornsoy",0,0
"13",70,"Cornsoy",0,0
"14",76,"Cornsoy",0,0
"15",82,"Cornsoy",0,0
"16",88,"Cornsoy",0.0999783463799854,0.0999783463799854
"17",94,"Cornsoy",0.0952423604062405,0.0952423604062405
"18",99,"Cornsoy",0.0632109148332479,0.0632109148332479
"19",105,"Cornsoy",0,0
"20",111,"Cornsoy",0,0
"21",117,"Cornsoy",0,0
"22",1,"Miscanthus",0,0
"23",6,"Miscanthus",1.88485315771557,0.656064867803956
"24",12,"Miscanthus",3.24598484569699,1.37500355528019
"25",18,"Miscanthus",3.52032682313856,1.32704618033749
"26",23,"Miscanthus",3.32366454634062,1.16971940445941
"27",29,"Miscanthus",5.19267583577473,1.78468594563111
"28",35,"Miscanthus",4.06732521858272,1.8138058524363
"29",41,"Miscanthus",2.63922532209821,1.3880411887664
"30",47,"Miscanthus",2.70704990410611,1.54577521299668
"31",53,"Miscanthus",4.14361581229477,1.78319169747926
"32",58,"Miscanthus",3.9862029496417,1.63948706209394
"33",64,"Miscanthus",3.66679684177954,1.52182777853369
"34",70,"Miscanthus",1.06679589205575,0.584217458213913
"35",76,"Miscanthus",0.819060680659497,0.522629444782161
"36",82,"Miscanthus",0.540549315836772,0.36272324637623
"37",88,"Miscanthus",0.297665411036648,0.243963054725067
"38",94,"Miscanthus",0.151331794227771,0.151331794227771
"39",99,"Miscanthus",0.735917460928844,0.652605004390064
"40",105,"Miscanthus",0.978838408864947,0.654856629366694
"41",1,"Prairie",0,0
"42",6,"Prairie",3.42008678474222,1.39925783192052
"43",12,"Prairie",7.82457731573792,1.59327302875529
"44",18,"Prairie",8.92657045100076,1.64851024072715
"45",23,"Prairie",6.52782686213272,1.51761377562751
"46",29,"Prairie",6.54839049401056,1.44248374203378
"47",35,"Prairie",6.6266538672763,2.2450260530518
"48",41,"Prairie",5.61266572067917,1.12410698420198
"49",47,"Prairie",6.52541524771997,1.23955173557946
"50",53,"Prairie",3.77273172980965,1.07101733193779
"51",58,"Prairie",6.07945364896649,1.14599934100483
"52",64,"Prairie",3.15560024792493,1.34938337503529
"53",70,"Prairie",3.4873548546842,0.972329112242193
"54",76,"Prairie",2.78184180211989,1.06205276571973
"55",82,"Prairie",2.98023303940993,1.51937572874785
"56",88,"Prairie",2.91571640191367,1.04933039649659
"57",94,"Prairie",1.68983980383337,0.520137615298627
"58",99,"Prairie",1.30046666701276,0.563401536996349
"59",105,"Prairie",0.744754377832719,0.494825493230682
"60",1,"Switchgrass",0,0
"61",6,"Switchgrass",1.94198980800028,0.493161133877031
"62",12,"Switchgrass",4.3267474572825,1.17081088001362
"63",18,"Switchgrass",5.81869055089571,1.29016156616463
"64",23,"Switchgrass",8.47435373483045,1.79380720509492
"65",29,"Switchgrass",6.4992997313558,1.47719825936344
"66",35,"Switchgrass",7.5412996559245,1.65754643472226
"67",41,"Switchgrass",6.16048395399714,1.82092654566934
"68",47,"Switchgrass",4.45165545874973,1.42975612919099
"69",53,"Switchgrass",6.29542566666723,2.02730908658982
"70",58,"Switchgrass",5.46789513392659,1.54886960847528
"71",64,"Switchgrass",5.75043578310117,2.0823736932616
"72",70,"Switchgrass",5.54456000415612,1.57717122360717
"73",76,"Switchgrass",6.67219035767741,2.29900371374583
"74",82,"Switchgrass",9.54346628894518,3.04142480267308
"75",88,"Switchgrass",5.15567688189064,2.02197345882028
"76",94,"Switchgrass",1.59173992621896,0.635330410365803
"77",99,"Switchgrass",2.18071076328349,0.840493241839325
"78",105,"Switchgrass",3.61678585270347,1.47411976191439
