Img	MeasDate	MeasTime	Experiment	Tube	Location	Date	Time	Session	DataGatherer	ImgType	PxSizeH	PxSizeV	Fungae	Undefined	Undefined	Undefined	TotLength.mm	TotProjArea.mm2	TotSurfArea.mm2	TotAvgDiam.10ths.mm	TotVolume.mm3	TotNumberOfTips	AliveLength.mm	AliveProjArea.mm2	AliveSurfArea.mm2	AliveAvgDiam.10ths.mm	AliveVolume.mm3	AliveNumberOfTips	DeadLength.mm	DeadProjArea.mm2	DeadSurfArea.mm2	DeadAvgDiam.10ths.mm	DeadVolume.mm3	DeadNumberOfTips	GoneLength.mm	GoneProjArea.mm2	GoneSurfArea.mm2	GoneAvgDiam.10ths.mm	GoneVolume.mm3	GoneNumberOfTips	NumberOfClasses	L0to0.5	L0.5to1	L1to1.5	L1.5to2	L2to2.5	L2.5to3	L3to3.5	L3.5to4	L4to4.5	Lgreaterthan4.5	SA0to0.5	SA0.5to1	SA1to1.5	SA1.5to2	SA2to2.5	SA2.5to3	SA3to3.5	SA3.5to4	SA4to4.5	SAgreaterthan4.5	PA0to0.5	PA0.5to1	PA1to1.5	PA1.5to2	PA2to2.5	PA2.5to3	PA3to3.5	PA3.5to4	PA4to4.5	PAgreaterthan4.5	V0to0.5	V0.5to1	V1to1.5	V1.5to2	V2to2.5	V2.5to3	V3to3.5	V3.5to4	V4to4.5	Vgreaterthan4.5	T0to0.5	T0.5to1	T1to1.5	T1.5to2	T2to2.5	T2.5to3	T3to3.5	T3.5to4	T4to4.5	Tgreaterthan4.5		ImageNotes	
CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	1	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	131.9878	27.5695	86.6120	2.0888	5.478	37	125.6852	26.0073	81.7043	2.0692	5.132	36	6.3026	1.5622	4.9077	2.4786	0.346	1	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.5924	12.0194	9.7138	36.6157	51.1971	2.6563	3.0392	3.7372	7.9263	4.4904	0.0505	2.9076	3.5252	19.6755	33.3534	2.3132	3.0542	4.4451	10.1950	7.0923	0.0161	0.9255	1.1221	6.2629	10.6167	0.7363	0.9722	1.4149	3.2452	2.2576	0.0004	0.0560	0.1030	0.8450	1.7323	0.1606	0.2446	0.4208	1.0437	0.8937	1	5	4	15	7	1	0	1	2	0			
CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	2	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
CONSISTEST_T001_L003_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	3	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
CONSISTEST_T001_L004_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	4	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	5	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	38.1487	3.7511	11.7844	0.9833	0.406	13	38.1487	3.7511	11.7844	0.9833	0.406	13	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	22.3453	10.8070	1.2742	1.0769	2.6453	0.0000	0.0000	0.0000	0.0000	0.0000	4.1658	3.8662	0.6950	0.7612	2.2962	0.0000	0.0000	0.0000	0.0000	0.0000	1.3260	1.2307	0.2212	0.2423	0.7309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0645	0.1115	0.0302	0.0428	0.1587	0.0000	0.0000	0.0000	0.0000	0	10	2	1	0	0	0	0	0	0			
CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	6	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	7	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	8	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	27.3100	5.7029	17.9163	2.0882	1.152	7	27.3100	5.7029	17.9163	2.0882	1.152	7	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	1.3058	10.7651	3.2546	2.2028	0.9383	6.4168	0.7527	1.6738	0.0000	0.0000	0.3617	4.0906	1.7258	1.5981	0.8106	6.1927	0.8868	2.2499	0.0000	0.0000	0.1151	1.3021	0.5493	0.5087	0.2580	1.9712	0.2823	0.7162	0.0000	0.0000	0.0080	0.1248	0.0731	0.0923	0.0557	0.4759	0.0831	0.2407	0.0000	0	2	1	2	2	0	0	0	0	0			
CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	9	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg	6/15/2011	09:27:47	CONSISTEST	1	10	2011.06.06	155541	001	CKB	Clr	0.025532	0.025370	-	-	-	-	92.5237	41.7331	131.1083	4.5105	21.060	14	92.5237	41.7331	131.1083	4.5105	21.060	14	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	6.0370	8.1305	21.9786	18.0073	8.6197	3.3547	26.3958	0.0000	0.0000	0.0000	3.0793	5.6537	17.8849	17.7504	10.0182	4.5451	72.1767	0.0000	0.0000	0.0000	0.9802	1.7996	5.6929	5.6501	3.1889	1.4468	22.9746	0.0000	0.0000	0.0000	0.1259	0.3143	1.1593	1.3947	0.9270	0.4903	16.6693	0	0	0	2	2	2	4	1	0	3			
