"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace"
"1","CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:46",1,1,0.024129,0.025157,137.5029,11.2234,35.2594,0.8162,1.454,31,137.5029,11.2234,35.2594,0.8162,1.454,31,0,0,0,0,0,0,0,0,0,0,0,0,10,91.523,4.2598,4.2598,4.2598,33.2004,0,0,0,0,0,7.1716,1.0037,1.6728,2.342,23.0693,0,0,0,0,0,2.2828,0.3195,0.5325,0.7455,7.3432,0,0,0,0,0,0.045,0.0188,0.0523,0.1025,1.2758,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,"Misc",0,"y","y","y"
"2","CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,2,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",0,"y","n","n"
"3","CONSISTEST_T001_L003_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,3,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Switch",0,"n","n","n"
"4","CONSISTEST_T001_L004_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,4,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n"
"5","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,5,0.024129,0.025157,7.2006,0.1774,0.5575,0.2464,0.003,3,7.2006,0.1774,0.5575,0.2464,0.003,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7.2006,0,0,0,0,0,0,0,0,0,0.5575,0,0,0,0,0,0,0,0,0,0.1774,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Prairie",11,"y","y","y"
"6","CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,6,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n"
"7","CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,7,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",0,"n","n","n"
"8","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,8,0.024129,0.025157,35.4811,4.2441,13.3334,1.1962,0.589,6,35.4811,4.2441,13.3334,1.1962,0.589,6,0,0,0,0,0,0,0,0,0,0,0,0,10,15.0703,0.7192,0.7192,18.9724,0,0,0,0,0,0,1.1812,0.1694,0.2824,11.7003,0,0,0,0,0,0,0.376,0.0539,0.0899,3.7243,0,0,0,0,0,0,0.0074,0.0032,0.0088,0.5745,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"Switch",8,"y","y","y"
"9","CONSISTEST_T001_L009_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,9,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",0,"n","n","n"
"10","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,10,0.024129,0.025157,89.7012,25.3723,79.7094,2.8285,9.315,13,89.7012,25.3723,79.7094,2.8285,9.315,13,0,0,0,0,0,0,0,0,0,0,0,0,10,14.7296,0.867,0.867,20.063,29.5882,2.2732,2.2732,2.0505,2.2409,14.7486,1.1579,0.2043,0.3405,12.3661,20.6306,1.9639,2.3209,2.4002,2.9555,35.3695,0.3686,0.065,0.1084,3.9363,6.5669,0.6251,0.7388,0.764,0.9407,11.2585,0.0073,0.0038,0.0106,0.6069,1.1448,0.135,0.1886,0.2236,0.3102,6.792,5,0,0,4,2,0,0,0,1,1,"Corn",2,"y","y","y"
"11","CONSISTEST_T001_L011_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,11,0.024129,0.025157,33.9517,6.7623,21.2445,1.9918,1.641,5,33.9517,6.7623,21.2445,1.9918,1.641,5,0,0,0,0,0,0,0,0,0,0,0,0,10,11.2987,1.192,1.192,1.1943,8.0282,0.5064,0.5064,10.0336,0,0,0.8988,0.2809,0.4681,0.6568,5.5881,0.4375,0.5171,12.3973,0,0,0.2861,0.0894,0.149,0.2091,1.7787,0.1393,0.1646,3.9462,0,0,0.0058,0.0053,0.0146,0.0288,0.3096,0.0301,0.042,1.2191,0,0,4,0,0,0,1,0,0,0,0,0,"Corn",0,"y","y","y"
