column,class
Tube,integer
Img,character
MeasDate,NULL
MeasTime,NULL
Experiment,NULL
Location,integer
Date,Date
Time,NULL
Session,integer
DataGatherer,factor
ImgType,NULL
PxSizeH,numeric
PxSizeV,numeric
Fungae,NULL
Undefined,NULL
Undefined.1,NULL
Undefined.2,NULL
TotLength.mm,numeric
TotProjArea.mm2,numeric
TotSurfArea.mm2,numeric
TotAvgDiam.10ths.mm,numeric
TotVolume.mm3,numeric
TotNumberOfTips,integer
AliveLength.mm,numeric
AliveProjArea.mm2,numeric
AliveSurfArea.mm2,numeric
AliveAvgDiam.10ths.mm,numeric
AliveVolume.mm3,numeric
AliveNumberOfTips,integer
DeadLength.mm,numeric
DeadProjArea.mm2,numeric
DeadSurfArea.mm2,numeric
DeadAvgDiam.10ths.mm,numeric
DeadVolume.mm3,numeric
DeadNumberOfTips,integer
GoneLength.mm,numeric
GoneProjArea.mm2,numeric
GoneSurfArea.mm2,numeric
GoneAvgDiam.10ths.mm,numeric
GoneVolume.mm3,numeric
GoneNumberOfTips,integer
NumberOfClasses,integer
L0to0.5,numeric
L0.5to1,numeric
L1to1.5,numeric
L1.5to2,numeric
L2to2.5,numeric
L2.5to3,numeric
L3to3.5,numeric
L3.5to4,numeric
L4to4.5,numeric
Lgreaterthan4.5,numeric
SA0to0.5,numeric
SA0.5to1,numeric
SA1to1.5,numeric
SA1.5to2,numeric
SA2to2.5,numeric
SA2.5to3,numeric
SA3to3.5,numeric
SA3.5to4,numeric
SA4to4.5,numeric
SAgreaterthan4.5,numeric
PA0to0.5,numeric
PA0.5to1,numeric
PA1to1.5,numeric
PA1.5to2,numeric
PA2to2.5,numeric
PA2.5to3,numeric
PA3to3.5,numeric
PA3.5to4,numeric
PA4to4.5,numeric
PAgreaterthan4.5,numeric
V0to0.5,numeric
V0.5to1,numeric
V1to1.5,numeric
V1.5to2,numeric
V2to2.5,numeric
V2.5to3,numeric
V3to3.5,numeric
V3.5to4,numeric
V4to4.5,numeric
Vgreaterthan4.5,numeric
T0to0.5,integer
T0.5to1,integer
T1to1.5,integer
T1.5to2,integer
T2to2.5,integer
T2.5to3,integer
T3to3.5,integer
T3.5to4,integer
T4to4.5,integer
Tgreaterthan4.5,integer
X,NULL
ImageNotes,character
X.1,NULL
MeasDateTime,POSIXct
DateTime,POSIXct
Month,character
Block,factor
Species,factor
Offset,integer
Depth,integer
rootvol.mm3.mm2,numeric
Date.c,numeric
Depth.c,numeric
